gen, ranking_hypot_onepoint_best, ranking_hypot_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.1854, 0.105488
   3,    0.197, 0.117396
   4,   0.2029, 0.129141
   5,   0.2029, 0.134675
   6,    0.206, 0.145761
   7,   0.2364, 0.155474
   8,   0.2364, 0.163108
   9,   0.2843, 0.166009
  10,   0.2843, 0.168118
  11,   0.2615, 0.177091
  12,   0.2759, 0.188389
  13,   0.2759, 0.194698
  14,   0.3163, 0.205401
  15,   0.2939, 0.214718
  16,   0.3207, 0.219253
  17,   0.3136, 0.233699
  18,   0.3376, 0.234695
  19,   0.3237, 0.233665
  20,     0.35, 0.235215
  21,     0.35, 0.242176
  22,   0.3702, 0.251168
  23,   0.3681, 0.253229
  24,   0.4016, 0.265214
  25,   0.4016, 0.263382
  26,   0.4091,   0.2901
  27,   0.4091, 0.275407
  28,    0.415, 0.311588
  29,    0.415, 0.336622
  30,   0.4254, 0.353144
  31,   0.4254, 0.363633
  32,   0.4243,  0.37488
  33,   0.4296,   0.3784
  34,   0.4296, 0.382612
  35,   0.4326, 0.387268
  36,   0.4402, 0.386769
  37,   0.4434, 0.389102
  38,   0.4434, 0.390809
  39,   0.4451,  0.39192
  40,   0.4451, 0.394417
  41,   0.4448, 0.394868
  42,   0.4534, 0.397128
  43,   0.4505,  0.40345
  44,   0.4562, 0.406181
  45,   0.4562, 0.406827
  46,   0.4562, 0.406603
  47,   0.4665, 0.409444
  48,   0.4665, 0.413282
  49,   0.4665, 0.409917
  50,    0.464, 0.415074
  51,    0.474, 0.415097
  52,   0.4807, 0.414612
  53,   0.4807, 0.421589
  54,   0.4932, 0.419878
  55,   0.5007, 0.423709
  56,   0.4974, 0.429456
  57,   0.5049, 0.433952
  58,   0.5086, 0.443679
  59,   0.5086, 0.445217
  60,   0.5119, 0.445572
  61,   0.5119, 0.446734
  62,   0.5119, 0.448786
  63,   0.5203, 0.453924
  64,   0.5188, 0.451773
  65,   0.5335,  0.45967
  66,   0.5335, 0.458358
  67,   0.5335, 0.467123
  68,   0.5335, 0.471036
  69,   0.5383, 0.475243
  70,    0.544, 0.476498
  71,    0.544,  0.47748
  72,    0.544,  0.47789
  73,    0.544, 0.477017
  74,    0.544, 0.480309
  75,   0.5505,  0.48064
  76,   0.5542, 0.481991
  77,   0.5542, 0.484372
  78,   0.5617, 0.490074
  79,   0.5617, 0.493002
  80,   0.5634, 0.498758
  81,   0.5634, 0.500509
  82,    0.567, 0.502281
  83,   0.5703, 0.498865
  84,   0.5761, 0.504471
  85,   0.5761, 0.511151
  86,   0.5835, 0.517483
  87,   0.5835, 0.523074
  88,   0.5835, 0.512758
  89,   0.5848, 0.514117
  90,   0.5848, 0.516088
  91,   0.5868, 0.520271
  92,   0.5928, 0.519982
  93,   0.5991, 0.528104
  94,   0.5991, 0.536651
  95,   0.6008, 0.539865
  96,   0.6008, 0.536848
  97,   0.6033, 0.543392
  98,   0.6044, 0.540236
  99,    0.605,  0.54262
 100,   0.6053, 0.543588
 101,   0.6086, 0.546544
 102,   0.6104, 0.549145
 103,   0.6104, 0.545057
 104,   0.6132, 0.552407
 105,   0.6132, 0.553092
 106,   0.6158, 0.554558
 107,   0.6158, 0.553186
 108,   0.6127, 0.553644
 109,   0.6146,  0.55592
 110,   0.6166, 0.557014
 111,   0.6175, 0.558454
 112,    0.625, 0.559285
 113,    0.625, 0.554588
 114,   0.6301, 0.560139
 115,   0.6301, 0.560919
 116,   0.6301, 0.560805
 117,   0.6326, 0.563311
 118,   0.6326, 0.566082
 119,   0.6341, 0.566722
 120,   0.6366, 0.568387
 121,   0.6366, 0.568841
 122,   0.6347, 0.567863
 123,   0.6347, 0.568488
 124,   0.6383, 0.571506
 125,   0.6383, 0.574339
 126,   0.6427, 0.573433
 127,   0.6455, 0.567893
 128,   0.6455, 0.574639
 129,   0.6454, 0.570895
 130,   0.6454, 0.573202
 131,   0.6488,   0.5728
 132,    0.654,  0.57651
 133,    0.654, 0.575381
 134,    0.654, 0.580414
 135,   0.6572, 0.579076
 136,   0.6553, 0.582593
 137,   0.6596,  0.58295
 138,   0.6596, 0.589797
 139,   0.6587, 0.586278
 140,   0.6587, 0.589981
 141,   0.6642, 0.594892
 142,   0.6642, 0.592459
 143,   0.6642, 0.592605
 144,   0.6678, 0.593232
 145,   0.6678, 0.593591
 146,   0.6678, 0.598998
 147,   0.6676,  0.59475
 148,   0.6676, 0.590669
 149,   0.6695, 0.591836
 150,   0.6695, 0.592961
 151,   0.6688, 0.591047
 152,   0.6697, 0.597633
 153,   0.6697, 0.599135
 154,   0.6715, 0.598149
 155,   0.6715, 0.594891
 156,   0.6736, 0.597537
 157,   0.6736, 0.598318
 158,   0.6777, 0.601667
 159,   0.6777, 0.601224
 160,   0.6777, 0.600392
 161,   0.6777, 0.599358
 162,   0.6779, 0.599598
 163,   0.6779, 0.601821
 164,   0.6779, 0.604128
 165,   0.6802, 0.607076
 166,   0.6802, 0.603973
 167,   0.6786,  0.60518
 168,   0.6786, 0.604836
 169,   0.6819, 0.610312
 170,   0.6807, 0.611714
 171,   0.6807, 0.604855
 172,   0.6799, 0.608587
 173,   0.6802,  0.60575
 174,   0.6839, 0.608162
 175,   0.6832, 0.612473
 176,   0.6832, 0.613063
 177,   0.6832, 0.615445
 178,   0.6832, 0.613546
 179,   0.6832, 0.612171
 180,   0.6832,  0.60553
 181,   0.6832, 0.606395
 182,   0.6832, 0.610279
 183,    0.684, 0.608661
 184,    0.684,  0.61292
 185,   0.6845,  0.61513
 186,   0.6845, 0.614065
 187,   0.6845, 0.615971
