accuracy,sparse
  0.8214, 0.578808
  0.8199, 0.580795
  0.8199, 0.580795
  0.8226, 0.576821
  0.8202, 0.580132
  0.8216, 0.578146
   0.822, 0.577483
  0.8229, 0.576159
  0.8196, 0.580795
  0.8233, 0.575497
  0.8229, 0.575497
  0.8224, 0.576159
  0.8219, 0.576821
    0.82,  0.57947
    0.82,  0.57947
  0.8194, 0.580132
  0.8194, 0.580132
  0.8217, 0.576821
  0.8193, 0.580132
  0.8182, 0.581457
    0.82, 0.576159
  0.8199, 0.574834
  0.8182, 0.576159
  0.8179, 0.575497
   0.815, 0.578146
  0.8134, 0.576821
  0.8161, 0.572848
  0.8136, 0.574834
  0.8124, 0.575497
  0.8103, 0.578146
  0.8111, 0.576159
  0.8083,  0.57947
  0.8078, 0.580132
  0.8104, 0.576159
  0.8094, 0.576159
  0.8125, 0.571523
  0.8077, 0.576821
  0.8073, 0.576159
  0.8061, 0.577483
   0.812, 0.568874
  0.8077, 0.574834
  0.8085,  0.57351
  0.8087, 0.572185
  0.8061, 0.572848
     0.8, 0.580795
  0.8052, 0.572848
   0.804, 0.574172
  0.8008, 0.578146
  0.8008, 0.575497
  0.7995, 0.576821
  0.7992, 0.576159
  0.7962, 0.580132
  0.7986, 0.576821
  0.8023, 0.571523
   0.798, 0.576821
  0.8001,  0.57351
  0.7976, 0.576159
  0.7931, 0.580795
  0.7924, 0.581457
  0.7936, 0.578808
   0.792, 0.580795
  0.7947, 0.576821
  0.7968,  0.57351
  0.7967,  0.57351
  0.7932, 0.576821
  0.7941, 0.575497
  0.7941, 0.574834
  0.7928, 0.576159
  0.7915, 0.577483
  0.7907, 0.578146
  0.7931, 0.574834
  0.7926, 0.574172
  0.7892, 0.578808
  0.7922,  0.57351
  0.7918,  0.57351
  0.7867, 0.578808
  0.7905,  0.57351
  0.7879, 0.576821
  0.7892, 0.574172
  0.7889, 0.574172
  0.7888, 0.572185
  0.7805, 0.583444
  0.7852, 0.576821
  0.7856, 0.576159
  0.7847, 0.576821
  0.7846, 0.576159
  0.7868, 0.572185
  0.7847, 0.574834
  0.7821, 0.578146
  0.7855,  0.57351
   0.785, 0.574172
  0.7795, 0.580795
  0.7843, 0.574172
  0.7817, 0.576821
  0.7859, 0.570861
  0.7832, 0.574172
  0.7812, 0.576821
  0.7796, 0.578146
  0.7768, 0.581457
  0.7829, 0.572848
  0.7785, 0.578808
  0.7812,  0.57351
  0.7801, 0.574834
  0.7804, 0.574172
  0.7779, 0.576159
  0.7797, 0.572185
  0.7771, 0.575497
   0.777, 0.574834
  0.7777,  0.57351
  0.7745, 0.577483
  0.7728,  0.57947
  0.7731, 0.578808
  0.7717,  0.57947
  0.7742, 0.575497
   0.771,  0.57947
  0.7732, 0.574834
  0.7742, 0.572848
  0.7716, 0.575497
   0.772, 0.574834
  0.7715, 0.575497
  0.7734, 0.572848
  0.7721, 0.574172
  0.7711, 0.575497
  0.7706, 0.576159
  0.7689, 0.578146
  0.7745, 0.570199
  0.7692, 0.576821
  0.7709, 0.572185
   0.771, 0.571523
  0.7688,  0.57351
  0.7695, 0.572185
  0.7649, 0.578146
  0.7635,  0.57947
  0.7699, 0.570199
  0.7678, 0.572848
  0.7672,  0.57351
   0.764, 0.577483
  0.7609, 0.580795
  0.7618,  0.57947
  0.7646, 0.575497
  0.7673, 0.570861
  0.7624, 0.576821
  0.7624, 0.576821
  0.7613, 0.577483
  0.7633, 0.574834
   0.765, 0.572185
  0.7599, 0.578808
  0.7578, 0.581457
  0.7623, 0.575497
  0.7612, 0.576821
  0.7568, 0.582119
  0.7607, 0.576821
  0.7639, 0.572185
  0.7623, 0.574172
   0.761, 0.575497
  0.7634, 0.570861
  0.7625, 0.570861
  0.7574, 0.577483
  0.7608, 0.572185
  0.7545, 0.580132
   0.755, 0.578808
   0.761, 0.570861
  0.7587,  0.57351
  0.7587, 0.572848
  0.7576, 0.574172
  0.7539, 0.578808
