jen, ranking_hypot_twopoint_best, ranking_hypot_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2222,  0.10079
   3,   0.2468, 0.121508
   4,   0.2505, 0.124674
   5,   0.2505, 0.140737
   6,   0.2593, 0.146701
   7,   0.2593, 0.151058
   8,   0.2722, 0.157387
   9,   0.2829,  0.16059
  10,   0.3132, 0.169859
  11,   0.3132, 0.183069
  12,   0.3027, 0.193353
  13,   0.3207, 0.205086
  14,   0.3442, 0.208705
  15,   0.3442,  0.21964
  16,   0.3575, 0.244189
  17,   0.3575, 0.260255
  18,   0.3719, 0.280111
  19,   0.3841, 0.286438
  20,   0.3848, 0.300719
  21,   0.3881, 0.310673
  22,   0.4002, 0.319903
  23,   0.4002, 0.320837
  24,   0.4088, 0.327634
  25,   0.4195,  0.33479
  26,   0.4195, 0.338864
  27,   0.4199, 0.342055
  28,   0.4294, 0.344551
  29,   0.4353,  0.35421
  30,   0.4353, 0.352699
  31,   0.4399, 0.351183
  32,   0.4399, 0.351535
  33,   0.4399, 0.361257
  34,   0.4386, 0.365003
  35,   0.4386, 0.371426
  36,   0.4429, 0.376679
  37,   0.4533, 0.376846
  38,   0.4518, 0.380241
  39,   0.4561,  0.37914
  40,   0.4622, 0.381128
  41,   0.4622, 0.383954
  42,   0.4637, 0.386494
  43,   0.4637, 0.390747
  44,   0.4626,  0.38882
  45,   0.4664, 0.398453
  46,    0.464, 0.398579
  47,    0.464, 0.396133
  48,    0.467, 0.398088
  49,    0.467, 0.401188
  50,    0.467, 0.400115
  51,    0.467, 0.399442
  52,   0.4636, 0.403356
  53,   0.4636, 0.403205
  54,   0.4636,  0.39804
  55,   0.4636, 0.399019
  56,    0.466, 0.400239
  57,   0.4655, 0.395423
  58,   0.4655, 0.399557
  59,   0.4689, 0.394724
  60,   0.4754, 0.396288
  61,   0.4754,  0.40328
  62,   0.4777, 0.398233
  63,   0.4777,  0.40223
  64,   0.4766, 0.396992
  65,   0.4766, 0.404248
  66,   0.4766, 0.402305
  67,   0.4783, 0.405756
  68,   0.4783,  0.41445
  69,   0.4823, 0.407703
  70,   0.4823, 0.409587
  71,   0.4819, 0.408917
  72,   0.4819, 0.414698
  73,   0.4803, 0.410563
  74,   0.4871, 0.408139
  75,   0.4901, 0.410202
  76,   0.4942, 0.413672
  77,   0.5043, 0.415741
  78,   0.5043, 0.419724
  79,   0.5043, 0.424743
  80,   0.5043, 0.424878
  81,   0.5043, 0.424046
  82,   0.5091, 0.424128
  83,   0.5016, 0.434486
  84,   0.5092, 0.433108
  85,   0.5087, 0.434468
  86,   0.5087, 0.430111
  87,   0.5087, 0.428946
  88,    0.512, 0.430747
  89,    0.512, 0.427362
  90,    0.512, 0.435572
  91,    0.511, 0.431763
  92,   0.5185, 0.436532
  93,   0.5128, 0.436107
  94,    0.519, 0.440717
  95,    0.519, 0.441365
  96,    0.519, 0.444452
  97,   0.5196, 0.439089
  98,   0.5196, 0.435434
  99,   0.5227, 0.445707
 100,   0.5227, 0.443877
 101,   0.5227, 0.450142
 102,   0.5242, 0.452083
 103,   0.5249, 0.451297
 104,   0.5249, 0.452746
 105,   0.5231, 0.449861
 106,   0.5264, 0.451938
 107,   0.5278,  0.45397
 108,   0.5233, 0.452609
 109,   0.5249, 0.449942
 110,   0.5249, 0.449808
 111,   0.5264, 0.447142
 112,   0.5264, 0.444239
 113,   0.5264,  0.45083
 114,   0.5264, 0.447102
 115,   0.5264, 0.450382
 116,   0.5247, 0.446045
 117,   0.5247, 0.445398
 118,   0.5247, 0.449445
