accuracy,sparse
  0.7773, 0.613245
  0.7782, 0.611921
  0.7772, 0.612583
  0.7753,  0.61457
  0.7758, 0.613907
  0.7768, 0.612583
  0.7788, 0.609934
  0.7782, 0.610596
  0.7784, 0.609934
  0.7794, 0.608609
  0.7773, 0.611258
  0.7772, 0.611258
   0.775, 0.613907
  0.7765, 0.611921
   0.777, 0.611258
  0.7764, 0.611921
  0.7764, 0.611921
  0.7774, 0.610596
  0.7763, 0.611921
  0.7768, 0.611258
  0.7773, 0.610596
  0.7752, 0.611921
  0.7749, 0.609934
  0.7759, 0.607285
  0.7723, 0.611258
  0.7735, 0.607947
  0.7754, 0.605298
   0.775, 0.605298
  0.7724, 0.608609
   0.767, 0.609934
  0.7659, 0.611258
  0.7686, 0.607285
  0.7649, 0.611258
  0.7655, 0.609934
  0.7654, 0.609934
  0.7622, 0.613245
   0.764, 0.609934
  0.7639, 0.609272
  0.7656, 0.606623
  0.7608, 0.611921
  0.7613, 0.609934
   0.761, 0.609272
  0.7624, 0.607285
  0.7643, 0.603311
  0.7614,  0.60596
  0.7603, 0.607285
  0.7578, 0.609934
  0.7578, 0.609934
   0.759, 0.607947
  0.7562, 0.610596
   0.759, 0.606623
  0.7583, 0.606623
  0.7572, 0.607947
  0.7539, 0.611921
  0.7561, 0.607947
  0.7571, 0.606623
  0.7543, 0.609934
  0.7521, 0.612583
  0.7533, 0.609934
  0.7565,  0.60596
  0.7536, 0.609272
  0.7525, 0.610596
  0.7534, 0.609272
  0.7527, 0.609272
  0.7519, 0.609934
  0.7486, 0.613907
   0.752, 0.609272
  0.7523, 0.607947
    0.75, 0.609934
  0.7516, 0.607947
  0.7515, 0.607285
  0.7481, 0.610596
  0.7462, 0.612583
  0.7548, 0.601324
  0.7464, 0.611258
  0.7496, 0.607285
  0.7468, 0.609934
  0.7477, 0.608609
  0.7449, 0.611921
  0.7454, 0.611258
  0.7486, 0.607285
  0.7474, 0.607947
  0.7443, 0.611258
  0.7445, 0.610596
  0.7467, 0.607285
  0.7482, 0.605298
  0.7457, 0.607947
  0.7429, 0.610596
  0.7465,  0.60596
  0.7405, 0.613245
  0.7421, 0.611258
  0.7477, 0.603311
  0.7421, 0.609934
  0.7437, 0.607947
  0.7441, 0.607285
  0.7442, 0.606623
  0.7446,  0.60596
  0.7422, 0.607947
  0.7404, 0.609934
  0.7371, 0.613907
  0.7357, 0.615232
  0.7405, 0.609272
  0.7458, 0.602649
  0.7435, 0.605298
  0.7429,  0.60596
  0.7443, 0.603974
  0.7397, 0.609272
  0.7391, 0.609934
  0.7352,  0.61457
  0.7438, 0.603974
  0.7427, 0.605298
  0.7422, 0.605298
  0.7374, 0.610596
  0.7389, 0.607947
  0.7394, 0.607285
  0.7377, 0.609272
  0.7406, 0.605298
   0.736, 0.610596
  0.7355, 0.610596
  0.7403, 0.604636
  0.7384, 0.606623
  0.7362, 0.608609
  0.7344, 0.610596
   0.739, 0.603974
  0.7321, 0.611921
   0.734, 0.608609
  0.7317, 0.611258
  0.7346, 0.607285
  0.7339, 0.607947
  0.7349, 0.606623
  0.7337, 0.607947
  0.7317, 0.609934
  0.7342, 0.606623
  0.7307, 0.610596
  0.7371, 0.602649
  0.7326, 0.607947
   0.733, 0.606623
  0.7359, 0.602649
  0.7294, 0.609934
  0.7308, 0.607285
   0.728, 0.610596
  0.7279, 0.609272
   0.726, 0.610596
  0.7281, 0.607947
  0.7307, 0.604636
  0.7266, 0.609272
  0.7252, 0.609934
  0.7288, 0.605298
   0.727, 0.606623
  0.7261, 0.607285
  0.7247, 0.608609
  0.7247, 0.608609
  0.7258, 0.607285
  0.7205, 0.612583
  0.7221, 0.610596
  0.7214, 0.611258
  0.7275, 0.603974
  0.7225, 0.609934
  0.7242, 0.607285
  0.7227, 0.608609
  0.7224, 0.607947
  0.7206, 0.609934
  0.7204, 0.607285
  0.7186, 0.607285
  0.7146, 0.610596
  0.7157, 0.609272
   0.717, 0.607285
  0.7202, 0.602649
  0.7194, 0.603311
  0.7164, 0.606623
  0.7149, 0.607285
  0.7178, 0.603311
  0.7117, 0.609934
  0.7145, 0.606623
  0.7108, 0.610596
   0.718, 0.601987
   0.715, 0.604636
  0.7166, 0.602649
  0.7104, 0.609934
  0.7096, 0.609934
  0.7046, 0.615232
   0.712, 0.606623
   0.708, 0.609934
  0.7061, 0.611921
   0.714, 0.602649
  0.7106, 0.606623
  0.7057, 0.611921
  0.7053, 0.611921
  0.7081, 0.607947
  0.7114, 0.603311
   0.703, 0.612583
   0.704, 0.610596
  0.7039, 0.610596
  0.7047, 0.609272
  0.7021, 0.609934
  0.7023, 0.609272
  0.7001, 0.611258
  0.7012, 0.607947
  0.7005, 0.607947
  0.6986, 0.609934
  0.6996, 0.608609
  0.7008,  0.60596
  0.6985, 0.608609
  0.6998, 0.606623
  0.6967, 0.609934
  0.6995,  0.60596
   0.693, 0.611921
  0.6941, 0.610596
  0.6981,  0.60596
  0.6967,  0.60596
  0.6979, 0.603974
  0.6939, 0.607947
   0.692, 0.609934
  0.6929, 0.608609
  0.6946, 0.606623
  0.6892, 0.611921
  0.6937,  0.60596
   0.699, 0.599338
  0.6848, 0.615232
  0.6888, 0.609934
  0.6937, 0.603311
  0.6849, 0.612583
  0.6853, 0.611258
  0.6867, 0.609272
  0.6897, 0.604636
  0.6855, 0.609272
  0.6957, 0.597351
   0.684, 0.610596
  0.6851, 0.607947
  0.6873, 0.605298
  0.6866, 0.604636
  0.6819, 0.609272
  0.6813, 0.609934
   0.681, 0.609934
  0.6873, 0.602649
  0.6788, 0.611921
   0.683, 0.606623
  0.6822,  0.60596
  0.6795, 0.608609
  0.6803, 0.606623
  0.6746, 0.612583
  0.6758, 0.611258
