gen, ranking_hypot_uniform_best, ranking_hypot_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105311
   3,   0.2215, 0.109938
   4,   0.2215, 0.112217
   5,   0.2631, 0.118441
   6,   0.2278, 0.119243
   7,   0.2173, 0.119302
   8,   0.3088, 0.122638
   9,   0.3088, 0.126642
  10,   0.3088, 0.133048
  11,   0.2828, 0.132082
  12,   0.2828, 0.139294
  13,   0.2828, 0.146529
  14,   0.2926, 0.145675
  15,   0.3337, 0.158205
  16,   0.3337, 0.171406
  17,   0.3337, 0.186712
  18,   0.3337, 0.197544
  19,   0.3499, 0.209927
  20,   0.3714, 0.219168
  21,   0.3856, 0.230505
  22,   0.3856, 0.238209
  23,   0.3694, 0.244489
  24,   0.3972, 0.249974
  25,   0.3972, 0.258031
  26,   0.3972, 0.259813
  27,   0.3982, 0.265089
  28,   0.4078, 0.266153
  29,   0.4078, 0.261292
  30,   0.4361,  0.26662
  31,   0.4361, 0.272005
  32,   0.4361,  0.27552
  33,   0.4361,  0.27092
  34,   0.4361, 0.287966
  35,   0.4361, 0.291122
  36,   0.4361, 0.298458
  37,   0.4408, 0.304695
  38,   0.4528, 0.318102
  39,   0.4422, 0.320278
  40,   0.4546, 0.331422
  41,   0.4557, 0.339295
  42,   0.4557, 0.335553
  43,   0.4697, 0.340835
  44,   0.4696, 0.340867
  45,   0.4825, 0.342309
  46,   0.4887, 0.351646
  47,   0.5028,  0.35117
  48,   0.4984, 0.358085
  49,   0.5092,  0.36906
  50,   0.5165, 0.366231
  51,   0.5209, 0.376582
  52,   0.5315, 0.393679
  53,   0.5315, 0.393078
  54,   0.5315, 0.400308
  55,   0.5315, 0.400635
  56,   0.5388, 0.407805
  57,   0.5423, 0.415111
  58,   0.5423,  0.41111
  59,   0.5423, 0.414558
  60,   0.5495,  0.41261
  61,   0.5495, 0.425393
  62,   0.5481, 0.436978
  63,   0.5517, 0.442899
  64,   0.5542, 0.439057
  65,   0.5579, 0.431402
  66,   0.5609, 0.438345
  67,   0.5613, 0.442216
  68,   0.5613, 0.455311
  69,   0.5699, 0.443639
  70,   0.5699, 0.445337
  71,   0.5744, 0.444815
  72,   0.5744, 0.453479
  73,   0.5737, 0.453463
  74,   0.5737, 0.463461
  75,   0.5792, 0.458846
  76,   0.5792, 0.453106
  77,    0.577, 0.466064
  78,    0.577,  0.45388
  79,    0.577,  0.46141
