accuracy,sparse
  0.7102,  0.76755
  0.7077, 0.769536
  0.7105, 0.766887
  0.7103, 0.766887
  0.7097, 0.766887
  0.7068, 0.769536
  0.7096, 0.766887
  0.7101, 0.766225
  0.7088, 0.766887
  0.7102, 0.765563
  0.7101, 0.765563
  0.7086, 0.766887
  0.7085, 0.766887
  0.7077,  0.76755
  0.7075,  0.76755
  0.7067, 0.768212
  0.7081, 0.766887
  0.7095, 0.765563
  0.7102, 0.764901
  0.7094, 0.765563
   0.708, 0.762914
  0.7071, 0.762914
  0.7069, 0.762914
  0.7057, 0.763576
  0.6982, 0.769536
  0.7049, 0.762914
  0.7021, 0.764901
  0.6999, 0.766887
  0.7025, 0.762914
   0.703, 0.762252
     0.7, 0.764901
  0.7021, 0.762914
  0.7026, 0.762252
  0.7022, 0.762252
  0.6964,  0.76755
   0.701, 0.762914
  0.6988, 0.764901
  0.6996, 0.763576
  0.7016, 0.761589
  0.6976, 0.763576
  0.6973, 0.763576
  0.6994, 0.761589
  0.6965, 0.764238
  0.6996, 0.760927
  0.6998, 0.760265
  0.6961, 0.763576
   0.697, 0.762252
  0.6977, 0.761589
  0.7018, 0.757616
  0.6953, 0.763576
  0.7025, 0.756954
  0.7003,  0.75894
  0.6973, 0.761589
  0.6921, 0.766225
  0.6924, 0.765563
  0.6985, 0.759603
  0.6911, 0.766225
  0.6967, 0.760927
  0.6969, 0.760265
  0.6976, 0.759603
  0.6899, 0.766225
  0.6913, 0.764901
  0.6912, 0.764901
  0.6945, 0.761589
  0.6921, 0.763576
  0.6933, 0.762252
  0.6945, 0.760927
  0.6923, 0.762914
  0.6934, 0.760927
  0.6962, 0.758278
  0.6894, 0.764238
  0.6947,  0.75894
  0.6931, 0.760265
  0.6904, 0.762252
  0.6976, 0.755629
  0.6961, 0.756954
  0.6866, 0.765563
  0.6828, 0.768874
  0.6901, 0.762252
  0.6849, 0.766887
  0.6804, 0.769536
  0.6877, 0.762914
   0.691, 0.759603
  0.6851, 0.764901
  0.6827, 0.766887
  0.6895, 0.760265
  0.6879, 0.761589
  0.6898, 0.759603
  0.6805, 0.766887
  0.6854, 0.762252
  0.6905, 0.757616
  0.6889,  0.75894
  0.6812, 0.765563
  0.6804, 0.766225
  0.6863, 0.760927
  0.6935, 0.754305
  0.6874, 0.759603
  0.6852, 0.760927
  0.6837, 0.762252
  0.6844, 0.760927
  0.6849, 0.760265
   0.686,  0.75894
  0.6838, 0.759603
   0.681, 0.761589
  0.6838,  0.75894
  0.6787, 0.762914
  0.6831,  0.75894
  0.6811, 0.760265
  0.6869, 0.754967
  0.6781, 0.762252
   0.679, 0.760927
  0.6807,  0.75894
  0.6837, 0.755629
  0.6771, 0.760927
  0.6826, 0.755629
  0.6743, 0.762914
  0.6768, 0.760265
   0.676, 0.760265
  0.6774, 0.757616
  0.6714, 0.762914
  0.6698, 0.764238
  0.6822,  0.75298
  0.6864, 0.749007
  0.6751,  0.75894
   0.673, 0.760265
  0.6785, 0.754967
  0.6703, 0.762252
  0.6762, 0.756954
  0.6738,  0.75894
  0.6753, 0.756954
  0.6656, 0.764238
   0.675, 0.755629
  0.6687, 0.760927
  0.6729, 0.756954
  0.6638, 0.764901
  0.6682, 0.760927
  0.6695, 0.759603
  0.6578, 0.769536
  0.6774, 0.752318
  0.6721, 0.756954
  0.6614, 0.766225
  0.6726, 0.756291
  0.6594,  0.76755
  0.6659, 0.760927
  0.6662,  0.75894
  0.6679, 0.756954
  0.6692, 0.755629
  0.6686, 0.755629
  0.6648,  0.75894
  0.6578, 0.764901
  0.6569, 0.764901
  0.6572, 0.764238
  0.6588, 0.762252
   0.667, 0.754967
  0.6662, 0.754967
  0.6687, 0.752318
    0.66, 0.759603
  0.6711, 0.749669
  0.6625, 0.756954
  0.6692, 0.750993
  0.6522, 0.765563
  0.6567, 0.761589
  0.6603, 0.758278
  0.6608, 0.757616
  0.6545, 0.762914
  0.6633, 0.754967
  0.6619, 0.755629
   0.658,  0.75894
  0.6502, 0.765563
  0.6562, 0.759603
  0.6553, 0.760265
  0.6563,  0.75894
   0.662, 0.753642
  0.6527, 0.761589
  0.6532, 0.760927
  0.6559, 0.758278
  0.6573, 0.756954
  0.6452, 0.766887
  0.6537, 0.759603
  0.6522, 0.760265
  0.6487, 0.762914
  0.6518, 0.760265
  0.6609, 0.752318
  0.6484, 0.762914
  0.6559, 0.756291
  0.6505, 0.760927
  0.6502, 0.760927
  0.6577, 0.754305
  0.6486,  0.75894
  0.6507, 0.756954
  0.6547,  0.75298
  0.6467,  0.75894
  0.6458,  0.75894
  0.6393, 0.764238
