accuracy,sparse
  0.7768, 0.753642
  0.7752,  0.75298
  0.7762, 0.751656
  0.7752, 0.751656
  0.7794, 0.749669
  0.7773, 0.750331
  0.7768, 0.750331
  0.7803, 0.749007
  0.7819, 0.748344
  0.7796, 0.749007
  0.7815, 0.748344
  0.7795, 0.749007
  0.7795, 0.749007
  0.7791, 0.749007
   0.779, 0.749007
  0.7808, 0.748344
  0.7786, 0.749007
  0.7804, 0.748344
  0.7779, 0.749007
  0.7777, 0.749007
  0.7741, 0.749669
  0.7728, 0.749669
   0.783, 0.745695
  0.7725, 0.747682
  0.7765, 0.744371
  0.7619, 0.749007
  0.7656, 0.747682
  0.7626, 0.748344
  0.7662,  0.74702
  0.7605, 0.748344
  0.7599, 0.748344
  0.7638,  0.74702
  0.7616, 0.747682
  0.7671, 0.745695
  0.7701, 0.744371
  0.7638, 0.746358
  0.7737, 0.743046
  0.7594, 0.747682
  0.7693, 0.744371
  0.7666, 0.745033
  0.7577,  0.74702
  0.7653, 0.744371
  0.7606, 0.745695
  0.7595, 0.745695
  0.7666, 0.742384
  0.7663, 0.742384
  0.7598, 0.744371
  0.7595, 0.744371
  0.7515,  0.74702
  0.7426, 0.749007
  0.7523, 0.745695
  0.7501, 0.746358
  0.7419, 0.749007
  0.7593, 0.743046
  0.7516, 0.745033
  0.7451,  0.74702
   0.753, 0.744371
  0.7521, 0.744371
  0.7377, 0.749007
  0.7567, 0.742384
  0.7431, 0.746358
  0.7399,  0.74702
  0.7476, 0.744371
  0.7369, 0.747682
  0.7446, 0.745033
  0.7363, 0.747682
  0.7438, 0.745033
  0.7276, 0.750331
  0.7515, 0.741722
  0.7533,  0.74106
  0.7401, 0.745033
  0.7312, 0.747682
  0.7479, 0.741722
  0.7577, 0.738411
  0.7312,  0.74702
   0.735, 0.745695
  0.7406, 0.743709
  0.7386, 0.744371
   0.738, 0.744371
   0.732, 0.746358
  0.7337, 0.745695
  0.7375, 0.744371
  0.7268, 0.747682
  0.7438, 0.741722
  0.7294, 0.746358
  0.7252, 0.747682
  0.7168, 0.750331
  0.7324, 0.745033
  0.7283, 0.746358
  0.7262,  0.74702
  0.7341, 0.744371
  0.7261,  0.74702
  0.7332, 0.744371
   0.746, 0.739735
  0.7358, 0.743046
  0.7351, 0.743046
  0.7323, 0.743709
  0.7209,  0.74702
   0.732, 0.743046
   0.732, 0.743046
  0.7354, 0.741722
  0.7145, 0.748344
  0.7254, 0.744371
  0.7114, 0.749007
  0.7173,  0.74702
  0.7243, 0.744371
  0.7162,  0.74702
  0.7074, 0.749669
  0.7132, 0.747682
  0.7239, 0.743709
  0.7119, 0.747682
  0.7238, 0.743709
  0.7138,  0.74702
   0.715, 0.746358
  0.7025, 0.750331
  0.7295,  0.74106
  0.7235, 0.743046
  0.7215, 0.743709
  0.7151, 0.745695
  0.6969, 0.751656
  0.6958, 0.751656
  0.7115, 0.746358
  0.7104, 0.746358
  0.7082,  0.74702
   0.716, 0.744371
  0.7277, 0.740397
  0.7176, 0.743709
  0.7171, 0.743709
  0.7145, 0.744371
  0.7137, 0.744371
  0.7159, 0.743046
   0.706, 0.745695
  0.7019,  0.74702
  0.7236, 0.739735
  0.7087, 0.744371
  0.6991,  0.74702
   0.695, 0.748344
  0.7049, 0.745033
   0.698,  0.74702
  0.7032, 0.745033
   0.721, 0.739073
  0.7036, 0.744371
  0.7012, 0.745033
  0.6953, 0.746358
  0.6852, 0.749669
  0.7021, 0.743709
  0.6941, 0.746358
  0.6835, 0.749669
   0.687, 0.748344
  0.6872, 0.747682
  0.6965, 0.744371
  0.6804, 0.749669
  0.6982, 0.743709
  0.6916, 0.745695
  0.6935, 0.745033
  0.6914, 0.745695
  0.6912, 0.745695
  0.6827, 0.748344
  0.6964, 0.743709
  0.7082, 0.739735
  0.7002, 0.742384
  0.7118, 0.738411
  0.6776, 0.749669
  0.6913, 0.745033
  0.6789, 0.749007
  0.6789, 0.748344
  0.6927, 0.743709
  0.6903, 0.744371
  0.6813,  0.74702
