accuracy,sparse
  0.7689, 0.743046
  0.7687, 0.743046
  0.7665, 0.743709
  0.7722, 0.741722
  0.7662, 0.743709
  0.7639, 0.744371
  0.7738,  0.74106
  0.7675, 0.743046
  0.7753, 0.740397
  0.7691, 0.742384
   0.769, 0.742384
  0.7647, 0.743709
  0.7685, 0.742384
  0.7764, 0.739735
  0.7662, 0.743046
  0.7581, 0.745695
  0.7655, 0.743046
  0.7674, 0.742384
  0.7674, 0.742384
  0.7674, 0.742384
  0.7661, 0.740397
  0.7691, 0.739073
  0.7652, 0.739735
  0.7605, 0.740397
  0.7678, 0.737748
  0.7558,  0.74106
  0.7597, 0.739735
  0.7653, 0.737086
  0.7541, 0.740397
  0.7636, 0.737086
  0.7615, 0.737748
  0.7519, 0.740397
  0.7633, 0.735762
  0.7531, 0.739073
  0.7509, 0.739735
  0.7541, 0.738411
  0.7479, 0.740397
  0.7495, 0.739735
  0.7634, 0.735099
  0.7594, 0.736424
  0.7483, 0.739735
  0.7579, 0.735762
  0.7553, 0.736424
  0.7406,  0.74106
  0.7465, 0.739073
  0.7623, 0.733775
  0.7458, 0.739073
  0.7528, 0.736424
  0.7476, 0.737748
    0.75, 0.736424
  0.7439, 0.738411
  0.7419, 0.739073
  0.7508, 0.735762
  0.7447, 0.737748
  0.7407, 0.739073
  0.7516, 0.735099
  0.7526, 0.734437
  0.7452, 0.736424
  0.7303,  0.74106
  0.7458, 0.735762
  0.7375, 0.738411
  0.7351, 0.738411
  0.7384, 0.737086
   0.744, 0.735099
  0.7539, 0.731788
  0.7298, 0.739735
  0.7336, 0.738411
  0.7375, 0.737086
  0.7464, 0.733775
  0.7235,  0.74106
  0.7253, 0.740397
  0.7192, 0.742384
  0.7376, 0.735762
  0.7244, 0.739735
  0.7137, 0.743046
  0.7333, 0.736424
   0.745,  0.73245
  0.7387, 0.734437
  0.7343, 0.735762
  0.7342, 0.735762
  0.7341, 0.735762
  0.7233, 0.739073
  0.7172,  0.74106
  0.7268, 0.737748
  0.7263, 0.737748
  0.7262, 0.737748
   0.735, 0.734437
  0.7242, 0.737086
  0.7239, 0.737086
  0.7169, 0.739073
  0.7358,  0.73245
  0.7131, 0.739735
  0.7051, 0.742384
  0.7227, 0.736424
