gen, ranking_scalar1_uniform_best, ranking_scalar1_uniform_ave
   1,   0.1505, 0.100111
   2,   0.1505, 0.105045
   3,   0.1768, 0.108048
   4,   0.2296, 0.110106
   5,   0.2296, 0.115055
   6,   0.1783, 0.117952
   7,   0.1783, 0.116618
   8,   0.1814, 0.119751
   9,   0.2425, 0.122604
  10,   0.2425, 0.127325
  11,   0.2558, 0.138185
  12,   0.2631,  0.14448
  13,   0.2732,  0.15961
  14,   0.2338, 0.167217
  15,   0.2781, 0.174223
  16,   0.2456,  0.17234
  17,   0.3147, 0.183469
  18,   0.2698, 0.183909
  19,   0.3053, 0.196664
  20,   0.3053, 0.205694
  21,   0.3101, 0.216026
  22,   0.3101, 0.221079
  23,   0.3454, 0.230238
  24,   0.3454, 0.241602
  25,   0.3454, 0.252241
  26,   0.3454, 0.258506
  27,   0.3209, 0.275427
  28,   0.3209, 0.287667
  29,   0.3696, 0.289912
  30,   0.3587, 0.293515
  31,   0.3545, 0.300403
  32,   0.3601, 0.300557
  33,   0.3752,  0.29584
  34,   0.3752, 0.304231
  35,    0.386, 0.307213
  36,    0.386, 0.317232
  37,   0.3945, 0.323226
  38,    0.394, 0.328392
  39,    0.394, 0.330657
  40,   0.4168, 0.338399
  41,   0.4277, 0.339505
  42,   0.3939, 0.343437
  43,   0.4299, 0.348277
  44,   0.4299, 0.351958
  45,   0.4299, 0.355032
  46,   0.4262, 0.362854
  47,   0.4401, 0.363015
  48,   0.4401, 0.360511
  49,   0.4401, 0.359965
  50,   0.4175,  0.36344
  51,   0.4351, 0.362176
  52,   0.4295, 0.366499
  53,   0.4295, 0.368435
  54,   0.4339, 0.374555
  55,   0.4339, 0.376136
  56,   0.4518, 0.382619
  57,   0.4518, 0.379598
  58,   0.4436, 0.381446
  59,   0.4436, 0.390796
  60,   0.4554,    0.391
  61,   0.4554, 0.393149
  62,   0.4598, 0.399418
  63,   0.4688, 0.401392
  64,   0.4679, 0.404318
  65,   0.4679, 0.407329
  66,   0.4668, 0.411292
  67,   0.4564, 0.414484
  68,   0.4656, 0.420564
  69,   0.4643, 0.418639
  70,   0.4867, 0.421622
  71,    0.459, 0.425997
  72,   0.4924, 0.427431
  73,   0.4924, 0.427087
  74,   0.4948, 0.427446
  75,   0.4948, 0.430271
  76,   0.5032, 0.431406
  77,   0.5032, 0.435483
  78,   0.5032, 0.435349
  79,   0.5032, 0.437099
  80,   0.5032, 0.437902
  81,   0.4801, 0.437669
  82,   0.4988, 0.441702
  83,   0.5017, 0.439631
  84,   0.5017, 0.443165
  85,   0.4954,  0.44634
  86,   0.4954, 0.445742
  87,   0.4954, 0.445957
  88,   0.4953, 0.445296
  89,   0.4953, 0.445039
  90,   0.4947, 0.449717
  91,   0.4947, 0.449077
  92,   0.5069, 0.451739
  93,    0.489, 0.452438
  94,   0.4983, 0.450166
  95,   0.5013,  0.45389
  96,   0.4962, 0.452717
  97,   0.4962, 0.452186
  98,   0.5046, 0.459281
  99,   0.5007, 0.457433
 100,   0.5007, 0.459235
 101,   0.5078, 0.457947
 102,   0.5078, 0.460406
 103,   0.5057,  0.46111
