gen, ranking_scalar3_onepoint_best, ranking_scalar3_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105858
   3,   0.2577, 0.123584
   4,   0.2577, 0.133947
   5,   0.2577, 0.142969
   6,   0.2577, 0.151942
   7,   0.2871, 0.156445
   8,   0.2871, 0.171081
   9,   0.2871, 0.189066
  10,   0.2966, 0.201416
  11,   0.2981, 0.218083
  12,   0.3012, 0.231639
  13,   0.3077,  0.24259
  14,   0.3136,  0.24478
  15,   0.3259, 0.249514
  16,   0.3259, 0.254831
  17,   0.3421, 0.259358
  18,   0.3421, 0.263072
  19,    0.343, 0.261136
  20,   0.3461, 0.261176
  21,   0.3565, 0.265139
  22,   0.3618, 0.271596
  23,   0.3758, 0.276653
  24,   0.3788, 0.283893
  25,   0.3966, 0.292591
  26,   0.3966, 0.293301
  27,   0.4013, 0.305686
  28,   0.4069,  0.29826
  29,   0.4246, 0.305715
  30,   0.4288, 0.309607
  31,   0.4445, 0.316956
  32,   0.4445, 0.328632
  33,   0.4448, 0.332482
  34,   0.4517, 0.349631
  35,   0.4513, 0.345201
  36,    0.469, 0.357117
  37,    0.469, 0.357516
  38,   0.4696, 0.365512
  39,   0.4724, 0.365483
  40,   0.4742, 0.374354
  41,    0.477, 0.382937
  42,    0.479, 0.392651
  43,   0.4815, 0.404365
  44,   0.4815, 0.403763
  45,   0.4904, 0.398724
  46,   0.4974, 0.402925
  47,   0.4974, 0.411481
  48,   0.4974, 0.415275
  49,   0.5086, 0.409612
  50,   0.5086, 0.417286
  51,   0.5173, 0.418197
  52,   0.5173, 0.421095
  53,   0.5166, 0.427091
  54,   0.5166, 0.432285
  55,   0.5224, 0.437699
  56,   0.5224,   0.4435
  57,   0.5224, 0.449418
  58,   0.5337, 0.456179
  59,   0.5337, 0.455164
  60,   0.5382, 0.446159
  61,   0.5382, 0.452724
  62,   0.5393, 0.455866
  63,   0.5403, 0.465185
  64,   0.5455, 0.461409
  65,   0.5455, 0.470938
  66,   0.5455, 0.467043
  67,   0.5446,  0.46933
  68,   0.5453, 0.462845
  69,   0.5469, 0.471615
  70,   0.5469,   0.4804
  71,   0.5524, 0.477327
  72,   0.5524, 0.471041
  73,   0.5561, 0.475349
  74,   0.5561, 0.483115
  75,   0.5606, 0.481591
  76,   0.5606, 0.480349
  77,   0.5627, 0.479308
  78,   0.5627, 0.480739
  79,   0.5646,  0.48093
  80,   0.5642, 0.492732
  81,   0.5642, 0.491649
  82,   0.5687,  0.49426
  83,   0.5654, 0.486412
  84,   0.5709,  0.48833
  85,   0.5675, 0.483308
  86,   0.5722, 0.490826
  87,   0.5722, 0.493751
  88,   0.5722, 0.490629
  89,   0.5722, 0.494847
  90,   0.5732, 0.484854
  91,   0.5732, 0.495777
  92,   0.5732, 0.499221
  93,   0.5742, 0.490893
  94,   0.5742, 0.493214
  95,   0.5742, 0.498857
  96,   0.5763, 0.496637
  97,   0.5763, 0.492021
  98,    0.582, 0.485424
  99,    0.582, 0.495129
 100,    0.582, 0.490479
 101,    0.582, 0.499035
 102,    0.582, 0.501879
 103,    0.582, 0.499306
 104,   0.5819, 0.503779
 105,   0.5819, 0.501836
 106,   0.5819, 0.503319
 107,   0.5819, 0.504489
 108,   0.5834, 0.506958
 109,   0.5826, 0.514222
 110,   0.5874, 0.514234
 111,   0.5874, 0.514463
 112,   0.5874, 0.505945
 113,   0.5874, 0.509637
 114,   0.5885, 0.511299
 115,   0.5885, 0.509284
 116,   0.5923, 0.516012
 117,   0.5923, 0.508438
 118,   0.5965, 0.504561
 119,   0.5965,   0.5116
 120,   0.6027, 0.516294
 121,   0.6043, 0.517851
 122,   0.6134, 0.512749
 123,   0.6159, 0.519684
 124,   0.6159, 0.521484
 125,   0.6214, 0.523931
 126,   0.6244, 0.522199
 127,   0.6265, 0.526353
 128,   0.6377, 0.538491
 129,   0.6377,  0.54362
 130,   0.6377, 0.543758
 131,   0.6377, 0.547833
 132,   0.6393, 0.549526
 133,   0.6456, 0.554009
 134,   0.6456, 0.562851
 135,   0.6456, 0.561001
 136,   0.6462, 0.556521
 137,   0.6454, 0.555936
 138,   0.6454, 0.556036
 139,    0.652, 0.562045
 140,    0.652, 0.556962
 141,   0.6539, 0.563846
 142,   0.6539,   0.5615
 143,   0.6539, 0.563666
 144,   0.6542, 0.564691
 145,   0.6542, 0.569224
 146,   0.6537, 0.569579
 147,    0.656, 0.564674
 148,    0.656, 0.561755
 149,    0.656, 0.568716
 150,    0.656, 0.567347
 151,   0.6572, 0.561719
 152,   0.6577, 0.564308
 153,   0.6602, 0.575258
 154,   0.6602, 0.578229
 155,   0.6581, 0.573307
 156,   0.6587, 0.573995
 157,   0.6605, 0.567347
 158,   0.6605, 0.571751
 159,   0.6648, 0.566222
 160,   0.6648, 0.571998
 161,   0.6648, 0.570144
 162,   0.6648, 0.574542
 163,   0.6648, 0.576081
 164,   0.6665, 0.577933
 165,   0.6681, 0.575482
 166,   0.6681, 0.582086
 167,   0.6681, 0.585227
 168,   0.6681, 0.580002
 169,   0.6704, 0.584596
 170,   0.6751, 0.589539
 171,   0.6751, 0.581141
 172,   0.6751, 0.581559
 173,   0.6752, 0.574555
 174,   0.6752, 0.576971
 175,   0.6752, 0.579026
 176,   0.6752, 0.580887
 177,   0.6752, 0.585976
 178,   0.6752, 0.581259
 179,   0.6752, 0.577069
 180,   0.6789, 0.574735
 181,   0.6789, 0.577237
 182,   0.6789, 0.580726
 183,   0.6786, 0.588408
 184,   0.6786, 0.582476
 185,   0.6797,  0.58251
 186,   0.6797, 0.580595
 187,   0.6812, 0.587419
 188,   0.6844, 0.581231
 189,   0.6855, 0.584223
 190,    0.687,  0.59397
 191,    0.687, 0.588253
 192,    0.687, 0.592845
 193,   0.6888, 0.587201
 194,   0.6867, 0.597787
 195,    0.693, 0.594585
 196,    0.693, 0.594165
 197,   0.6952,   0.5956
 198,   0.6952, 0.596843
 199,   0.6952, 0.593436
 200,   0.6963,  0.59238
 201,   0.6991, 0.598697
 202,   0.7046, 0.600349
 203,   0.7046, 0.603433
 204,   0.7046, 0.602564
 205,   0.7046, 0.604646
 206,   0.7097, 0.602785
 207,   0.7077, 0.596985
 208,   0.7118, 0.615727
 209,   0.7118, 0.608851
 210,   0.7118, 0.612625
 211,   0.7118, 0.614246
