gen, ranking_scalar3_twopoint_best, ranking_scalar3_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.101161
   3,   0.2299, 0.126118
   4,   0.2871, 0.130998
   5,   0.2871, 0.149611
   6,   0.2926, 0.164678
   7,   0.3002,  0.16999
   8,   0.3056, 0.189177
   9,   0.3381, 0.193832
  10,   0.3381, 0.199588
  11,   0.3388, 0.215281
  12,   0.3634, 0.220352
  13,   0.3665, 0.243329
  14,   0.3724, 0.274893
  15,   0.3819,  0.30105
  16,   0.3837,  0.31679
  17,   0.3959, 0.324482
  18,   0.3953, 0.332842
  19,   0.3995, 0.337951
  20,   0.4304, 0.341074
  21,   0.4304, 0.351139
  22,   0.4337, 0.356082
  23,   0.4423, 0.365691
  24,   0.4458, 0.374507
  25,   0.4493, 0.381044
  26,   0.4542, 0.383831
  27,   0.4595, 0.388721
  28,   0.4582, 0.392898
  29,   0.4609, 0.405645
  30,   0.4643, 0.410019
  31,   0.4634, 0.409966
  32,   0.4666, 0.411069
  33,     0.47, 0.416045
  34,     0.47, 0.417289
  35,   0.4708, 0.423425
  36,   0.4726, 0.428354
  37,   0.4729, 0.425752
  38,   0.4759, 0.432402
  39,   0.4759, 0.432425
  40,   0.4784,  0.43225
  41,   0.4784, 0.434107
  42,   0.4816, 0.437925
  43,   0.4816, 0.441222
  44,   0.4812, 0.441293
  45,   0.4825, 0.441449
  46,   0.4827, 0.444465
  47,   0.4809, 0.444359
  48,   0.4809, 0.448426
  49,   0.4816, 0.447244
  50,   0.4816,   0.4484
  51,   0.4822, 0.446482
  52,   0.4841, 0.449838
  53,   0.4841, 0.448819
  54,   0.4833, 0.445996
  55,   0.4825, 0.444274
  56,   0.4837, 0.445733
  57,   0.4849, 0.441341
  58,   0.4849,  0.44318
  59,   0.4859, 0.447629
  60,   0.4873, 0.443203
  61,   0.4856, 0.443683
  62,   0.4899, 0.447703
  63,   0.4899, 0.450087
  64,   0.4962, 0.445707
  65,   0.4962, 0.446215
  66,   0.4962, 0.447264
  67,   0.4963, 0.451002
  68,   0.4963, 0.456382
  69,   0.4986, 0.458773
  70,   0.4986, 0.460584
  71,   0.4979, 0.459955
  72,   0.4996, 0.461188
  73,   0.5005, 0.459581
  74,   0.5067, 0.457799
  75,   0.5108, 0.458485
  76,   0.5177, 0.460872
  77,   0.5177, 0.459196
  78,   0.5203, 0.461799
  79,   0.5266, 0.464889
  80,   0.5266, 0.466543
  81,   0.5277, 0.469942
  82,   0.5335, 0.467248
  83,   0.5324, 0.472991
  84,   0.5382, 0.475605
  85,   0.5382,   0.4825
  86,   0.5467, 0.485079
  87,   0.5467, 0.484806
  88,   0.5479, 0.488924
  89,   0.5534, 0.488808
  90,   0.5558, 0.497451
  91,   0.5693, 0.493553
  92,   0.5693, 0.497579
  93,   0.5699, 0.496229
  94,   0.5716, 0.501433
