accuracy,sparse
  0.8064, 0.534437
  0.8078, 0.528477
  0.8069, 0.530464
  0.8053, 0.534437
  0.8062, 0.531126
  0.8059, 0.531788
  0.8051, 0.533775
  0.8062, 0.530464
  0.8053, 0.533113
  0.8045, 0.535099
  0.8056, 0.531788
  0.8047, 0.534437
  0.8062, 0.529801
  0.8053,  0.53245
  0.8046, 0.534437
   0.807, 0.527152
  0.8056, 0.531126
  0.8046, 0.533775
  0.8061, 0.529139
  0.8063, 0.528477
  0.8018, 0.527815
  0.8004, 0.531788
  0.7997,  0.53245
  0.8002, 0.529139
   0.799,  0.53245
  0.7997, 0.529801
  0.7985, 0.529139
  0.7961,  0.53245
  0.7973, 0.528477
  0.7949,  0.53245
   0.796, 0.527815
  0.7942, 0.531788
  0.7937, 0.533113
  0.7936,  0.53245
  0.7941, 0.530464
  0.7943, 0.528477
  0.7942, 0.527152
   0.793, 0.530464
  0.7925, 0.531788
  0.7926, 0.531126
  0.7919, 0.531126
  0.7925, 0.529139
  0.7932, 0.524503
  0.7903, 0.527152
  0.7914, 0.523179
   0.788, 0.531126
  0.7874, 0.531788
   0.786, 0.533113
  0.7857, 0.533775
  0.7867, 0.530464
  0.7873, 0.527152
  0.7866, 0.529139
   0.786, 0.529801
   0.787,  0.52649
  0.7851, 0.530464
  0.7855,  0.52649
  0.7823,  0.53245
  0.7835, 0.528477
  0.7817, 0.531126
  0.7845, 0.522517
  0.7816, 0.531126
  0.7821, 0.529139
  0.7832, 0.525828
  0.7793, 0.537086
  0.7814, 0.529801
  0.7804, 0.531126
  0.7801, 0.531788
  0.7801, 0.531788
  0.7793, 0.533775
  0.7807, 0.528477
  0.7785, 0.533775
  0.7783,  0.53245
  0.7788, 0.530464
  0.7791, 0.529139
  0.7779, 0.531126
  0.7805, 0.523179
  0.7795, 0.525166
  0.7785, 0.527815
  0.7754, 0.533775
  0.7763, 0.530464
  0.7768, 0.527152
  0.7751, 0.531126
  0.7757, 0.529139
  0.7754, 0.529139
  0.7759,  0.52649
  0.7745, 0.527815
  0.7722, 0.534437
  0.7733, 0.531126
  0.7755, 0.524503
  0.7746, 0.524503
   0.773, 0.529139
   0.773, 0.528477
  0.7741, 0.524503
  0.7717, 0.531126
  0.7718, 0.528477
  0.7714, 0.527152
  0.7701, 0.530464
  0.7692, 0.531788
   0.769, 0.531126
  0.7714, 0.523841
  0.7692, 0.529801
  0.7697, 0.527152
  0.7664, 0.535762
  0.7679, 0.531126
   0.768, 0.529801
  0.7648, 0.536424
  0.7661, 0.527815
  0.7654, 0.529801
  0.7635, 0.530464
  0.7647, 0.525828
   0.763, 0.527815
  0.7596, 0.535099
   0.762, 0.522517
  0.7597, 0.529139
  0.7585,  0.53245
  0.7602, 0.527152
  0.7572, 0.531126
  0.7572, 0.531126
  0.7569, 0.529801
  0.7556, 0.531126
  0.7565, 0.527815
  0.7553, 0.530464
  0.7551, 0.529801
  0.7542, 0.527815
  0.7571, 0.518543
  0.7535, 0.527152
  0.7513, 0.533113
  0.7518, 0.531126
  0.7513,  0.53245
  0.7524, 0.529139
  0.7516, 0.530464
  0.7524, 0.527815
  0.7521, 0.528477
   0.752, 0.528477
  0.7525, 0.525828
   0.752, 0.527152
   0.752, 0.527152
  0.7506, 0.530464
  0.7499, 0.531788
  0.7512, 0.527152
  0.7517, 0.525166
  0.7491,  0.53245
  0.7494, 0.530464
   0.749, 0.529139
  0.7508, 0.523179
  0.7494,  0.52649
  0.7504, 0.522517
  0.7479, 0.529801
  0.7485, 0.527152
   0.748, 0.528477
  0.7467, 0.531126
  0.7477, 0.527152
  0.7471, 0.527815
  0.7453,  0.53245
   0.747, 0.524503
  0.7454, 0.527152
   0.743,  0.53245
  0.7441, 0.528477
  0.7427, 0.531788
  0.7459, 0.521192
  0.7467, 0.515894
  0.7422, 0.527815
  0.7438, 0.522517
  0.7406, 0.530464
  0.7399, 0.531788
  0.7429, 0.522517
  0.7396, 0.531126
  0.7401,  0.52649
  0.7395, 0.527815
  0.7406, 0.524503
  0.7368, 0.535762
  0.7378, 0.531788
  0.7385, 0.529139
  0.7388, 0.527152
  0.7365, 0.531788
  0.7383, 0.525828
  0.7368, 0.529801
  0.7364, 0.530464
  0.7361, 0.531126
  0.7345, 0.529801
  0.7342, 0.530464
  0.7339, 0.530464
  0.7345, 0.525828
  0.7318, 0.533113
   0.733, 0.528477
   0.734, 0.525166
  0.7343, 0.523841
  0.7327, 0.527152
  0.7299, 0.531126
  0.7297, 0.531126
  0.7307, 0.527815
    0.73, 0.528477
  0.7293, 0.529801
   0.728, 0.531126
