gen, roulette_hypot_onepoint_best, roulette_hypot_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.106953
   3,   0.2234, 0.113015
   4,   0.2234, 0.114233
   5,   0.2315, 0.109625
   6,   0.2315, 0.112902
   7,   0.2315, 0.117969
   8,   0.2315, 0.116712
   9,   0.2315, 0.120349
  10,   0.2315, 0.122313
  11,   0.2315, 0.120026
  12,   0.2315, 0.118242
  13,   0.2315,  0.12667
  14,   0.2315, 0.129011
  15,   0.2315, 0.128406
  16,   0.2315, 0.129839
  17,   0.2315, 0.134402
  18,   0.2515, 0.137649
  19,   0.2515, 0.140155
  20,   0.2648, 0.141036
  21,   0.2903, 0.145071
  22,   0.2903, 0.148111
  23,   0.2903,  0.14951
  24,   0.3193,  0.15228
  25,   0.3193, 0.154126
  26,   0.3311, 0.160272
  27,   0.3311, 0.160999
  28,   0.3311, 0.166511
  29,   0.3437, 0.174739
  30,   0.3437,  0.17848
  31,   0.3437, 0.182043
  32,   0.3823, 0.189579
  33,   0.3823, 0.201466
  34,   0.3823,  0.20833
  35,   0.3823, 0.215254
  36,   0.3823, 0.223019
  37,   0.3823, 0.230269
  38,   0.3677, 0.237705
  39,   0.3677, 0.244655
  40,   0.3677, 0.248021
  41,   0.3677, 0.250398
  42,   0.3745, 0.252899
  43,   0.3745, 0.251228
  44,   0.3796, 0.254106
  45,   0.3796, 0.256766
  46,   0.4026, 0.257666
  47,   0.4026, 0.253056
  48,   0.4026, 0.255566
  49,   0.4026, 0.258959
  50,   0.4137, 0.261683
  51,   0.4137, 0.258056
  52,   0.4137, 0.259561
  53,   0.4137, 0.256516
  54,   0.4137, 0.256825
  55,   0.4137,  0.25668
  56,   0.4137, 0.260416
  57,    0.416,  0.26399
  58,    0.416, 0.267006
  59,    0.416, 0.274116
  60,    0.416, 0.271819
  61,    0.416, 0.276201
  62,   0.4186, 0.279091
  63,   0.4186, 0.277018
  64,   0.4186, 0.276359
  65,   0.4186, 0.275676
  66,   0.4186, 0.280044
  67,   0.4186, 0.286871
  68,   0.4186, 0.284037
  69,   0.4186, 0.285189
  70,   0.4186, 0.282108
  71,     0.43,  0.28167
  72,     0.43, 0.282265
  73,   0.4553, 0.283743
  74,   0.4553, 0.283588
  75,   0.4553,  0.28013
  76,   0.4553, 0.282752
  77,   0.4553,  0.28324
  78,   0.4553, 0.280079
  79,   0.4553,  0.28057
  80,   0.4553, 0.282736
  81,   0.4553, 0.278372
  82,   0.4553, 0.286123
  83,   0.4553, 0.288774
  84,   0.4553, 0.288954
  85,   0.4553,  0.28994
  86,   0.4606, 0.292482
  87,   0.4606, 0.294547
  88,   0.4606, 0.298526
  89,   0.4782, 0.298665
  90,   0.4899, 0.295013
  91,   0.5002, 0.296716
  92,   0.5002, 0.301693
  93,   0.5002, 0.306312
  94,   0.5002, 0.303807
  95,   0.5002, 0.308572
  96,   0.5018, 0.313138
  97,   0.5018, 0.310894
  98,   0.5018,  0.31426
  99,   0.5018, 0.315006
 100,   0.5018, 0.317409
 101,   0.5018, 0.321409
 102,   0.5018, 0.326206
 103,   0.5018, 0.323945
 104,   0.5173,  0.32744
 105,   0.5173, 0.329917
 106,   0.5173, 0.333229
 107,   0.5173, 0.338863
 108,   0.5173, 0.343289
 109,   0.5173, 0.345107
 110,   0.5173, 0.351349
 111,   0.5173, 0.356045
 112,   0.5255, 0.361372
 113,   0.5255, 0.361432
 114,   0.5255, 0.361286
 115,   0.5255, 0.366962
 116,   0.5255, 0.370741
 117,   0.5255, 0.373356
 118,   0.5255, 0.368481
 119,   0.5255, 0.369871
 120,    0.558, 0.371032
 121,    0.558, 0.373441
 122,    0.558, 0.369888
 123,    0.558, 0.367174
 124,    0.558, 0.371197
 125,    0.558,  0.36878
 126,    0.558, 0.374521
 127,    0.558, 0.372473
 128,    0.558,  0.37151
 129,    0.558, 0.373686
 130,    0.558,  0.36855
 131,    0.558, 0.369862
 132,    0.558, 0.375572
 133,    0.558, 0.369814
 134,    0.558,  0.37835
 135,    0.558, 0.376464
 136,    0.558, 0.379372
 137,    0.558, 0.380525
 138,    0.558, 0.384081
 139,    0.558, 0.382627
 140,    0.558, 0.390444
 141,    0.558,  0.38674
 142,    0.558, 0.384075
 143,    0.558, 0.383867
 144,    0.558, 0.379275
 145,    0.558, 0.376059
 146,    0.558, 0.377647
 147,    0.558, 0.381006
 148,    0.558, 0.383609
 149,    0.558, 0.385431
 150,    0.558,  0.37975
 151,    0.558, 0.383787
 152,   0.5479,    0.376
 153,   0.5479, 0.384315
 154,   0.5479, 0.388683
 155,   0.5479, 0.393535
 156,   0.5479, 0.393274
 157,   0.5479, 0.393142
 158,   0.5479,  0.38348
 159,   0.5479,  0.38207
 160,   0.5479, 0.379238
 161,   0.5479, 0.387568
 162,   0.5678, 0.387517
 163,   0.5678, 0.383841
 164,   0.5678, 0.381396
 165,   0.5678, 0.377826
 166,   0.5678, 0.374753
 167,   0.5678, 0.371695
 168,   0.5678, 0.380878
 169,   0.5678, 0.379805
 170,   0.5678, 0.382735
 171,   0.5678, 0.382443
 172,   0.5678, 0.382158
 173,   0.5781, 0.386866
 174,   0.5781, 0.389356
 175,   0.5781,  0.39288
 176,   0.5781, 0.394985
 177,   0.5781,  0.39121
 178,   0.5781,  0.39315
 179,   0.5781, 0.392543
 180,   0.5781, 0.395382
 181,   0.5781, 0.388355
 182,   0.5781, 0.389331
 183,   0.5781, 0.387393
 184,   0.5781, 0.393318
 185,   0.5781, 0.391376
 186,   0.5851, 0.383725
 187,   0.5851, 0.380559
 188,   0.5851, 0.388793
 189,   0.5851, 0.389844
 190,   0.5851, 0.397319
 191,   0.5851, 0.391001
 192,   0.5851, 0.394714
 193,   0.5851, 0.398151
 194,   0.5851, 0.394887
 195,   0.5851, 0.402016
 196,   0.5851, 0.401409
 197,   0.5851, 0.405844
 198,   0.5851, 0.407666
 199,   0.5851, 0.413676
 200,   0.5851, 0.408103
 201,   0.5851, 0.406803
 202,   0.5851, 0.399933
 203,   0.5851,  0.40635
 204,   0.5851, 0.407096
 205,   0.5851, 0.403161
 206,   0.5915, 0.399646
 207,   0.5915, 0.395317
 208,   0.5915, 0.402408
 209,   0.5915, 0.404187
 210,   0.5915, 0.414726
 211,   0.5915,  0.41545
 212,   0.5915, 0.406005
 213,   0.5915, 0.417014
 214,   0.5967, 0.416454
 215,   0.5967, 0.415279
 216,   0.5967, 0.410603
 217,   0.5967, 0.409557
 218,   0.5967, 0.415981
 219,   0.5967, 0.411875
 220,   0.5967, 0.412706
 221,   0.5967,  0.41191
 222,   0.5967, 0.412252
 223,   0.5967, 0.406419
 224,   0.5967, 0.409267
 225,   0.5967, 0.401778
 226,   0.5967, 0.406446
 227,   0.5967, 0.411035
 228,   0.5967, 0.414688
 229,   0.5943, 0.412944
 230,   0.5943, 0.408384
 231,      0.6, 0.410912
 232,      0.6, 0.402326
 233,      0.6, 0.410296
 234,      0.6, 0.414808
 235,      0.6, 0.416262
 236,      0.6, 0.421883
 237,      0.6,  0.41589
 238,      0.6, 0.419383
 239,      0.6, 0.418539
 240,      0.6, 0.415282
 241,      0.6, 0.414861
 242,      0.6, 0.421088
 243,      0.6, 0.422531
 244,      0.6, 0.427043
 245,      0.6, 0.423165
 246,      0.6, 0.429864
 247,   0.6101, 0.425926
 248,   0.6101, 0.427725
 249,   0.6101, 0.436665
 250,   0.6101, 0.431709
 251,   0.6101,   0.4306
 252,   0.6101, 0.426167
 253,   0.6101, 0.422659
 254,   0.6101,  0.42439
 255,   0.6101, 0.421473
 256,   0.6101, 0.424384
 257,   0.6101, 0.424828
 258,   0.6101, 0.422499
 259,   0.6101, 0.425834
 260,   0.6162, 0.422542
 261,   0.6162, 0.422746
 262,   0.6162, 0.416016
 263,   0.6162, 0.418414
 264,   0.6162, 0.424318
 265,   0.6162, 0.429224
 266,   0.6162, 0.427748
 267,   0.6162, 0.414607
 268,   0.6162, 0.418053
 269,   0.6162,  0.42048
 270,   0.6196, 0.426994
 271,   0.6196, 0.420204
 272,   0.6196, 0.426008
 273,   0.6196, 0.437617
 274,   0.6196, 0.435941
 275,   0.6196, 0.434067
 276,   0.6196,  0.43345
 277,   0.6196, 0.430499
 278,   0.6196, 0.426297
 279,   0.6196, 0.430986
 280,   0.6196, 0.431555
 281,   0.6196, 0.434408
 282,   0.6196,  0.43662
 283,   0.6196, 0.431956
 284,   0.6196, 0.430477
 285,   0.6196, 0.429911
 286,   0.6196,  0.42863
 287,   0.6196, 0.424003
 288,   0.6196, 0.423782
 289,   0.6196, 0.427662
 290,   0.6221, 0.425018
 291,   0.6221, 0.425751
 292,   0.6221, 0.426349
 293,   0.6221, 0.428603
 294,   0.6221, 0.423914
 295,   0.6221,   0.4282
 296,   0.6221,  0.43018
 297,   0.6221, 0.433869
 298,   0.6221, 0.435779
 299,   0.6221, 0.429994
 300,   0.6221, 0.427642
 301,   0.6221, 0.425409
 302,   0.6221, 0.435088
 303,   0.6227, 0.444959
 304,   0.6272, 0.438693
 305,   0.6272, 0.432887
 306,   0.6272,  0.42658
 307,   0.6272, 0.429994
 308,   0.6244, 0.428197
 309,   0.6244, 0.428215
 310,   0.6244, 0.429405
 311,   0.6244, 0.431423
 312,   0.6244, 0.429566
 313,   0.6244, 0.431468
 314,   0.6244, 0.425165
 315,   0.6244, 0.422879
 316,   0.6244, 0.431648
 317,   0.6244, 0.435736
 318,   0.6244, 0.434558
 319,   0.6244, 0.434378
 320,   0.6244, 0.428465
 321,   0.6244,  0.42506
 322,   0.6244, 0.430849
 323,   0.6244, 0.436506
 324,   0.6244, 0.431579
 325,   0.6266, 0.437718
 326,   0.6266, 0.443121
 327,   0.6266, 0.444174
 328,   0.6268, 0.438929
 329,   0.6268, 0.437224
 330,   0.6275, 0.435305
 331,   0.6275, 0.434447
 332,    0.643, 0.442593
 333,    0.643, 0.435301
 334,    0.643, 0.434649
 335,    0.643, 0.439974
 336,    0.643,  0.44037
 337,    0.643, 0.446185
 338,    0.643, 0.446888
 339,    0.643, 0.443652
 340,    0.643,   0.4461
 341,    0.643,  0.44422
 342,    0.643, 0.444811
 343,    0.643, 0.443422
 344,    0.643,  0.43546
 345,    0.643, 0.435859
 346,    0.643, 0.442877
 347,    0.643, 0.438507
 348,    0.643, 0.442823
 349,    0.643, 0.436457
 350,    0.643, 0.447861
 351,    0.643, 0.441904
 352,    0.643, 0.449466
 353,    0.643, 0.446692
 354,    0.643, 0.446802
 355,    0.643, 0.443439
 356,    0.643, 0.441305
 357,    0.643, 0.440876
 358,    0.643,  0.43789
 359,    0.643, 0.436824
 360,    0.643, 0.448041
 361,    0.643, 0.446795
 362,    0.643, 0.446253
 363,    0.643,  0.44921
 364,    0.643, 0.446785
 365,    0.643, 0.443655
 366,    0.643, 0.445412
 367,    0.643, 0.441985
 368,    0.643, 0.441716
 369,    0.643, 0.439068
 370,    0.643, 0.441601
 371,    0.643, 0.444995
 372,    0.643, 0.443624
 373,    0.643, 0.437063
 374,    0.643, 0.447042
 375,    0.643, 0.441337
 376,    0.643, 0.446064
 377,    0.643, 0.440414
 378,    0.643, 0.437811
 379,    0.643, 0.437194
 380,    0.643,  0.43662
 381,    0.643, 0.447501
 382,    0.643, 0.443295
 383,    0.643, 0.440886
 384,    0.643, 0.439371
 385,    0.643, 0.441856
 386,    0.643, 0.444833
 387,    0.643, 0.440119
 388,    0.643, 0.444301
 389,    0.643,  0.44087
 390,    0.643, 0.444147
 391,    0.643,  0.44097
 392,    0.643,  0.44499
 393,    0.643, 0.438066
 394,    0.643, 0.433862
 395,    0.643, 0.433499
 396,    0.643, 0.432335
 397,    0.643, 0.431262
 398,    0.643,   0.4294
 399,    0.643,  0.44392
 400,    0.643, 0.439272
 401,    0.643, 0.438395
 402,    0.643, 0.442878
 403,   0.6371, 0.444404
 404,   0.6371, 0.446227
