accuracy,sparse
  0.7757, 0.417881
  0.7756, 0.417881
   0.777,  0.41457
  0.7779, 0.411258
   0.776,  0.41457
   0.772, 0.421854
  0.7741, 0.417881
  0.7764, 0.413245
  0.7798, 0.406623
  0.7776, 0.409934
  0.7776, 0.409934
  0.7754, 0.413907
  0.7722, 0.419205
  0.7703, 0.422517
  0.7753, 0.413245
   0.771, 0.421192
  0.7766, 0.410596
  0.7717, 0.419205
  0.7769, 0.409272
  0.7718, 0.418543
  0.7561, 0.409934
  0.7497, 0.421192
  0.7274, 0.418543
  0.7339, 0.406623
  0.7287, 0.412583
  0.7254, 0.412583
   0.728, 0.405298
  0.7185, 0.410596
  0.7116, 0.413907
  0.7154, 0.407285
   0.699, 0.421192
  0.6996, 0.412583
  0.6969,  0.41457
  0.7019, 0.404636
  0.6919, 0.407285
  0.6882, 0.411921
  0.6859, 0.411921
  0.6815, 0.415232
  0.6827, 0.411258
  0.6786, 0.415894
  0.6751,  0.41457
  0.6799, 0.404636
  0.6722, 0.417219
  0.6698, 0.417219
  0.6741, 0.409934
  0.6742, 0.407285
   0.673, 0.406623
  0.6735, 0.405298
  0.6677,  0.41457
  0.6707, 0.409272
  0.6705, 0.409272
  0.6646, 0.417219
  0.6746,      0.4
  0.6629,  0.41457
  0.6677, 0.401325
  0.6627, 0.405298
  0.6533, 0.419868
   0.654, 0.411921
  0.6589, 0.403974
  0.6523, 0.412583
  0.6517, 0.411921
  0.6514,  0.40596
  0.6492, 0.408609
  0.6471, 0.409934
  0.6506, 0.403974
   0.654, 0.397351
  0.6453, 0.408609
  0.6359, 0.418543
  0.6369, 0.411258
  0.6392, 0.406623
  0.6398, 0.401325
  0.6346, 0.407285
  0.6378, 0.401325
  0.6224, 0.421854
    0.63, 0.409934
  0.6338, 0.403311
  0.6288, 0.410596
  0.6303, 0.407947
  0.6299, 0.407285
  0.6318, 0.403974
  0.6247,  0.41457
  0.6243, 0.412583
  0.6272, 0.407947
  0.6258, 0.408609
  0.6302, 0.401325
  0.6256, 0.407947
  0.6253, 0.407285
  0.6261, 0.401987
  0.6149, 0.417219
  0.6196, 0.406623
  0.6191, 0.406623
  0.6159, 0.410596
  0.6195, 0.403974
  0.6128, 0.413245
  0.6159, 0.408609
   0.617, 0.404636
  0.6137, 0.409272
  0.6129, 0.409272
  0.6215, 0.395364
  0.6108, 0.407947
  0.6036, 0.417881
  0.6161, 0.398676
  0.6111,  0.40596
   0.604, 0.415894
  0.6058, 0.413245
   0.606, 0.411921
  0.6124, 0.401987
  0.6061, 0.410596
  0.6037, 0.413245
   0.607, 0.407285
  0.6092, 0.403974
  0.6086, 0.402649
    0.61,      0.4
  0.6017, 0.411258
  0.6081, 0.400662
   0.596, 0.416556
  0.6022, 0.406623
  0.6037, 0.403974
  0.6039, 0.403311
  0.6047, 0.401325
  0.6003, 0.406623
  0.5967, 0.409934
  0.5996, 0.404636
  0.6004, 0.401325
  0.6016, 0.398676
  0.5936, 0.409934
  0.5938, 0.408609
   0.592, 0.409934
   0.595, 0.403974
  0.5895, 0.411921
  0.5975, 0.397351
  0.5989, 0.394702
  0.5905,  0.40596
   0.581, 0.418543
  0.5908, 0.402649
  0.5828, 0.413907
  0.5933, 0.398676
   0.583, 0.413245
  0.5802,  0.41457
  0.5832, 0.405298
  0.5862,      0.4
  0.5841, 0.402649
  0.5848, 0.398676
  0.5752, 0.411921
  0.5733, 0.411258
  0.5757,  0.40596
  0.5689, 0.415232
   0.575,  0.40596
  0.5732, 0.407947
  0.5713, 0.409934
  0.5666, 0.415894
  0.5731, 0.406623
  0.5666, 0.412583
  0.5747, 0.398676
