gen, roulette_hypot_twopoint_best, roulette_hypot_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.107067
   3,   0.2261, 0.112263
   4,   0.2353, 0.115379
   5,   0.2353, 0.119037
   6,   0.2353, 0.121159
   7,   0.2353, 0.122038
   8,   0.2353, 0.121505
   9,   0.2399, 0.123134
  10,   0.2383,    0.121
  11,   0.2383,  0.12798
  12,   0.2383, 0.132421
  13,    0.264, 0.131932
  14,    0.264, 0.135774
  15,   0.2619, 0.139429
  16,   0.2619, 0.141213
  17,   0.2619, 0.144493
  18,   0.2766, 0.144305
  19,   0.2766, 0.143661
  20,   0.2766, 0.147953
  21,   0.2766,  0.15312
  22,   0.2999, 0.155705
  23,   0.2999, 0.157907
  24,   0.2999, 0.157041
  25,   0.3108, 0.159776
  26,   0.3108, 0.170699
  27,   0.3072,  0.16906
  28,   0.3072, 0.170535
  29,   0.3072, 0.173513
  30,   0.3072, 0.178474
  31,    0.309, 0.178589
  32,    0.309,  0.17909
  33,   0.3303, 0.184386
  34,   0.3388, 0.183148
  35,   0.3388, 0.180662
  36,   0.3388, 0.181773
  37,   0.3388, 0.191885
  38,   0.3412, 0.198537
  39,   0.3608, 0.207729
  40,   0.3608, 0.215058
  41,   0.3652, 0.223053
  42,   0.3593, 0.227184
  43,   0.3593, 0.232024
  44,   0.3593, 0.238613
  45,   0.3791, 0.242651
  46,   0.3791, 0.247149
  47,   0.3791, 0.257955
  48,   0.3791, 0.260624
  49,   0.3913, 0.267984
  50,   0.3913, 0.266587
  51,   0.3978, 0.276697
  52,   0.4187, 0.279148
  53,   0.4187, 0.278656
  54,   0.4187, 0.281738
  55,   0.4187, 0.284791
  56,   0.4187, 0.287527
  57,   0.4117,  0.29304
  58,   0.4117, 0.291143
  59,   0.4117, 0.294991
  60,   0.4131, 0.295238
  61,   0.4131, 0.298168
  62,   0.4677, 0.295873
  63,   0.4677, 0.292672
  64,   0.4677, 0.296325
  65,   0.4677, 0.297996
  66,   0.4677, 0.300497
  67,   0.4677, 0.300619
  68,   0.4677, 0.303074
  69,   0.4677, 0.308713
  70,   0.4677, 0.312956
  71,   0.4677, 0.315967
  72,   0.4677, 0.316709
  73,   0.4677, 0.323637
  74,   0.4677, 0.330597
  75,   0.4677, 0.329545
  76,   0.4677, 0.334517
  77,   0.4683, 0.330541
  78,   0.4683, 0.328326
  79,   0.4749,  0.33541
  80,   0.4749, 0.335911
  81,   0.4749, 0.341249
  82,   0.4761, 0.333178
  83,   0.4837, 0.335051
  84,   0.4837, 0.346085
  85,   0.4837, 0.354663
  86,   0.4837, 0.352266
  87,   0.4848, 0.348742
  88,   0.4887,  0.34686
  89,   0.4887, 0.348363
  90,   0.4879, 0.350137
  91,   0.4879, 0.346041
  92,   0.4879, 0.346363
  93,   0.4918, 0.347792
  94,   0.4918, 0.349991
  95,   0.4918, 0.352419
  96,   0.4955, 0.353046
  97,   0.4955,  0.34932
  98,   0.4955, 0.352195
  99,   0.4955, 0.349891
 100,   0.4955, 0.352589
 101,   0.4955, 0.349773
 102,   0.4955, 0.355449
 103,   0.4955,  0.35131
 104,   0.4955, 0.351529
 105,   0.4955, 0.354859
 106,   0.4955, 0.353027
 107,   0.4955, 0.355982
 108,   0.4955, 0.353893
 109,   0.4955, 0.356398
 110,   0.4955, 0.354736
 111,   0.4955, 0.352128
 112,   0.4955, 0.350628
 113,   0.4967, 0.352081
 114,   0.4967, 0.353429
 115,   0.5034,  0.35879
 116,   0.5034, 0.355327
 117,   0.5034, 0.351201
 118,   0.5034, 0.354344
 119,   0.5034, 0.357117
 120,   0.5034, 0.355761
 121,   0.5034, 0.363929
 122,   0.5079,  0.35674
 123,   0.5079, 0.352046
 124,   0.5079, 0.352298
 125,   0.5079, 0.346943
 126,   0.5079, 0.346702
 127,   0.5079, 0.352439
 128,   0.5079, 0.360001
 129,   0.5079,  0.36386
 130,   0.5079, 0.364206
 131,   0.5079, 0.365285
 132,   0.5079, 0.364339
 133,   0.5079, 0.366075
 134,   0.5144, 0.358894
 135,   0.5144, 0.351781
 136,   0.5066, 0.360193
 137,   0.5066,  0.36458
 138,   0.5209, 0.365642
 139,   0.5209, 0.365153
 140,   0.5209,  0.36814
