accuracy,sparse
  0.7522, 0.430464
  0.7581, 0.418543
  0.7575, 0.419205
  0.7558, 0.419868
  0.7518, 0.425166
  0.7553, 0.417881
  0.7519, 0.423841
  0.7513, 0.424503
  0.7535,  0.42053
  0.7536, 0.419868
  0.7499, 0.425828
  0.7517, 0.422517
  0.7502, 0.425166
  0.7505, 0.424503
  0.7477, 0.429139
  0.7529, 0.419868
  0.7509, 0.423179
  0.7532, 0.418543
  0.7508, 0.422517
  0.7504, 0.423179
  0.7278, 0.417219
   0.721, 0.413907
  0.7136, 0.421192
  0.7159, 0.412583
  0.7146, 0.413245
  0.7116, 0.417881
  0.7032, 0.428477
   0.711, 0.411921
  0.7052, 0.421192
  0.7041, 0.422517
  0.7075, 0.411921
   0.703, 0.416556
  0.6993, 0.417881
  0.6947, 0.425166
  0.6965, 0.421192
  0.6981, 0.417219
  0.6943, 0.423179
  0.6919, 0.425166
   0.685, 0.423179
  0.6801, 0.423179
  0.6827, 0.418543
  0.6748, 0.429139
  0.6761,  0.42649
  0.6781, 0.416556
  0.6708, 0.427815
  0.6691, 0.424503
  0.6702, 0.419205
  0.6696, 0.419868
  0.6684, 0.419868
  0.6672, 0.416556
  0.6681, 0.413907
  0.6663, 0.413907
   0.665, 0.415232
  0.6591, 0.421192
  0.6623, 0.415232
  0.6523, 0.428477
  0.6535, 0.423179
  0.6639, 0.406623
  0.6529, 0.421854
  0.6514, 0.423179
  0.6517, 0.422517
  0.6493, 0.425828
  0.6549, 0.416556
  0.6559, 0.413907
  0.6486, 0.424503
  0.6483, 0.416556
  0.6458, 0.417219
  0.6463, 0.411258
  0.6416, 0.417881
  0.6374, 0.419205
  0.6346,  0.42053
  0.6348, 0.418543
  0.6362, 0.413245
  0.6261, 0.427152
  0.6302, 0.416556
  0.6281, 0.416556
  0.6182, 0.428477
  0.6215, 0.423179
  0.6234, 0.419868
  0.6162, 0.428477
  0.6201, 0.422517
   0.625,  0.41457
  0.6189, 0.423179
  0.6268, 0.410596
  0.6192, 0.419205
  0.6181,  0.42053
  0.6206, 0.415894
  0.6213,  0.41457
  0.6203, 0.411921
    0.61, 0.421854
  0.6159, 0.412583
  0.6238,      0.4
  0.6162, 0.411258
  0.6109, 0.417219
  0.6072, 0.421854
  0.6113, 0.413907
  0.6113, 0.413245
  0.6075, 0.417219
  0.6046, 0.417219
  0.6063,  0.41457
  0.6063, 0.413907
  0.6051,  0.41457
  0.6048,  0.41457
  0.6025, 0.415894
  0.6036, 0.413907
  0.5978, 0.421854
   0.603, 0.413245
  0.6036, 0.409272
  0.5984, 0.416556
  0.5969, 0.415232
  0.6027, 0.406623
  0.5992, 0.409272
  0.5985, 0.409934
  0.5953, 0.413907
  0.5885, 0.423179
  0.5985, 0.408609
  0.5932, 0.415232
  0.5941, 0.411921
   0.594, 0.411921
  0.5898, 0.417881
  0.5909, 0.415894
  0.5906, 0.415232
   0.592, 0.412583
   0.582, 0.421192
  0.5805, 0.423179
  0.5816, 0.417881
  0.5841, 0.411258
  0.5708, 0.429139
   0.581, 0.413245
  0.5773, 0.417881
  0.5829, 0.409272
  0.5761, 0.418543
  0.5721, 0.423179
  0.5757, 0.413907
  0.5723, 0.418543
  0.5774, 0.411258
  0.5755, 0.412583
  0.5703, 0.417219
  0.5743, 0.409934
  0.5659, 0.421192
  0.5647, 0.422517
  0.5679, 0.416556
  0.5748, 0.406623
  0.5701, 0.412583
  0.5694, 0.413245
  0.5643, 0.419205
  0.5688, 0.409272
  0.5623, 0.417219
  0.5641, 0.413245
  0.5667, 0.409272
  0.5569, 0.421854
  0.5692, 0.404636
  0.5608, 0.415232
  0.5579, 0.415232
  0.5592, 0.411258
  0.5608, 0.408609
  0.5547, 0.416556
  0.5538, 0.416556
  0.5458,  0.42649
  0.5539, 0.415894
  0.5546,  0.41457
  0.5524, 0.417219
   0.552, 0.415232
  0.5518, 0.415232
   0.545, 0.423841
   0.554, 0.411921
  0.5505,  0.41457
  0.5565, 0.405298
   0.548, 0.416556
  0.5459, 0.418543
  0.5466, 0.417219
  0.5493, 0.411921
  0.5431, 0.419868
  0.5387, 0.424503
   0.545, 0.415894
  0.5487, 0.409934
  0.5412, 0.419205
  0.5374, 0.423179
  0.5465, 0.411258
  0.5396, 0.419868
  0.5439, 0.413245
  0.5451, 0.411258
  0.5424, 0.413907
  0.5456, 0.409272
  0.5468, 0.407285
  0.5383, 0.417881
  0.5444, 0.409272
  0.5398,  0.41457
  0.5435, 0.409272
  0.5399, 0.413907
  0.5393, 0.413907
  0.5393, 0.413907
  0.5333,  0.42053
  0.5356, 0.417219
  0.5401, 0.411258
   0.545, 0.403974
  0.5289, 0.423841
   0.542, 0.406623
  0.5378, 0.411258
  0.5297, 0.421192
   0.529, 0.421854
  0.5352, 0.413245
  0.5335, 0.415232
  0.5404,  0.40596
  0.5338, 0.413907
  0.5247, 0.423179
  0.5271, 0.419868
   0.529, 0.417219
  0.5402, 0.401987
  0.5316, 0.412583
  0.5348, 0.407285
  0.5264, 0.417219
  0.5187,  0.42649
  0.5267, 0.415894
  0.5315, 0.406623
  0.5278, 0.411258
  0.5261, 0.412583
  0.5255, 0.413245
  0.5208, 0.417881
  0.5188, 0.419868
  0.5212, 0.416556
  0.5238, 0.413245
  0.5243, 0.412583
  0.5297, 0.405298
  0.5199, 0.417219
  0.5146, 0.423179
  0.5215,  0.41457
  0.5243, 0.409272
  0.5193, 0.412583
  0.5218, 0.406623
  0.5142,  0.41457
  0.5204, 0.404636
  0.5176, 0.407947
  0.5169, 0.407285
  0.5161, 0.407947
  0.5086, 0.417219
  0.5062, 0.416556
  0.5099, 0.411921
   0.516, 0.403311
   0.509, 0.410596
  0.5075, 0.410596
  0.5117, 0.403974
  0.5034, 0.413907
  0.5161, 0.396026
  0.5017, 0.411921
  0.4938, 0.421192
  0.4955, 0.415894
  0.4948, 0.415894
  0.4919, 0.418543
  0.4901, 0.419205
  0.4999, 0.406623
  0.4912, 0.416556
  0.4988, 0.407285
  0.5057, 0.398676
   0.498, 0.407285
  0.4864, 0.419868
   0.488, 0.417219
  0.4918, 0.412583
  0.4886, 0.415894
  0.4931, 0.409934
  0.4868, 0.415232
  0.4873,  0.41457
  0.4833, 0.417219
  0.4902, 0.407947
  0.4883, 0.409934
  0.4901, 0.407285
  0.4926, 0.403974
  0.4892, 0.407947
  0.4858, 0.411921
  0.4779, 0.418543
  0.4899, 0.403974
  0.4892, 0.404636
  0.4872, 0.405298
  0.4819, 0.409934
  0.4786, 0.413245
  0.4733, 0.419205
  0.4748, 0.416556
  0.4776, 0.413245
  0.4804, 0.409934
  0.4775, 0.413245
  0.4746, 0.416556
  0.4762,  0.41457
  0.4785, 0.411258
  0.4718, 0.417881
  0.4708, 0.418543
  0.4678, 0.421192
  0.4788, 0.408609
  0.4634, 0.425828
  0.4832, 0.402649
  0.4724, 0.415232
  0.4787, 0.407947
  0.4763, 0.410596
  0.4704, 0.416556
  0.4774, 0.405298
  0.4703, 0.411258
  0.4694, 0.410596
  0.4645, 0.415894
  0.4679, 0.411921
  0.4618, 0.417881
  0.4637, 0.415232
   0.468, 0.409934
   0.464, 0.411921
  0.4541, 0.421854
  0.4666, 0.407947
   0.462, 0.411258
  0.4537, 0.417881
  0.4632, 0.407285
  0.4566, 0.413245
  0.4558, 0.413907
  0.4563, 0.411921
  0.4502, 0.416556
  0.4555, 0.409934
   0.456, 0.409272
  0.4501,  0.41457
  0.4476, 0.416556
  0.4612, 0.401325
  0.4497, 0.412583
  0.4441, 0.415894
  0.4511, 0.406623
  0.4338, 0.422517
   0.438, 0.417881
  0.4478, 0.407285
  0.4484, 0.406623
  0.4522, 0.401325
  0.4363, 0.413907
  0.4368, 0.412583
  0.4398, 0.409272
  0.4374, 0.411258
  0.4377, 0.409272
  0.4395,  0.40596
  0.4226, 0.421192
  0.4379, 0.401987
  0.4197,  0.42053
  0.4366, 0.401987
  0.4297, 0.408609
  0.4229, 0.413245
  0.4161, 0.411921
  0.4088, 0.418543
  0.4218, 0.404636
  0.4201, 0.405298
  0.4091, 0.415232
   0.407, 0.416556
  0.4187, 0.404636
  0.4006, 0.422517
  0.4099, 0.412583
  0.4145, 0.407285
  0.4054, 0.415232
  0.4127, 0.407285
  0.4063, 0.413245
  0.4133,  0.40596
  0.4108, 0.407947
  0.3991, 0.415894
  0.4026, 0.408609
   0.398, 0.412583
  0.4015, 0.407285
  0.3864, 0.421192
   0.403, 0.402649
  0.3787, 0.424503
  0.3964, 0.407285
  0.3963, 0.407285
  0.3812, 0.418543
  0.3949,      0.4
    0.38, 0.411921
  0.3761, 0.415232
  0.3888, 0.401987
  0.3725, 0.416556
  0.3819, 0.407285
  0.3746, 0.411921
   0.381,  0.40596
  0.3775, 0.408609
  0.3685, 0.415232
  0.3756, 0.407947
  0.3807, 0.398013
  0.3646, 0.412583
   0.374, 0.403974
  0.3606, 0.413907
  0.3484, 0.423841
   0.357, 0.415894
   0.373, 0.401325
  0.3578,  0.41457
  0.3669,  0.40596
  0.3532,  0.41457
  0.3562, 0.410596
   0.344, 0.418543
  0.3493, 0.411921
  0.3429, 0.415894
   0.341,  0.41457
  0.3575,      0.4
  0.3368, 0.417219
  0.3351, 0.411258
  0.3171, 0.418543
  0.3209, 0.413907
  0.3215, 0.412583
  0.3093, 0.415894
  0.3183, 0.403974
  0.2835, 0.415232
  0.2936, 0.406623
  0.2725,  0.40596
   0.253, 0.417881
   0.264, 0.409272
