gen, roulette_hypot_uniform_best, roulette_hypot_uniform_ave
   1,   0.2261, 0.100111
   2,    0.197, 0.108449
   3,    0.197, 0.107123
   4,   0.2389, 0.109241
   5,   0.2389, 0.109061
   6,   0.2389,  0.11041
   7,   0.2389, 0.113549
   8,   0.2389, 0.111814
   9,   0.2711, 0.111607
  10,   0.2711,   0.1135
  11,   0.2711, 0.111953
  12,   0.2711, 0.113303
  13,   0.2711, 0.115887
  14,   0.2711,  0.11603
  15,   0.2711, 0.118324
  16,   0.2961, 0.117138
  17,   0.2961, 0.115031
  18,   0.2961, 0.117895
  19,   0.2961, 0.120436
  20,   0.2961, 0.116959
  21,   0.2884, 0.122319
  22,   0.2884, 0.124449
  23,   0.2884, 0.121859
  24,   0.2884, 0.124246
  25,   0.2884, 0.121545
  26,   0.2884, 0.121632
  27,   0.2884, 0.123049
  28,   0.2884, 0.126484
  29,   0.2884, 0.128186
  30,   0.2884, 0.126428
  31,   0.2884,  0.13374
  32,   0.2884, 0.131603
  33,   0.2884, 0.131208
  34,   0.2884, 0.135945
  35,   0.2884, 0.135317
  36,   0.2884, 0.137314
  37,   0.2884, 0.136656
  38,   0.2884, 0.134073
  39,   0.2884,  0.13607
  40,   0.2884, 0.137838
  41,   0.2884, 0.140262
  42,   0.2884, 0.136629
  43,   0.2884, 0.138683
  44,   0.2884, 0.141512
  45,   0.2884, 0.144101
  46,   0.2884, 0.141727
  47,   0.2884, 0.141353
  48,   0.2884, 0.143248
  49,   0.2884, 0.142826
  50,   0.2992, 0.145685
  51,   0.2882, 0.147405
  52,   0.2882, 0.146761
  53,   0.2882,  0.14591
  54,   0.2882, 0.147683
  55,   0.2882, 0.151567
  56,   0.2882, 0.152532
  57,   0.2882, 0.157038
  58,   0.2882, 0.160593
  59,   0.2882, 0.161341
  60,   0.2882, 0.157257
  61,   0.3767, 0.160553
  62,   0.3767, 0.160379
  63,   0.3767, 0.164841
  64,   0.3767, 0.160925
  65,   0.3767,  0.16408
  66,   0.3767, 0.166433
  67,   0.3767, 0.169582
  68,   0.3767, 0.167779
  69,   0.3767, 0.169023
  70,   0.3767, 0.172502
  71,   0.3767, 0.174122
  72,   0.3767, 0.182113
  73,   0.3767, 0.173611
  74,   0.3767, 0.178547
  75,   0.3767, 0.182936
  76,   0.3767,  0.18309
  77,   0.3767,  0.18376
  78,   0.3767, 0.185891
  79,   0.3767, 0.184823
  80,   0.3767, 0.187362
  81,   0.3767, 0.186278
  82,   0.3767, 0.189549
  83,   0.3767, 0.192069
  84,   0.3767, 0.193845
  85,   0.3767, 0.195327
  86,   0.3767, 0.197811
  87,   0.3767, 0.198767
  88,   0.3767, 0.198708
  89,   0.3767, 0.197134
  90,   0.3767, 0.197063
  91,   0.3767, 0.203917
  92,   0.3767, 0.194918
  93,   0.3767, 0.204033
  94,   0.3767, 0.203817
  95,   0.3767, 0.206403
  96,   0.3767, 0.207257
  97,   0.3767, 0.208118
  98,   0.3767, 0.209189
  99,   0.3767, 0.209829
 100,   0.3767, 0.212287
 101,   0.3767, 0.214945
 102,   0.3767, 0.207467
 103,   0.3767,  0.20913
 104,   0.3767, 0.207964
 105,   0.3767, 0.211174
 106,   0.3767, 0.215546
 107,   0.3767, 0.217085
 108,   0.3767, 0.219604
 109,   0.3767, 0.214661
 110,   0.3767, 0.214622
 111,   0.3767, 0.214203
 112,   0.3767,  0.21428
 113,   0.3767, 0.219521
 114,   0.3767, 0.222995
 115,   0.3767, 0.217197
 116,   0.3767, 0.218077
 117,   0.4136, 0.222344
 118,   0.4136, 0.222706
 119,   0.4136, 0.222271
 120,   0.4136, 0.222571
 121,   0.4136,  0.22436
 122,   0.4136,  0.22549
 123,   0.4136, 0.226557
 124,   0.4136, 0.226542
 125,   0.4136, 0.223703
 126,   0.4136, 0.227766
 127,   0.4136, 0.227099
 128,   0.4136, 0.226695
 129,   0.4136, 0.232486
 130,   0.4136, 0.231762
 131,   0.4136, 0.229254
 132,   0.4136, 0.229692
 133,   0.4136, 0.234587
 134,   0.4136,   0.2309
 135,   0.4136, 0.226054
 136,   0.4136, 0.230981
 137,   0.4136, 0.235052
 138,   0.4136, 0.238193
 139,   0.4136, 0.237095
 140,   0.4136, 0.238769
 141,   0.4136, 0.237256
 142,   0.4136, 0.240187
 143,   0.4136, 0.242756
 144,   0.4136, 0.242304
 145,   0.4136, 0.242873
 146,   0.4136, 0.242009
 147,   0.4136, 0.241242
 148,   0.4136,    0.239
 149,   0.4136, 0.243495
 150,   0.4136, 0.238057
 151,   0.4136, 0.242274
 152,   0.4136, 0.244124
 153,   0.4136, 0.242169
 154,   0.4136, 0.243131
 155,   0.4136, 0.243541
 156,   0.4136, 0.244993
 157,   0.4136,   0.2491
 158,   0.4136, 0.248912
 159,   0.4136, 0.252253
 160,   0.4136, 0.250143
 161,    0.426, 0.251961
 162,    0.426,  0.25332
 163,    0.426, 0.250363
 164,    0.426, 0.253903
 165,    0.426,  0.25806
 166,    0.426, 0.255921
 167,    0.426, 0.255089
 168,    0.426, 0.260514
 169,    0.426, 0.258914
 170,    0.426, 0.260857
 171,    0.426, 0.263615
 172,    0.426, 0.262453
 173,    0.426, 0.266831
 174,    0.426, 0.265377
 175,    0.426, 0.268239
 176,    0.426, 0.268892
 177,    0.426, 0.277391
 178,   0.4161, 0.270604
 179,   0.4161, 0.269544
 180,   0.4161, 0.269697
 181,   0.4161, 0.269523
 182,   0.4161, 0.275448
 183,   0.4161,  0.27242
