accuracy,sparse
  0.7186, 0.433775
  0.7148, 0.438411
  0.7173, 0.433775
  0.7138, 0.439073
  0.7122, 0.439735
  0.7193, 0.427152
  0.7139, 0.433775
  0.7114, 0.437748
  0.7161, 0.429801
  0.7152, 0.430464
  0.7133, 0.433113
  0.7115, 0.435762
  0.7118, 0.435099
  0.7123, 0.433775
  0.7151, 0.429139
  0.7127, 0.433113
  0.7086, 0.439735
  0.7097, 0.437748
   0.709, 0.438411
  0.7092, 0.437748
  0.7131, 0.431126
   0.707, 0.434437
  0.6967, 0.434437
  0.6836, 0.433775
  0.6764,  0.42649
  0.6679, 0.429139
  0.6655, 0.429801
  0.6635, 0.429139
  0.6678, 0.415894
   0.656, 0.433113
  0.6602, 0.424503
  0.6443, 0.424503
  0.6419, 0.419868
    0.63, 0.436424
  0.6338, 0.427152
  0.6317, 0.424503
  0.6251,  0.43245
  0.6226, 0.433775
  0.6247, 0.427815
  0.6214, 0.428477
   0.619, 0.431126
  0.6227, 0.425166
  0.6232, 0.423841
  0.6165,  0.43245
  0.6157, 0.431788
  0.6236, 0.419868
  0.6236, 0.419205
   0.619, 0.424503
  0.6184, 0.424503
   0.619, 0.421854
  0.6126, 0.429139
  0.6078, 0.433775
  0.6123, 0.427152
  0.6093, 0.430464
  0.6068, 0.433113
  0.6112, 0.421854
  0.6041, 0.431126
  0.6033, 0.431788
  0.6014, 0.433113
  0.6042, 0.429139
  0.6058,  0.42649
  0.6001, 0.433775
  0.6009,  0.43245
  0.6053, 0.425166
  0.6012, 0.430464
  0.6042, 0.425828
  0.6005, 0.430464
   0.611, 0.413907
  0.5985, 0.431126
  0.6065, 0.418543
  0.6039, 0.421192
  0.6035,  0.42053
  0.5937, 0.433775
  0.6012, 0.421854
  0.5997, 0.423841
  0.5937, 0.431126
  0.5901, 0.435762
  0.6011, 0.418543
  0.5883, 0.435762
  0.5858, 0.439073
  0.5915, 0.429801
  0.5892, 0.431126
  0.5908, 0.428477
  0.5859, 0.435099
  0.5945, 0.419205
  0.5795, 0.433775
  0.5829, 0.427815
  0.5862, 0.422517
  0.5836, 0.425828
  0.5926, 0.412583
  0.5818, 0.427152
  0.5822,  0.42649
  0.5841, 0.423841
  0.5813, 0.427152
  0.5804, 0.427152
  0.5799, 0.427815
  0.5719, 0.438411
  0.5837, 0.422517
  0.5829, 0.422517
   0.575,  0.43245
  0.5826, 0.421192
  0.5722, 0.435099
  0.5909, 0.409272
   0.576, 0.429801
  0.5808, 0.423179
  0.5783,  0.42649
  0.5763, 0.427815
   0.579, 0.423179
    0.58, 0.421192
  0.5724, 0.431126
  0.5733, 0.429801
  0.5725, 0.430464
  0.5756, 0.425166
  0.5646, 0.439073
  0.5745, 0.425828
  0.5749, 0.424503
  0.5806, 0.416556
  0.5735, 0.425828
  0.5762, 0.421854
  0.5779, 0.419205
  0.5787, 0.417881
  0.5741, 0.423841
  0.5689, 0.430464
  0.5688, 0.430464
  0.5747, 0.421854
  0.5666, 0.430464
  0.5643, 0.431788
  0.5678, 0.425166
  0.5662,  0.42649
  0.5636, 0.429801
   0.571, 0.419868
  0.5622, 0.429139
  0.5654, 0.423841
  0.5593, 0.431788
  0.5616, 0.425828
   0.564, 0.422517
  0.5677, 0.417219
  0.5552, 0.433113
  0.5595,  0.42649
  0.5646, 0.419205
  0.5625, 0.421192
  0.5573, 0.425828
  0.5598,  0.42053
  0.5627, 0.415894
  0.5511, 0.431126
  0.5518, 0.428477
  0.5511, 0.429139
  0.5597, 0.416556
  0.5501, 0.429139
  0.5565,  0.42053
  0.5509, 0.427815
  0.5543, 0.423179
  0.5527, 0.425166
   0.552, 0.425166
  0.5555,  0.42053
  0.5402, 0.439735
  0.5601, 0.413907
  0.5534, 0.422517
  0.5574, 0.417219
  0.5457, 0.429801
  0.5585, 0.412583
  0.5481, 0.425828
  0.5512,  0.42053
  0.5576, 0.411921
  0.5512, 0.419205
  0.5357, 0.438411
  0.5584, 0.408609
    0.54,  0.43245
  0.5447, 0.425166
  0.5545, 0.411921
  0.5393, 0.431126
  0.5387, 0.431788
  0.5464, 0.421854
  0.5412, 0.428477
  0.5484, 0.419205
   0.548, 0.419205
   0.548, 0.417219
   0.533, 0.435762
  0.5455, 0.419868
  0.5487, 0.415232
  0.5544, 0.407285
  0.5413, 0.423841
  0.5342, 0.430464
  0.5374, 0.425828
  0.5351, 0.428477
  0.5273, 0.437086
  0.5401,  0.42053
  0.5372, 0.423179
  0.5345,  0.42649
   0.528, 0.431788
  0.5411, 0.413907
    0.53, 0.427152
  0.5319, 0.422517
  0.5287,  0.42649
  0.5353, 0.417219
  0.5253, 0.429139
  0.5267, 0.427152
  0.5226, 0.431126
  0.5284, 0.423841
  0.5362, 0.413907
   0.531,  0.42053
  0.5435, 0.403974
  0.5268, 0.425166
  0.5201, 0.430464
  0.5241, 0.424503
  0.5209, 0.427815
  0.5161, 0.431788
   0.531, 0.413245
  0.5253, 0.419868
  0.5309, 0.412583
  0.5263, 0.417219
  0.5093, 0.437748
  0.5128, 0.431126
  0.5192, 0.423179
  0.5136, 0.429801
  0.5099, 0.427815
  0.5083, 0.429139
  0.4996, 0.438411
  0.5124, 0.422517
  0.5089, 0.423179
  0.5168, 0.413245
  0.5032, 0.427152
  0.5109, 0.417881
  0.5012, 0.429139
  0.5027, 0.427152
  0.5047, 0.424503
  0.4976, 0.431126
  0.5023, 0.424503
  0.5015, 0.424503
  0.5039, 0.421192
  0.4982, 0.425166
  0.5019,  0.42053
  0.4968,  0.42649
  0.4971, 0.424503
   0.499, 0.421854
  0.4953, 0.425828
     0.5, 0.419868
  0.4982, 0.421192
  0.5105, 0.405298
  0.4867, 0.431788
  0.4975, 0.419205
  0.4905, 0.427152
  0.4995, 0.415232
  0.4892,  0.42649
  0.4843, 0.431788
  0.4971, 0.416556
  0.4872, 0.427815
   0.499, 0.413245
  0.4917, 0.421854
  0.4871,  0.42649
  0.4937, 0.417881
  0.4903, 0.421854
  0.4981, 0.411921
  0.4979, 0.411258
  0.4921, 0.417881
