gen, roulette_scalar1_uniform_best, roulette_scalar1_uniform_ave
   1,   0.1505, 0.100111
   2,    0.197, 0.108183
   3,    0.197, 0.106917
   4,    0.197, 0.104363
   5,   0.1865, 0.107374
   6,   0.1865, 0.106335
   7,   0.1865, 0.106857
   8,   0.1865, 0.109719
   9,   0.1865, 0.108799
  10,   0.1955, 0.110112
  11,   0.1955, 0.110411
  12,   0.1955, 0.111551
  13,   0.1955, 0.110644
  14,    0.186, 0.105844
  15,    0.186, 0.109286
  16,    0.186, 0.109582
  17,    0.186, 0.109755
  18,   0.2051, 0.112281
  19,   0.2051, 0.111347
  20,   0.2051, 0.112548
  21,   0.2051, 0.116322
  22,   0.2051,  0.11687
  23,   0.2379, 0.114002
  24,   0.2379, 0.114905
  25,   0.2379, 0.115683
  26,   0.2492, 0.120903
  27,   0.2492, 0.121909
  28,   0.2492, 0.120761
  29,   0.2492, 0.121594
  30,   0.2492, 0.123256
  31,   0.2492, 0.125178
  32,   0.2492, 0.124479
  33,   0.2492, 0.125431
  34,   0.2492, 0.125637
  35,   0.2492, 0.128837
  36,   0.2492, 0.130261
  37,   0.2248, 0.132251
  38,   0.2581, 0.132729
  39,   0.2581, 0.135741
  40,   0.2581, 0.137102
  41,   0.2581, 0.133132
  42,   0.2581, 0.137875
  43,   0.2559, 0.135718
  44,   0.2559,  0.13704
  45,   0.2559, 0.136382
  46,   0.2559, 0.140456
  47,   0.2559, 0.144108
  48,   0.2886, 0.147049
  49,   0.2886, 0.148092
  50,   0.2886, 0.147069
  51,   0.2886, 0.147293
  52,   0.2935, 0.145361
  53,   0.2935, 0.146239
  54,   0.2935, 0.151322
  55,   0.2935,  0.15288
  56,   0.2935, 0.153503
  57,   0.2935, 0.154362
  58,   0.2935, 0.156295
  59,   0.2935, 0.157053
  60,   0.2935, 0.163453
  61,   0.2935, 0.164556
  62,   0.2935, 0.159057
  63,   0.2935, 0.158957
  64,   0.2686, 0.161478
  65,   0.2686, 0.165409
  66,   0.2773, 0.169815
  67,   0.2773, 0.171946
  68,   0.2773, 0.169093
  69,   0.2773, 0.168854
  70,   0.2773,  0.17588
  71,   0.2773, 0.179694
  72,   0.2773, 0.176752
  73,   0.3168, 0.181844
  74,   0.3168,  0.17906
  75,   0.3168, 0.179694
  76,   0.3168, 0.176471
  77,   0.3168, 0.175642
  78,   0.3168,  0.17842
  79,   0.3168, 0.177837
  80,   0.3417, 0.179444
  81,   0.3417, 0.179269
  82,   0.3417, 0.179255
  83,   0.3417, 0.182662
  84,   0.3417, 0.181313
  85,   0.3417, 0.183607
  86,   0.3417, 0.182399
  87,   0.2679, 0.185522
  88,   0.2679, 0.190264
  89,   0.2679, 0.190863
  90,   0.3071,   0.1895
  91,   0.3071, 0.191715
  92,   0.3071, 0.189225
  93,   0.3071, 0.192328
  94,   0.3071,  0.19422
  95,   0.3071,  0.19531
  96,   0.3071, 0.199018
  97,   0.3071, 0.196843
  98,   0.3071,  0.19883
  99,   0.3071,  0.19828
 100,   0.2986, 0.197104
 101,   0.2986, 0.197893
 102,   0.2683, 0.198982
 103,   0.2683, 0.198178
 104,   0.2683, 0.192998
 105,   0.2683, 0.197965
 106,   0.3144,  0.19545
 107,   0.3144, 0.196915
 108,   0.3144, 0.202584
 109,   0.3144, 0.208028
 110,    0.399, 0.206577
 111,    0.399, 0.207096
 112,    0.399, 0.204326
 113,    0.399, 0.206708
 114,    0.399, 0.206343
 115,    0.399, 0.209791
 116,    0.399, 0.206598
