gen, roulette_scalar3_onepoint_best, roulette_scalar3_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.107323
   3,   0.2327, 0.112422
   4,   0.2367, 0.112302
   5,   0.2573, 0.120403
   6,   0.2573, 0.118626
   7,   0.2573, 0.116583
   8,   0.2638, 0.117373
   9,   0.2638, 0.124031
  10,   0.2638, 0.120381
  11,   0.2638, 0.124877
  12,   0.2732, 0.126858
  13,   0.2814, 0.129137
  14,   0.2814, 0.132197
  15,   0.2814, 0.134856
  16,   0.2814, 0.133592
  17,   0.2838, 0.139867
  18,   0.2838, 0.144961
  19,   0.2838, 0.153163
  20,   0.3167,  0.16044
  21,   0.3167, 0.164011
  22,   0.3167, 0.168867
  23,   0.3167, 0.178013
  24,   0.3167, 0.185141
  25,   0.3167, 0.191285
  26,   0.3339, 0.201903
  27,   0.3339, 0.204578
  28,   0.3339, 0.208611
  29,   0.3339, 0.212484
  30,   0.3339, 0.213078
  31,   0.3339, 0.215732
  32,   0.3339, 0.218835
  33,   0.3536, 0.219747
  34,   0.3536, 0.224578
  35,   0.3536, 0.228128
  36,   0.3536, 0.230196
  37,   0.3536, 0.227243
  38,   0.3746, 0.234062
  39,   0.3746, 0.239365
  40,   0.3919, 0.242851
  41,   0.3919, 0.245149
  42,   0.3919, 0.250929
  43,   0.3919, 0.254543
  44,   0.3919, 0.254507
  45,   0.3919,  0.25629
  46,   0.3919, 0.261434
  47,   0.3919, 0.261733
  48,   0.3919, 0.261064
  49,   0.3919, 0.264041
  50,   0.3919, 0.264118
  51,   0.4177, 0.267873
  52,   0.4177, 0.267728
  53,   0.4177,  0.26862
  54,   0.4177, 0.265648
  55,   0.4177, 0.271912
  56,   0.4271, 0.284161
  57,   0.4271, 0.284395
  58,   0.4272, 0.281918
  59,   0.4272, 0.276478
  60,   0.4334, 0.280951
  61,   0.4334, 0.285965
  62,   0.4496, 0.292113
  63,   0.4496, 0.293119
  64,   0.4496, 0.293636
  65,   0.4496, 0.295397
  66,   0.4496, 0.289791
  67,   0.4496, 0.291435
  68,   0.4496, 0.295705
  69,   0.4496,  0.29618
  70,   0.4496,   0.2971
  71,   0.4496, 0.301556
  72,   0.4496, 0.300312
  73,   0.4496, 0.300003
  74,    0.453, 0.297572
  75,    0.453, 0.299231
  76,    0.453, 0.302418
  77,    0.453, 0.303586
  78,    0.453, 0.304562
  79,    0.453, 0.305018
  80,    0.453, 0.304738
  81,    0.453, 0.300837
  82,    0.453, 0.301009
  83,    0.453, 0.299965
  84,    0.453, 0.291896
  85,    0.453, 0.293381
  86,    0.453, 0.295839
  87,    0.453, 0.295943
  88,    0.453, 0.302406
  89,   0.4614, 0.302595
  90,   0.4614,  0.30152
  91,   0.4614, 0.304395
  92,   0.4614, 0.305061
  93,   0.4614, 0.305848
  94,   0.4614,  0.30756
  95,   0.4614, 0.310652
  96,   0.4614, 0.314503
  97,   0.4614, 0.317813
  98,   0.4614, 0.315032
  99,   0.4657, 0.320391
 100,   0.4657, 0.321374
 101,   0.4708, 0.324124
 102,    0.479, 0.321842
 103,    0.479, 0.326754
 104,    0.479,  0.32899
 105,    0.479, 0.329156
 106,   0.4824, 0.329678
 107,   0.4824, 0.331945
 108,   0.4824, 0.334936
 109,   0.4824, 0.335696
 110,   0.4824, 0.339563
 111,   0.4824, 0.342598
 112,   0.4824, 0.338894
 113,   0.4824, 0.342204
 114,   0.4824, 0.345418
 115,   0.4824, 0.348213
 116,   0.4824, 0.344342
 117,   0.4824, 0.350208
 118,   0.4866, 0.348909
 119,   0.4875, 0.348729
 120,   0.4902, 0.345578
 121,   0.4906, 0.344907
 122,   0.4993, 0.351458
 123,   0.4993, 0.348679
 124,   0.4993, 0.350879
 125,   0.4993, 0.351999
 126,   0.4993, 0.340599
 127,   0.4993, 0.343097
 128,   0.4993, 0.343665
 129,   0.4993, 0.349021
 130,   0.4993, 0.344189
 131,   0.4993, 0.344112
 132,   0.4993, 0.346794
 133,   0.4993, 0.347753
 134,   0.4993, 0.342408
 135,   0.4993, 0.340084
 136,   0.4993, 0.342644
 137,   0.4993, 0.342952
 138,   0.4993,  0.34295
 139,   0.4993, 0.341364
 140,   0.4993, 0.341969
 141,   0.4993, 0.345479
 142,   0.4993, 0.347263
 143,   0.4993, 0.345565
 144,   0.4993, 0.342344
 145,   0.4993, 0.348366
 146,   0.5044, 0.345899
 147,   0.5044, 0.348754
 148,   0.5044, 0.347605
 149,   0.5044, 0.347955
 150,   0.5044, 0.346259
 151,   0.5044, 0.354913
 152,   0.5044, 0.355316
 153,   0.5044, 0.355995
 154,   0.5044, 0.347891
 155,   0.5044,  0.35121
 156,   0.5227, 0.354705
 157,   0.5227, 0.357543
 158,   0.5227, 0.360516
 159,   0.5227, 0.360417
 160,   0.5227, 0.361675
 161,   0.5227, 0.365363
 162,   0.5227, 0.364059
 163,   0.5227, 0.365028
 164,   0.5227, 0.367269
 165,   0.5227, 0.366326
 166,   0.5249, 0.368074
 167,   0.5249, 0.368139
 168,   0.5249, 0.368599
 169,   0.5249,  0.37249
 170,   0.5249, 0.375702
 171,   0.5249, 0.372501
 172,   0.5249, 0.373253
 173,   0.5282, 0.367296
 174,   0.5282, 0.369573
 175,   0.5282,  0.37137
 176,   0.5282, 0.372327
 177,   0.5282, 0.370353
 178,   0.5282, 0.373107
 179,   0.5282, 0.366513
 180,   0.5282, 0.365237
 181,   0.5282, 0.365194
 182,   0.5282, 0.369532
 183,   0.5282, 0.371432
 184,   0.5282, 0.377347
 185,   0.5313, 0.377992
 186,   0.5313, 0.376258
 187,   0.5313, 0.377946
 188,   0.5313, 0.385254
 189,   0.5313, 0.385294
 190,   0.5313, 0.386841
 191,   0.5313, 0.385464
 192,   0.5313, 0.380266
 193,   0.5313, 0.388743
 194,   0.5313, 0.385236
 195,   0.5313, 0.381306
 196,   0.5313, 0.382338
 197,   0.5313, 0.381853
 198,   0.5313, 0.384054
 199,   0.5313, 0.383151
 200,   0.5304, 0.382462
 201,   0.5304, 0.386245
 202,   0.5344,  0.38787
 203,   0.5344, 0.386167
 204,   0.5344, 0.382704
 205,   0.5324, 0.389343
 206,   0.5324, 0.386019
 207,   0.5324, 0.387394
 208,   0.5324, 0.388083
 209,    0.538, 0.384217
 210,    0.538, 0.379725
 211,    0.538, 0.383803
 212,    0.538, 0.383262
 213,    0.537, 0.384403
 214,    0.537, 0.392468
 215,    0.537,  0.39544
 216,   0.5475, 0.392627
 217,   0.5475, 0.386584
 218,   0.5475, 0.382749
 219,   0.5475, 0.384896
 220,   0.5475, 0.390097
 221,   0.5475,  0.38822
 222,   0.5475, 0.387097
 223,   0.5475,  0.38124
 224,   0.5475, 0.383713
 225,   0.5475, 0.384738
 226,   0.5475, 0.389245
 227,   0.5475, 0.389699
 228,   0.5475, 0.392547
 229,   0.5475,  0.39391
 230,   0.5475, 0.392921
 231,   0.5475, 0.395629
 232,   0.5475, 0.394821
 233,   0.5475, 0.393545
 234,   0.5475, 0.386554
 235,   0.5475,  0.38701
 236,   0.5475, 0.389152
 237,   0.5475, 0.384046
 238,   0.5475, 0.386799
 239,   0.5475, 0.379539
 240,   0.5475, 0.380957
 241,   0.5475,  0.39004
 242,   0.5475, 0.390141
 243,   0.5475, 0.384687
 244,   0.5475, 0.389705
 245,   0.5475, 0.388642
 246,   0.5493, 0.394091
 247,   0.5493, 0.392195
 248,   0.5493,  0.38933
 249,   0.5493, 0.390119
 250,   0.5493, 0.393986
 251,   0.5493, 0.397184
 252,   0.5493, 0.399606
 253,   0.5493, 0.398066
 254,   0.5493,  0.40275
 255,   0.5493, 0.394149
 256,   0.5493, 0.391425
 257,   0.5493, 0.391839
 258,   0.5493, 0.391703
 259,   0.5493,  0.39418
 260,   0.5493, 0.396852
 261,   0.5493, 0.397166
 262,   0.5493,  0.39784
 263,   0.5493, 0.400223
 264,   0.5493, 0.391981
 265,   0.5493, 0.394506
 266,   0.5493, 0.393573
 267,   0.5517, 0.389774
 268,    0.554, 0.384993
 269,    0.554, 0.385218
 270,    0.554, 0.392105
 271,    0.554, 0.393155
 272,    0.554, 0.392832
 273,    0.554, 0.389589
 274,    0.554, 0.387387
 275,   0.5581, 0.388926
 276,   0.5581, 0.387289
 277,   0.5581, 0.385217
 278,   0.5581, 0.389501
 279,   0.5581, 0.388032
 280,   0.5581,  0.38249
 281,   0.5581, 0.392202
 282,   0.5581, 0.391573
 283,   0.5581, 0.394197
 284,   0.5581, 0.393072
 285,   0.5581, 0.398371
 286,   0.5581, 0.395968
 287,   0.5581, 0.395665
 288,   0.5581, 0.396538
 289,   0.5581, 0.405127
 290,   0.5581, 0.401071
 291,   0.5581, 0.395568
 292,   0.5581, 0.396275
 293,   0.5581, 0.398161
 294,   0.5581, 0.399468
 295,   0.5581,  0.40525
 296,   0.5581, 0.405625
 297,   0.5581, 0.413319
 298,   0.5581, 0.406134
 299,   0.5581, 0.405553
 300,   0.5581, 0.404277
 301,   0.5581, 0.403632
 302,   0.5569, 0.405998
 303,   0.5569, 0.406501
 304,   0.5569, 0.407919
 305,   0.5569, 0.410571
 306,   0.5569, 0.409723
 307,   0.5569, 0.408691
 308,   0.5569, 0.408545
 309,   0.5569, 0.404605
 310,   0.5569, 0.401576
 311,   0.5569, 0.402353
 312,   0.5569,  0.40147
 313,   0.5569, 0.403511
 314,   0.5569, 0.404346
 315,   0.5602,  0.40595
 316,   0.5602,  0.39834
 317,   0.5669, 0.403735
 318,   0.5669,  0.40639
