accuracy,sparse
  0.7748,  0.34106
  0.7751, 0.339735
  0.7762, 0.335762
  0.7742, 0.338411
  0.7744, 0.337748
  0.7741, 0.338411
  0.7736, 0.339735
  0.7735, 0.339735
  0.7729, 0.339073
  0.7739, 0.335762
  0.7739, 0.335099
  0.7718, 0.339073
  0.7709, 0.341722
   0.772, 0.338411
  0.7711,  0.34106
  0.7721, 0.337748
  0.7726, 0.335762
   0.771, 0.340397
  0.7721, 0.337086
  0.7729, 0.334437
  0.7527, 0.338411
  0.7337, 0.339735
  0.7225, 0.344371
  0.7186, 0.335099
  0.7144, 0.339735
   0.713, 0.343709
  0.7129, 0.334437
  0.7117, 0.337086
  0.7048, 0.342384
   0.703, 0.337086
  0.7023, 0.334437
   0.698, 0.343046
  0.7018, 0.329801
  0.6977,  0.34106
  0.6962, 0.342384
  0.6977, 0.337086
  0.6944, 0.338411
  0.6923, 0.333113
  0.6921, 0.333113
  0.6882, 0.340397
  0.6876,  0.34106
  0.6873, 0.341722
   0.685, 0.341722
  0.6822, 0.343709
  0.6837, 0.337748
  0.6828, 0.339735
  0.6808, 0.341722
  0.6786, 0.346358
  0.6806, 0.337748
  0.6779, 0.341722
  0.6774,  0.34106
  0.6774, 0.335762
  0.6752, 0.337086
  0.6733,  0.34106
  0.6734, 0.339073
  0.6716, 0.336424
   0.667, 0.340397
  0.6646,  0.34106
  0.6625, 0.341722
  0.6628, 0.337748
  0.6536, 0.346358
  0.6537, 0.335099
  0.6495, 0.339735
  0.6491, 0.333113
  0.6461, 0.329139
   0.646, 0.328477
  0.6358, 0.349007
  0.6374, 0.339073
  0.6345,  0.34702
  0.6326, 0.345033
  0.6355, 0.335762
  0.6309, 0.341722
  0.6297,  0.34106
  0.6294, 0.336424
    0.63, 0.334437
   0.628, 0.337086
  0.6265, 0.340397
  0.6283, 0.333775
   0.627, 0.336424
  0.6249, 0.341722
  0.6239, 0.341722
  0.6236, 0.339073
   0.622, 0.341722
  0.6257, 0.327152
   0.622, 0.336424
  0.6179, 0.340397
  0.6179, 0.339073
  0.6172, 0.338411
   0.616,  0.34106
  0.6182, 0.330464
   0.614, 0.334437
  0.6127, 0.333113
  0.6112, 0.336424
   0.609, 0.341722
  0.6078, 0.339735
  0.6028, 0.347682
  0.6017,  0.34106
  0.6007, 0.343709
  0.5988, 0.342384
  0.5981, 0.337086
  0.5983, 0.335762
  0.5954, 0.343709
  0.5958, 0.335762
  0.5955, 0.335762
  0.5945, 0.337086
  0.5921, 0.343709
  0.5932, 0.337086
  0.5934, 0.334437
  0.5933, 0.333113
  0.5901,  0.34106
  0.5909, 0.338411
  0.5873, 0.348344
  0.5897, 0.340397
  0.5912, 0.333113
  0.5904, 0.334437
  0.5853, 0.349007
  0.5895, 0.333113
  0.5895, 0.331126
  0.5845, 0.343046
  0.5884, 0.329139
  0.5802, 0.350993
  0.5857,  0.33245
  0.5848, 0.335099
  0.5839, 0.336424
  0.5804, 0.343709
  0.5782, 0.348344
  0.5828, 0.334437
  0.5803, 0.340397
   0.581, 0.331788
  0.5766, 0.343709
  0.5791,  0.33245
  0.5765, 0.339073
  0.5761, 0.339735
  0.5729, 0.343709
  0.5779, 0.328477
  0.5745, 0.338411
  0.5753, 0.333775
  0.5755,  0.33245
  0.5726, 0.339735
  0.5707, 0.343046
  0.5707, 0.340397
  0.5696, 0.342384
  0.5694, 0.341722
  0.5684, 0.343046
   0.565, 0.343709
  0.5624, 0.342384
  0.5629, 0.338411
  0.5625, 0.337748
  0.5615, 0.340397
  0.5593, 0.345033
  0.5612, 0.338411
  0.5591, 0.342384
  0.5609, 0.336424
  0.5618, 0.331126
  0.5595, 0.336424
  0.5585, 0.334437
  0.5576, 0.334437
  0.5553, 0.340397
  0.5562, 0.335762
  0.5568,  0.33245
  0.5567, 0.329801
  0.5542, 0.337086
  0.5541, 0.336424
  0.5517, 0.339735
  0.5533,  0.33245
  0.5522, 0.333775
  0.5491, 0.341722
  0.5498, 0.337748
  0.5517, 0.331126
  0.5501, 0.335762
  0.5509, 0.331126
  0.5472, 0.339735
  0.5481, 0.336424
  0.5454, 0.343709
  0.5475, 0.335762
   0.548,  0.33245
  0.5416, 0.349007
  0.5436, 0.335762
  0.5438, 0.334437
  0.5399, 0.343709
  0.5396, 0.343709
  0.5427, 0.330464
  0.5364, 0.341722
  0.5378, 0.334437
  0.5352, 0.341722
  0.5355, 0.340397
  0.5357, 0.339735
  0.5347, 0.342384
  0.5346, 0.340397
  0.5361, 0.335762
   0.535, 0.338411
  0.5345, 0.339735
  0.5334, 0.342384
  0.5369, 0.331126
  0.5355, 0.329801
  0.5302, 0.343709
  0.5348, 0.329139
  0.5275, 0.345695
   0.527, 0.346358
  0.5282, 0.337748
  0.5255, 0.345033
  0.5269, 0.339073
  0.5274, 0.336424
   0.526, 0.340397
  0.5282, 0.331788
  0.5245, 0.342384
  0.5253, 0.337086
  0.5238, 0.340397
  0.5242, 0.337748
  0.5233, 0.335099
  0.5212, 0.340397
  0.5202, 0.341722
  0.5173, 0.349669
  0.5199, 0.338411
  0.5191, 0.335762
  0.5151, 0.341722
  0.5134, 0.345033
   0.516, 0.335762
  0.5149, 0.337748
  0.5121,  0.34106
  0.5109, 0.343709
  0.5136, 0.330464
  0.5097, 0.336424
  0.5072, 0.339735
   0.506, 0.341722
  0.5051, 0.341722
  0.5065, 0.336424
  0.5071,  0.33245
  0.5027, 0.343046
  0.5037, 0.339735
   0.502, 0.339735
  0.5005,  0.34106
   0.501, 0.339073
  0.5012, 0.338411
  0.5055, 0.321854
  0.4978, 0.344371
  0.4989, 0.337748
  0.4958, 0.343709
  0.5002, 0.329801
   0.495, 0.343046
  0.4982,  0.33245
  0.4951, 0.339073
  0.4963, 0.331126
  0.4931, 0.340397
  0.4943, 0.335762
  0.4892, 0.346358
  0.4889, 0.346358
  0.4909, 0.339735
  0.4901, 0.340397
  0.4903, 0.338411
   0.489, 0.339735
  0.4881, 0.342384
  0.4871, 0.343046
  0.4906, 0.330464
  0.4858,  0.34106
   0.485, 0.342384
  0.4867, 0.336424
  0.4879,  0.33245
  0.4849, 0.340397
  0.4825, 0.343046
  0.4827, 0.338411
  0.4804, 0.345033
  0.4784, 0.349007
  0.4769, 0.343709
  0.4726, 0.343709
  0.4753, 0.334437
  0.4726, 0.341722
  0.4722, 0.341722
  0.4737, 0.337086
  0.4714, 0.342384
  0.4724, 0.335099
  0.4701, 0.339735
  0.4695,  0.34106
  0.4671, 0.345695
  0.4679, 0.343046
   0.469, 0.337086
  0.4665, 0.339735
  0.4654, 0.341722
  0.4625,  0.34106
  0.4622, 0.337748
  0.4622, 0.335099
  0.4632, 0.329139
  0.4576, 0.343046
  0.4565, 0.340397
  0.4585, 0.333775
  0.4564, 0.339073
  0.4587, 0.331788
  0.4519, 0.349669
  0.4561, 0.333775
  0.4531,  0.34106
  0.4523, 0.341722
  0.4549, 0.327815
  0.4492, 0.343046
  0.4519, 0.334437
  0.4509, 0.335099
  0.4489, 0.338411
  0.4466, 0.342384
  0.4467,  0.34106
  0.4505, 0.329139
  0.4446, 0.345033
  0.4465, 0.335099
  0.4441, 0.341722
  0.4438, 0.339735
  0.4455, 0.333775
  0.4452, 0.333113
  0.4418, 0.343046
  0.4452, 0.329801
  0.4409, 0.342384
    0.44, 0.343709
  0.4404, 0.342384
  0.4373, 0.348344
   0.444, 0.327815
  0.4387, 0.340397
  0.4375, 0.341722
  0.4369, 0.339735
  0.4352, 0.342384
   0.435, 0.342384
  0.4377,  0.33245
  0.4342, 0.341722
   0.437,  0.33245
  0.4312, 0.349007
  0.4334, 0.339735
  0.4358,  0.33245
  0.4318, 0.337748
  0.4323, 0.334437
  0.4263,  0.34702
   0.428, 0.339073
  0.4287, 0.335762
  0.4234, 0.345695
  0.4233, 0.343046
  0.4222, 0.345033
  0.4214, 0.346358
  0.4228, 0.336424
  0.4234, 0.334437
  0.4213, 0.340397
  0.4248, 0.327815
  0.4188, 0.336424
  0.4165, 0.343046
  0.4179, 0.338411
  0.4172, 0.336424
  0.4176, 0.333113
  0.4148, 0.338411
  0.4153, 0.336424
  0.4091, 0.349007
  0.4143, 0.330464
  0.4105, 0.339073
  0.4154, 0.323179
   0.407, 0.340397
  0.4017,  0.34106
  0.3969, 0.337748
  0.3959, 0.339735
  0.3974, 0.335099
  0.3955, 0.336424
  0.3953, 0.335762
  0.3902, 0.349669
   0.392, 0.335099
  0.3879, 0.340397
  0.3868, 0.341722
  0.3881, 0.331126
  0.3826, 0.337086
   0.381, 0.339073
  0.3809, 0.335099
   0.382, 0.331126
  0.3764, 0.333113
  0.3745, 0.338411
  0.3737, 0.340397
  0.3746, 0.337086
  0.3716, 0.345695
   0.373, 0.337748
  0.3732, 0.336424
  0.3696, 0.338411
  0.3666,  0.34702
  0.3669, 0.333113
  0.3637,  0.34106
  0.3632, 0.342384
  0.3654, 0.334437
  0.3637, 0.337748
  0.3636, 0.337748
  0.3579,  0.34106
  0.3561, 0.335762
  0.3511, 0.333775
  0.3482, 0.337086
  0.3473, 0.337748
  0.3466, 0.331126
  0.3403, 0.346358
  0.3392, 0.335762
  0.3389, 0.335099
  0.3363, 0.338411
  0.3318, 0.344371
  0.3282, 0.335762
  0.3243, 0.337748
  0.3217, 0.344371
  0.3218, 0.329801
  0.3151, 0.341722
   0.308, 0.338411
  0.3058, 0.343046
  0.2872, 0.343046
  0.2755, 0.337086
  0.2513, 0.339735
  0.2336, 0.347682
