gen, roulette_scalar3_twopoint_best, roulette_scalar3_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.107438
   3,   0.2261, 0.113656
   4,   0.2616, 0.114813
   5,   0.2616,  0.11679
   6,   0.2616, 0.122112
   7,   0.2616, 0.125653
   8,   0.2616, 0.124222
   9,   0.2836, 0.129193
  10,   0.2836, 0.136126
  11,   0.2836, 0.136213
  12,   0.2836, 0.136071
  13,   0.2836, 0.136608
  14,   0.2836, 0.139819
  15,   0.2824, 0.143111
  16,   0.2824, 0.141742
  17,   0.2824, 0.142973
  18,   0.2824, 0.145048
  19,   0.2824, 0.147691
  20,   0.2853, 0.148029
  21,   0.2853, 0.151069
  22,   0.3054, 0.149352
  23,   0.3054, 0.153774
  24,   0.3054, 0.157106
  25,   0.3054, 0.159086
  26,   0.3093, 0.163298
  27,   0.3093, 0.160127
  28,   0.3222,  0.15965
  29,   0.3166, 0.159692
  30,   0.3166, 0.162015
  31,   0.3406, 0.164015
  32,   0.3406, 0.165982
  33,   0.3432, 0.170028
  34,   0.3432, 0.170816
  35,   0.3432, 0.173512
  36,   0.3464, 0.180216
  37,   0.3464, 0.186338
  38,   0.3464, 0.192054
  39,   0.3464, 0.198467
  40,   0.3444, 0.198457
  41,   0.3746, 0.201562
  42,   0.3746, 0.207687
  43,   0.3746, 0.209832
  44,   0.3746, 0.209736
  45,   0.3746,  0.21304
  46,   0.3746, 0.212837
  47,   0.3746, 0.212613
  48,   0.3734, 0.217957
  49,   0.3734, 0.221797
  50,   0.3734, 0.225769
  51,   0.3734, 0.226461
  52,   0.3872, 0.233483
  53,   0.3872, 0.241515
  54,   0.3872, 0.246194
  55,   0.3904, 0.253091
  56,   0.3904, 0.251843
  57,   0.3904, 0.249122
  58,   0.3904, 0.255365
  59,   0.3904, 0.255587
  60,   0.3904, 0.253471
  61,   0.3904, 0.258894
  62,   0.3904, 0.257866
  63,   0.3904, 0.256772
  64,   0.3904, 0.256416
  65,   0.3904, 0.264461
  66,   0.3904, 0.267717
  67,   0.3904, 0.267147
  68,   0.4006,  0.26289
  69,   0.4006, 0.264141
  70,   0.4006, 0.260106
  71,   0.4006, 0.261102
  72,   0.4006, 0.257199
  73,   0.4006, 0.262533
  74,   0.4036, 0.264313
  75,   0.4036, 0.267834
  76,   0.4036, 0.267543
  77,   0.4033, 0.266055
  78,   0.4033, 0.266739
  79,   0.4033, 0.265053
  80,   0.4033, 0.262932
  81,   0.4033, 0.268164
  82,   0.4033, 0.267298
  83,   0.4033, 0.270786
  84,   0.4033, 0.273801
  85,   0.4057, 0.274281
  86,   0.4057, 0.273899
  87,   0.4057, 0.272569
  88,   0.4057, 0.278385
  89,   0.4031, 0.270197
  90,   0.4031, 0.273472
  91,   0.4031, 0.275311
  92,   0.4121, 0.275235
  93,   0.4121,  0.27647
  94,   0.4121, 0.276379
  95,   0.4121, 0.275701
  96,   0.4121,  0.27782
  97,   0.4218, 0.278614
  98,   0.4218, 0.280908
  99,   0.4218, 0.272403
 100,   0.4218,  0.27318
 101,   0.4289, 0.269883
 102,   0.4289, 0.269051
 103,   0.4343, 0.275186
