accuracy,sparse
  0.6998, 0.392053
  0.6992, 0.393377
  0.6995, 0.392053
  0.7024, 0.382119
  0.6982,  0.39404
  0.7006, 0.386755
  0.6986, 0.390728
  0.6979, 0.392715
  0.7011, 0.382119
  0.6998,  0.38543
  0.6971, 0.392715
  0.6968, 0.393377
  0.6972, 0.392053
  0.6972, 0.392053
  0.6964,  0.39404
  0.6997, 0.384106
  0.7021, 0.376821
  0.6968, 0.392715
   0.697, 0.392053
  0.6954, 0.396689
  0.6894, 0.392053
  0.6789,  0.37947
  0.6787, 0.378146
   0.664, 0.390728
  0.6648, 0.380795
  0.6502, 0.395364
  0.6434, 0.376159
  0.6417,  0.37947
  0.6387, 0.388079
  0.6379, 0.387417
   0.634, 0.390066
   0.634, 0.388079
  0.6301, 0.382781
  0.6238, 0.384768
  0.6208, 0.384768
  0.6179, 0.388742
  0.6116, 0.389404
  0.6017, 0.390728
  0.5994, 0.386093
  0.5995, 0.384768
  0.5989, 0.380132
  0.5953, 0.387417
   0.595, 0.386755
  0.5926, 0.392715
  0.5925, 0.392053
  0.5934, 0.387417
  0.5932,  0.38543
  0.5945, 0.378808
  0.5919, 0.383444
  0.5927, 0.377483
  0.5888, 0.387417
  0.5898, 0.382119
  0.5858, 0.390728
  0.5858, 0.387417
  0.5832, 0.393377
  0.5842, 0.387417
   0.583,  0.38543
   0.586,  0.37351
   0.583, 0.380795
  0.5799, 0.386755
  0.5822, 0.378808
  0.5811, 0.369536
  0.5717, 0.396689
  0.5722, 0.391391
  0.5722, 0.387417
  0.5715, 0.388079
  0.5693, 0.390728
  0.5689, 0.387417
  0.5737, 0.372185
   0.567, 0.389404
  0.5716, 0.375497
   0.565, 0.392715
  0.5653, 0.388742
  0.5651, 0.388079
  0.5631, 0.383444
  0.5625, 0.382119
   0.562, 0.382781
  0.5634, 0.375497
  0.5659, 0.366225
  0.5555,  0.39404
  0.5574, 0.380795
  0.5551, 0.386755
  0.5584, 0.370861
  0.5549, 0.378146
  0.5505, 0.384106
  0.5473, 0.391391
  0.5505, 0.381457
  0.5494, 0.384106
  0.5467, 0.391391
    0.55, 0.380132
  0.5472, 0.386093
  0.5466,  0.38543
  0.5431, 0.391391
  0.5437, 0.386755
  0.5431, 0.388079
  0.5429, 0.388079
  0.5422, 0.387417
  0.5392, 0.395364
  0.5422, 0.382781
  0.5366, 0.399338
  0.5399,  0.38543
   0.538, 0.387417
  0.5419, 0.375497
  0.5363, 0.390728
  0.5348, 0.392715
  0.5345, 0.392053
  0.5356, 0.388742
  0.5356,  0.38543
  0.5351, 0.384106
  0.5352, 0.380132
  0.5273, 0.402649
  0.5323, 0.386755
  0.5296, 0.392053
  0.5295, 0.386755
  0.5254, 0.392715
  0.5275, 0.384106
  0.5283,  0.37947
  0.5235, 0.390728
  0.5217, 0.396026
  0.5222, 0.392715
  0.5267, 0.378808
   0.526,  0.37947
  0.5204, 0.386755
  0.5203, 0.378808
  0.5217, 0.372848
  0.5152, 0.387417
  0.5123, 0.392053
  0.5155, 0.381457
  0.5184, 0.370861
  0.5123,  0.38543
  0.5107, 0.389404
   0.509, 0.392053
  0.5066, 0.397351
  0.5134, 0.376159
  0.5072,  0.39404
  0.5066, 0.392053
  0.5058, 0.392715
  0.5126, 0.371523
  0.5085, 0.382119
  0.5051, 0.388742
  0.5051, 0.388742
  0.5096, 0.374834
  0.5091, 0.374834
  0.5058, 0.383444
  0.5041, 0.386755
  0.5029, 0.389404
  0.5037, 0.386755
  0.5082, 0.372848
   0.502, 0.390728
  0.5062, 0.377483
  0.5013, 0.392053
  0.5015, 0.391391
  0.5039, 0.378146
   0.502, 0.378808
  0.4978, 0.391391
  0.4958, 0.394702
  0.5023,  0.37351
  0.4963, 0.384106
  0.4977, 0.376159
  0.4945,  0.38543
  0.4942, 0.382119
  0.4937, 0.383444
  0.4922, 0.387417
  0.4918, 0.386755
  0.4923, 0.382119
  0.4949, 0.374172
  0.4935, 0.377483
  0.4909, 0.382781
  0.4867, 0.392715
  0.4857, 0.392715
  0.4862, 0.388742
  0.4944, 0.361589
   0.484, 0.391391
  0.4858, 0.384106
  0.4855, 0.384768
  0.4854, 0.384768
  0.4854, 0.384768
  0.4829, 0.390728
  0.4806, 0.393377
  0.4861, 0.375497
  0.4846, 0.378146
   0.482,  0.38543
  0.4845, 0.377483
  0.4832, 0.380795
   0.484, 0.378146
  0.4778, 0.396026
  0.4814, 0.382119
  0.4773, 0.386755
    0.48, 0.375497
  0.4771, 0.384106
  0.4791, 0.377483
  0.4755, 0.386755
  0.4794, 0.374172
  0.4744, 0.388742
  0.4766, 0.382119
  0.4777, 0.378146
  0.4703, 0.392715
  0.4717, 0.387417
  0.4719, 0.386755
  0.4738, 0.380795
   0.472, 0.386093
  0.4781,  0.36755
  0.4683, 0.392053
  0.4714,  0.37947
  0.4684, 0.384768
  0.4685, 0.383444
  0.4657, 0.390728
  0.4695, 0.378146
  0.4676, 0.383444
  0.4673, 0.382781
  0.4675, 0.378146
  0.4668, 0.380132
  0.4658, 0.382119
  0.4647, 0.383444
  0.4644, 0.383444
  0.4596, 0.397351
  0.4617, 0.390066
  0.4656, 0.378146
  0.4594, 0.388079
  0.4575, 0.390066
  0.4581, 0.388079
  0.4602,  0.37947
  0.4604, 0.378808
  0.4601, 0.376821
  0.4582, 0.380132
  0.4523, 0.396689
  0.4541, 0.390728
  0.4566, 0.380795
  0.4517, 0.392053
   0.454, 0.384106
  0.4513, 0.388079
  0.4503, 0.389404
  0.4502, 0.388742
  0.4473, 0.396026
  0.4483, 0.392053
  0.4546, 0.370861
  0.4472, 0.388079
  0.4464,  0.38543
  0.4501, 0.374172
  0.4436, 0.393377
  0.4505, 0.370861
  0.4487, 0.374172
  0.4434, 0.388079
  0.4451, 0.380795
  0.4415, 0.390728
  0.4453, 0.376159
  0.4448, 0.377483
  0.4388, 0.394702
  0.4401, 0.390066
  0.4416, 0.380795
  0.4393, 0.386755
  0.4447, 0.370199
  0.4409,  0.37947
  0.4388, 0.384768
  0.4353, 0.388742
  0.4345, 0.388079
  0.4313, 0.396689
  0.4358, 0.382781
  0.4335, 0.389404
  0.4359, 0.381457
  0.4374, 0.375497
  0.4318, 0.392053
  0.4365, 0.376159
  0.4315, 0.388742
  0.4312, 0.389404
  0.4339, 0.380132
  0.4274, 0.386093
  0.4253, 0.390728
  0.4276, 0.383444
  0.4295, 0.376821
  0.4251, 0.388742
  0.4266, 0.382119
  0.4285, 0.375497
  0.4276, 0.376821
  0.4268, 0.377483
  0.4214, 0.392715
  0.4215, 0.392053
  0.4276, 0.372185
  0.4209, 0.390066
  0.4262,  0.37351
  0.4257, 0.374172
  0.4199, 0.388079
  0.4231,  0.37351
  0.4194, 0.384106
  0.4182,  0.38543
  0.4159, 0.387417
  0.4157, 0.386755
  0.4145, 0.390066
  0.4168, 0.380132
  0.4131, 0.390066
  0.4129, 0.386755
  0.4123, 0.388079
  0.4125, 0.383444
  0.4175, 0.366887
  0.4091, 0.389404
  0.4072, 0.393377
  0.4113, 0.376159
  0.4104, 0.376821
  0.4073, 0.384768
   0.402, 0.398676
  0.4037, 0.391391
  0.4056, 0.381457
  0.4027, 0.390066
  0.4057, 0.380795
     0.4,  0.39404
  0.3992, 0.395364
   0.397, 0.401325
  0.3991, 0.393377
  0.4045, 0.371523
  0.4022, 0.378146
  0.4086,  0.35894
  0.3957, 0.389404
   0.397, 0.382781
  0.3927, 0.393377
  0.3945, 0.383444
  0.3964, 0.376159
  0.3934, 0.384106
  0.3928, 0.382781
  0.3937, 0.377483
  0.3889, 0.391391
  0.3887, 0.388742
  0.3885, 0.388079
    0.39, 0.383444
  0.3899,  0.37947
  0.3884, 0.372848
    0.38, 0.390066
  0.3782, 0.392053
  0.3822, 0.377483
  0.3813, 0.380132
  0.3764, 0.392053
  0.3784, 0.380795
  0.3708, 0.397351
  0.3725, 0.390728
  0.3714, 0.392715
  0.3718, 0.390728
  0.3719, 0.388742
  0.3719, 0.387417
  0.3737, 0.380132
  0.3731, 0.376159
   0.369, 0.388079
   0.368, 0.387417
  0.3691, 0.383444
  0.3656, 0.393377
  0.3669, 0.386755
  0.3597, 0.390066
  0.3557, 0.394702
  0.3595, 0.380795
   0.354, 0.396026
  0.3575, 0.381457
  0.3543, 0.388742
  0.3574, 0.378808
  0.3553, 0.375497
  0.3533, 0.374834
  0.3467, 0.392053
  0.3521, 0.374172
  0.3452,  0.39404
   0.349, 0.381457
  0.3462, 0.389404
  0.3457, 0.384106
   0.345, 0.384106
  0.3413, 0.393377
  0.3434, 0.382781
  0.3396, 0.386093
   0.342, 0.378146
  0.3429, 0.374172
  0.3365, 0.392053
  0.3366, 0.390728
  0.3417, 0.372848
  0.3421, 0.364238
  0.3379, 0.374834
  0.3319, 0.386093
  0.3364, 0.368874
  0.3297, 0.387417
  0.3312, 0.375497
  0.3274, 0.380132
  0.3265, 0.382119
   0.322, 0.393377
  0.3255,  0.37947
  0.3232, 0.378146
  0.3226, 0.368874
  0.3107,      0.4
  0.3168, 0.380132
  0.3101, 0.392715
   0.312, 0.386093
  0.3107, 0.389404
  0.3145, 0.374172
  0.3067, 0.387417
  0.3019,  0.39404
  0.3044,  0.37947
  0.3014, 0.382781
  0.2972, 0.386093
  0.2919, 0.382119
  0.2897, 0.380795
  0.2904, 0.366887
  0.2804,  0.38543
  0.2583, 0.392053
  0.2568, 0.369536
  0.2491, 0.384106
  0.2508, 0.370199
  0.2311,  0.36755
