accuracy,sparse
  0.7882, 0.353642
   0.784, 0.358278
  0.7817, 0.360265
  0.7805,  0.35894
  0.7763, 0.370199
  0.7786, 0.362252
  0.7789, 0.360927
  0.7768, 0.363576
  0.7794, 0.355629
  0.7784, 0.356954
  0.7777,  0.35894
   0.776, 0.362252
  0.7758, 0.362252
  0.7757, 0.361589
  0.7734, 0.368212
  0.7748, 0.363576
  0.7751, 0.361589
  0.7748, 0.360927
  0.7736, 0.363576
   0.772, 0.368212
  0.7685, 0.360265
  0.7511, 0.362252
  0.7122, 0.354967
   0.711, 0.357616
  0.6976, 0.366225
  0.6841, 0.368874
  0.6849,  0.35298
  0.6848, 0.350331
  0.6747, 0.364238
  0.6721, 0.360927
  0.6685, 0.364901
  0.6683, 0.364901
  0.6725, 0.350331
  0.6651, 0.361589
  0.6674, 0.353642
  0.6616, 0.357616
  0.6552, 0.370861
  0.6471, 0.364238
   0.645, 0.360265
  0.6434, 0.362252
  0.6396, 0.356954
  0.6405, 0.349007
  0.6399, 0.350331
  0.6339, 0.362252
   0.635, 0.357616
  0.6355, 0.355629
  0.6327, 0.362252
  0.6355, 0.352318
  0.6297, 0.360927
  0.6297, 0.355629
  0.6287, 0.354967
  0.6189, 0.374834
  0.6231,  0.35894
  0.6201,  0.35894
  0.6211, 0.354967
  0.6182, 0.362252
  0.6159, 0.366225
  0.6119, 0.351656
  0.6116, 0.351656
  0.6099, 0.355629
  0.6065, 0.364238
  0.6018, 0.370861
   0.602, 0.370199
  0.6047, 0.360927
  0.6001, 0.366887
  0.5994, 0.366225
  0.6019, 0.355629
  0.5988, 0.362252
  0.5973, 0.364901
   0.599,  0.35894
   0.596, 0.365563
   0.596, 0.364238
  0.5958, 0.362252
  0.5964,  0.35894
  0.5971, 0.354305
  0.5948, 0.358278
  0.5897, 0.370861
  0.5947, 0.354305
  0.5943, 0.354967
  0.5917, 0.359603
  0.5913, 0.357616
  0.5918, 0.355629
  0.5909, 0.353642
  0.5831, 0.366225
  0.5881, 0.348344
  0.5823, 0.358278
  0.5815, 0.359603
  0.5789, 0.364901
  0.5803, 0.357616
  0.5829, 0.349669
  0.5784, 0.362252
  0.5792, 0.358278
  0.5765, 0.364238
  0.5744, 0.368874
  0.5781, 0.356291
  0.5761, 0.356954
  0.5781, 0.349007
  0.5751, 0.357616
  0.5761, 0.354305
  0.5719, 0.366225
  0.5725, 0.364238
  0.5733, 0.361589
  0.5725, 0.361589
  0.5721, 0.362252
  0.5755, 0.350993
  0.5735, 0.356291
  0.5762,  0.34702
  0.5695, 0.363576
  0.5695, 0.360927
  0.5675, 0.364901
  0.5686, 0.361589
  0.5712, 0.352318
  0.5716, 0.349669
  0.5641, 0.365563
  0.5663, 0.354967
  0.5616, 0.364901
  0.5649, 0.354967
  0.5645, 0.354305
  0.5584, 0.368212
  0.5604,  0.35894
  0.5594, 0.359603
  0.5602, 0.356291
  0.5545, 0.369536
  0.5571, 0.359603
  0.5551, 0.363576
  0.5578, 0.354305
   0.559, 0.350331
  0.5552, 0.360927
  0.5539, 0.362914
  0.5577, 0.350331
  0.5548, 0.357616
  0.5558, 0.354305
   0.553, 0.360265
  0.5575, 0.345033
  0.5533, 0.357616
   0.549, 0.364238
  0.5506, 0.354967
  0.5477, 0.362252
  0.5458, 0.366887
  0.5479, 0.360265
  0.5482,  0.35894
  0.5458, 0.362252
  0.5484, 0.353642
   0.543, 0.366225
  0.5443, 0.360927
  0.5481, 0.348344
  0.5445, 0.353642
   0.545, 0.350993
  0.5429, 0.356291
  0.5424, 0.353642
  0.5373, 0.366887
  0.5372, 0.363576
   0.536, 0.364238
   0.539, 0.353642
  0.5395, 0.350993
  0.5348, 0.359603
  0.5363, 0.353642
  0.5346, 0.358278
  0.5353, 0.354967
  0.5345,  0.35298
  0.5346, 0.352318
  0.5314, 0.359603
  0.5304, 0.362252
  0.5315,  0.35894
  0.5298, 0.362914
  0.5276,  0.36755
  0.5277, 0.366887
  0.5258, 0.371523
  0.5307, 0.354967
  0.5342, 0.343709
  0.5289, 0.359603
  0.5275, 0.362252
  0.5247, 0.363576
  0.5298, 0.347682
  0.5218, 0.368212
  0.5233, 0.360265
   0.526, 0.351656
  0.5216, 0.356954
   0.514, 0.370199
  0.5172,  0.35894
  0.5157, 0.362252
  0.5172, 0.356291
  0.5213, 0.337748
  0.5145, 0.357616
  0.5152, 0.350331
  0.5118, 0.360265
    0.51, 0.360927
  0.5092, 0.362914
   0.511, 0.356291
  0.5119, 0.352318
  0.5108, 0.353642
   0.508, 0.360265
  0.5085, 0.357616
  0.5096, 0.354305
  0.5097, 0.352318
  0.5081, 0.356954
  0.5047, 0.366887
  0.5065, 0.360927
  0.5096, 0.350331
  0.5109, 0.346358
  0.5067, 0.357616
  0.5076,  0.35298
  0.5008, 0.370199
   0.504, 0.360265
  0.5011, 0.362914
  0.4989, 0.362914
  0.4994, 0.359603
  0.5012,  0.35298
  0.4966, 0.364901
  0.4987, 0.358278
  0.4978,  0.35894
  0.4989, 0.353642
  0.5004, 0.348344
  0.4967, 0.358278
  0.4939, 0.365563
  0.4921, 0.368874
  0.4943, 0.360927
  0.4954, 0.354305
  0.4913, 0.364901
  0.4963, 0.349007
  0.4883, 0.372848
  0.4951, 0.352318
  0.4921,  0.35894
  0.4898, 0.364901
  0.4931, 0.354305
  0.4911, 0.360265
  0.4903, 0.360927
  0.4893, 0.360265
  0.4884, 0.362914
  0.4859, 0.368874
  0.4898, 0.356954
  0.4863, 0.366887
  0.4878, 0.359603
   0.489, 0.354305
  0.4868, 0.359603
  0.4842, 0.364901
   0.484, 0.356954
  0.4878, 0.345033
  0.4819, 0.362252
  0.4823, 0.360265
  0.4815, 0.361589
  0.4821,  0.35894
  0.4848, 0.349007
  0.4799, 0.363576
  0.4816, 0.354305
  0.4782, 0.364238
  0.4797, 0.356954
   0.482, 0.349007
  0.4786, 0.352318
  0.4756,  0.35894
  0.4769, 0.352318
  0.4772, 0.350331
  0.4739, 0.356291
   0.474, 0.352318
  0.4712,  0.35894
  0.4708, 0.359603
   0.474, 0.349007
   0.467, 0.368874
  0.4677, 0.364238
  0.4648, 0.370199
  0.4669, 0.360265
   0.472, 0.343709
  0.4678, 0.354967
  0.4669, 0.357616
  0.4663, 0.356954
  0.4687, 0.348344
  0.4678, 0.350993
  0.4605, 0.372185
  0.4659, 0.355629
  0.4698, 0.343046
  0.4636, 0.360927
   0.464, 0.358278
   0.465,  0.35298
  0.4604, 0.366225
  0.4618, 0.360927
  0.4625, 0.356954
  0.4616, 0.356954
  0.4609, 0.358278
  0.4597, 0.360927
  0.4627, 0.350993
  0.4555, 0.361589
  0.4581, 0.351656
  0.4536, 0.362914
  0.4565, 0.353642
  0.4547, 0.358278
  0.4547, 0.354305
  0.4557, 0.350331
  0.4537, 0.355629
  0.4542,  0.35298
  0.4507, 0.360927
  0.4507, 0.359603
  0.4496, 0.362252
  0.4484,  0.35894
  0.4414, 0.374834
  0.4404, 0.370199
  0.4419, 0.362252
  0.4445,  0.35298
  0.4422, 0.359603
  0.4473,  0.34106
  0.4428,  0.35298
  0.4393,  0.35894
  0.4431,  0.34702
  0.4393, 0.356291
  0.4398, 0.349007
  0.4362, 0.359603
  0.4393, 0.349669
  0.4374, 0.352318
  0.4336, 0.362252
  0.4283, 0.370861
   0.433, 0.356291
  0.4324, 0.356954
  0.4322, 0.356954
  0.4335, 0.350331
   0.432, 0.354305
   0.433, 0.350331
   0.429, 0.357616
  0.4275, 0.353642
   0.427, 0.352318
  0.4236, 0.356954
  0.4199, 0.363576
  0.4203, 0.357616
  0.4203, 0.356954
  0.4179, 0.362252
  0.4184, 0.357616
  0.4188, 0.352318
  0.4138, 0.363576
  0.4162, 0.356291
  0.4113, 0.368212
  0.4138, 0.360265
  0.4137, 0.358278
  0.4116, 0.360927
  0.4127, 0.355629
  0.4084,  0.35894
  0.4076,  0.35894
  0.4074, 0.356954
  0.4082, 0.349007
  0.4035, 0.362914
  0.4057, 0.356291
  0.3994, 0.370861
  0.4046, 0.349007
   0.403, 0.352318
  0.4017, 0.354305
  0.3978, 0.364238
  0.4028, 0.343709
  0.3966, 0.355629
  0.3945, 0.360927
  0.3944, 0.360265
  0.3895,  0.36755
  0.3911, 0.362252
  0.3921, 0.357616
  0.3953, 0.342384
  0.3863, 0.358278
  0.3869, 0.354967
   0.386, 0.356291
   0.385, 0.357616
  0.3842, 0.359603
  0.3841, 0.355629
  0.3793, 0.360265
   0.377, 0.366887
   0.373,  0.35894
  0.3705, 0.359603
  0.3717, 0.354967
  0.3747,  0.34106
  0.3692, 0.356291
  0.3697, 0.354305
  0.3679, 0.359603
  0.3719, 0.342384
  0.3658, 0.353642
  0.3597, 0.355629
   0.355, 0.362914
  0.3583,  0.35298
  0.3588, 0.347682
   0.353, 0.364901
  0.3569, 0.352318
  0.3549, 0.356291
  0.3496, 0.356954
   0.352,  0.34702
