gen, tournament_hypot_onepoint_best, tournament_hypot_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.104619
   3,   0.2565, 0.148633
   4,   0.2584, 0.196999
   5,    0.263, 0.218228
   6,   0.2638, 0.226856
   7,   0.2643, 0.234998
   8,   0.2791, 0.241379
   9,   0.2791, 0.238908
  10,   0.3148, 0.250064
  11,   0.3165,  0.25916
  12,   0.3212, 0.270943
  13,   0.3288, 0.277452
  14,   0.3256, 0.281845
  15,   0.3422, 0.285641
  16,   0.3422, 0.287247
  17,   0.3643, 0.292865
  18,   0.3643, 0.300039
  19,   0.3624, 0.307265
  20,   0.3656,  0.31485
  21,   0.3772, 0.321161
  22,   0.3762, 0.321688
  23,   0.3901, 0.331555
  24,   0.3901, 0.327697
  25,   0.3921, 0.336926
  26,   0.3945, 0.340999
  27,   0.3945, 0.342696
  28,   0.3945,  0.34177
  29,   0.3945, 0.345481
  30,   0.3984, 0.347882
  31,   0.4051, 0.350601
  32,   0.4088, 0.356764
  33,   0.4177, 0.361658
  34,   0.4177, 0.354052
  35,    0.424, 0.375948
  36,   0.4261, 0.376049
  37,   0.4297, 0.381184
  38,    0.446, 0.380742
  39,   0.4546, 0.390887
  40,   0.4651, 0.394774
  41,   0.4651, 0.399965
  42,   0.4693, 0.404142
  43,   0.4693, 0.409313
  44,   0.4688, 0.415474
  45,   0.4688, 0.418368
  46,   0.4688, 0.422889
  47,   0.4704, 0.421022
  48,   0.4734, 0.427751
  49,   0.4734, 0.428398
  50,   0.4743, 0.429802
  51,   0.4798, 0.433187
  52,   0.4798, 0.435175
  53,   0.4813, 0.435588
  54,   0.4836, 0.433266
  55,   0.4856, 0.435329
  56,   0.4856, 0.436539
  57,   0.4866, 0.439682
  58,   0.4887, 0.442965
  59,   0.4887, 0.443224
  60,   0.4922, 0.445375
  61,   0.4955,  0.44581
  62,   0.4955, 0.446859
  63,   0.5108,  0.44877
  64,   0.5108, 0.455623
  65,   0.5165, 0.463297
  66,   0.5169, 0.467595
  67,   0.5237, 0.472679
  68,   0.5242, 0.470066
  69,   0.5299, 0.475527
  70,   0.5299, 0.474393
  71,   0.5353, 0.484388
  72,    0.539, 0.487524
  73,    0.539, 0.492309
  74,   0.5421, 0.494534
  75,   0.5439, 0.495048
  76,   0.5467, 0.497939
  77,   0.5467, 0.498313
  78,   0.5499, 0.502656
  79,   0.5521, 0.504728
  80,   0.5524, 0.506185
  81,   0.5582, 0.512134
  82,   0.5556, 0.510363
  83,   0.5586, 0.508269
  84,   0.5667, 0.517025
  85,   0.5667, 0.511437
  86,   0.5696, 0.523368
  87,   0.5714, 0.520609
  88,   0.5701, 0.521236
  89,    0.569, 0.518254
  90,    0.569, 0.519431
  91,   0.5753, 0.524155
  92,   0.5753, 0.521412
  93,   0.5753, 0.525308
  94,   0.5743, 0.519227
  95,   0.5743, 0.521481
