accuracy,sparse
  0.7807, 0.565563
  0.7798, 0.565563
  0.7809, 0.563576
  0.7803, 0.564238
  0.7792, 0.564901
  0.7801, 0.563576
  0.7796, 0.564238
  0.7785, 0.564901
  0.7808, 0.561589
  0.7812, 0.560927
  0.7802, 0.562252
  0.7816, 0.560265
   0.783, 0.558278
  0.7815, 0.560265
  0.7791, 0.563576
  0.7824,  0.55894
  0.7818, 0.559603
  0.7811, 0.560265
  0.7815, 0.559603
  0.7791, 0.562914
  0.7789, 0.561589
  0.7781, 0.562252
  0.7792, 0.560265
  0.7771, 0.560927
  0.7761, 0.561589
  0.7776, 0.558278
  0.7732, 0.563576
  0.7741, 0.562252
  0.7759, 0.559603
  0.7748, 0.558278
  0.7709, 0.562914
  0.7732, 0.558278
  0.7721,  0.55894
  0.7747, 0.554967
  0.7697, 0.561589
  0.7679, 0.563576
  0.7722, 0.557616
  0.7706, 0.559603
  0.7685, 0.562252
  0.7728, 0.556291
  0.7693, 0.560927
  0.7687, 0.561589
  0.7671, 0.563576
  0.7701,  0.55894
  0.7669, 0.562914
  0.7661, 0.562914
  0.7662, 0.562252
   0.771, 0.555629
  0.7672, 0.560265
  0.7669, 0.560265
  0.7672, 0.559603
  0.7689, 0.556954
  0.7687, 0.556954
  0.7646, 0.562252
   0.765, 0.561589
  0.7611, 0.566225
  0.7676, 0.556954
  0.7665, 0.557616
  0.7655,  0.55894
  0.7627, 0.562252
  0.7632, 0.560927
  0.7623, 0.561589
  0.7646, 0.558278
  0.7649, 0.557616
  0.7652, 0.556954
  0.7621, 0.560927
  0.7633,  0.55894
  0.7617, 0.560265
  0.7589, 0.563576
  0.7593, 0.562252
  0.7587, 0.562914
  0.7604, 0.560265
  0.7599, 0.560927
  0.7586, 0.562252
  0.7625, 0.556291
  0.7601,  0.55894
  0.7586, 0.560927
  0.7593, 0.559603
  0.7576, 0.561589
  0.7551, 0.564901
   0.757, 0.562252
  0.7606, 0.556954
  0.7554, 0.563576
  0.7573, 0.560927
  0.7563, 0.562252
  0.7597, 0.557616
  0.7625, 0.553642
  0.7569, 0.560265
  0.7524, 0.566225
    0.76, 0.554967
  0.7539, 0.562914
  0.7568,  0.55894
