gen, tournament_hypot_twopoint_best, tournament_hypot_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.112718
   3,   0.2466, 0.131451
   4,   0.2466, 0.158605
   5,   0.2845, 0.152224
   6,   0.2845, 0.160365
   7,   0.2813, 0.179616
   8,   0.3006, 0.201092
   9,   0.3128, 0.229504
  10,   0.3399, 0.251963
  11,   0.3537, 0.271223
  12,   0.3654, 0.287412
  13,   0.3668, 0.292718
  14,   0.3811, 0.309757
  15,    0.384, 0.322554
  16,   0.4031, 0.328282
  17,   0.4078,  0.33441
  18,   0.4148, 0.346426
  19,   0.4251, 0.353292
  20,   0.4378, 0.363738
  21,   0.4438, 0.374047
  22,   0.4438, 0.381667
  23,   0.4618, 0.378573
  24,   0.4618, 0.387686
  25,   0.4732, 0.392915
  26,   0.4732, 0.402514
  27,   0.4936,  0.40902
  28,    0.498, 0.420909
  29,   0.5023, 0.436941
  30,   0.5067, 0.435253
  31,    0.509, 0.440058
  32,    0.521, 0.443087
  33,    0.521, 0.441752
  34,   0.5376, 0.455011
  35,   0.5449, 0.460245
  36,   0.5415, 0.461527
  37,   0.5468, 0.468851
  38,   0.5468, 0.466792
  39,   0.5468, 0.468629
  40,   0.5535, 0.470627
  41,   0.5564, 0.478151
  42,   0.5564, 0.479642
  43,   0.5769, 0.487199
  44,   0.5769, 0.484628
  45,   0.5769, 0.495733
  46,   0.5848, 0.490758
  47,   0.5848, 0.502033
  48,   0.5848, 0.494903
  49,   0.5848, 0.498527
  50,   0.5848, 0.504487
  51,   0.5848, 0.501163
  52,   0.5897, 0.510681
  53,   0.5897, 0.505411
  54,   0.5897,  0.49651
  55,   0.5897, 0.503227
  56,   0.5897, 0.507205
  57,   0.5878, 0.510869
  58,   0.5942, 0.508084
  59,   0.6001, 0.511491
  60,   0.6001, 0.513599
  61,   0.6057, 0.519118
  62,   0.6048, 0.525597
  63,   0.6199, 0.524243
  64,   0.6199, 0.529794
  65,   0.6199, 0.537379
  66,   0.6199, 0.533274
  67,   0.6195, 0.540538
  68,   0.6195, 0.537969
  69,   0.6195, 0.543647
  70,   0.6212, 0.536567
  71,   0.6212, 0.536282
  72,   0.6212, 0.536847
  73,   0.6212, 0.538732
  74,   0.6212, 0.536358
  75,   0.6234, 0.538509
  76,    0.629, 0.542171
  77,    0.629, 0.535214
  78,   0.6281, 0.533276
  79,   0.6305, 0.542758
  80,     0.63, 0.545433
  81,   0.6354, 0.549894
  82,   0.6354, 0.555462
  83,   0.6354, 0.561344
  84,   0.6354, 0.558145
  85,   0.6354, 0.554054
  86,   0.6354, 0.552369
  87,   0.6376, 0.548907
  88,   0.6401, 0.560746
  89,   0.6425, 0.558556
  90,   0.6425, 0.561689
  91,   0.6425, 0.552159
  92,   0.6425, 0.569026
  93,   0.6425, 0.568937
  94,   0.6425, 0.566442
  95,    0.648, 0.569241
  96,   0.6514, 0.559001
  97,   0.6514, 0.563962
  98,   0.6514, 0.573706
  99,   0.6514,  0.57151
 100,   0.6514, 0.570055
 101,     0.65,   0.5646
 102,   0.6542, 0.573972
 103,   0.6577, 0.577991
 104,   0.6577, 0.567578
 105,    0.666, 0.580566
 106,    0.666, 0.583453
 107,   0.6652, 0.578562
 108,   0.6652, 0.585912
 109,   0.6652, 0.580778
 110,   0.6652, 0.582398
 111,   0.6657, 0.587746
 112,   0.6672, 0.585298
 113,   0.6679, 0.581921
 114,    0.668, 0.585787
 115,   0.6712, 0.587152
 116,   0.6712, 0.584684
 117,   0.6718, 0.591213
 118,   0.6718, 0.598719
 119,   0.6706, 0.590545
 120,   0.6706, 0.595091
 121,   0.6706, 0.583232
 122,   0.6706, 0.589625
 123,   0.6731, 0.581598
 124,   0.6728,  0.59003
 125,   0.6728, 0.589819
