accuracy,sparse
   0.846, 0.510596
  0.8446, 0.511258
  0.8459, 0.508609
  0.8461, 0.507947
  0.8439, 0.511258
  0.8448, 0.509272
  0.8449, 0.508609
  0.8463,  0.50596
  0.8439, 0.509934
  0.8433, 0.510596
  0.8444, 0.508609
  0.8427, 0.511258
  0.8414, 0.513245
  0.8428, 0.510596
  0.8432, 0.509934
  0.8427, 0.510596
  0.8418, 0.511921
  0.8433, 0.509272
  0.8411, 0.512583
  0.8427, 0.509934
  0.8412, 0.508609
   0.843, 0.503973
  0.8394, 0.509934
  0.8414, 0.504636
   0.836, 0.507285
  0.8377, 0.503973
  0.8373, 0.504636
  0.8343,  0.50596
  0.8365, 0.501987
   0.834,  0.50596
  0.8348, 0.504636
  0.8347, 0.504636
  0.8318, 0.507285
  0.8304, 0.508609
  0.8308, 0.506622
   0.828, 0.508609
  0.8261, 0.510596
  0.8284, 0.503973
  0.8246, 0.509934
  0.8253, 0.508609
   0.825, 0.507947
  0.8262,  0.50596
  0.8243, 0.507947
  0.8234, 0.509272
  0.8233, 0.508609
  0.8197, 0.508609
  0.8196, 0.508609
  0.8212, 0.504636
  0.8203,  0.50596
  0.8225, 0.501987
  0.8159, 0.511921
  0.8207, 0.503973
  0.8177, 0.508609
  0.8173, 0.507947
  0.8158, 0.509272
  0.8162, 0.508609
  0.8154, 0.509272
  0.8174, 0.505298
  0.8179, 0.503311
  0.8146, 0.507285
  0.8116, 0.511921
  0.8127, 0.509934
  0.8146,  0.50596
  0.8141, 0.506622
  0.8149, 0.504636
  0.8135,  0.50596
  0.8131, 0.505298
  0.8133, 0.504636
  0.8116, 0.507285
  0.8132, 0.504636
  0.8123, 0.505298
  0.8106, 0.506622
  0.8112, 0.504636
  0.8079, 0.508609
   0.811, 0.503311
  0.8101, 0.503973
  0.8061, 0.509272
  0.8077,  0.50596
  0.8096, 0.501987
  0.8075, 0.505298
  0.8076, 0.504636
  0.8098, 0.500662
  0.8062,  0.50596
  0.8022, 0.511258
  0.8058, 0.505298
   0.804, 0.507947
  0.8051, 0.505298
  0.8057, 0.503973
  0.8026, 0.508609
   0.803, 0.507947
  0.8046, 0.504636
  0.8033, 0.506622
   0.804, 0.504636
  0.8046, 0.503311
  0.8061,      0.5
  0.8005, 0.508609
  0.8005, 0.508609
  0.7996, 0.509934
  0.8022, 0.505298
  0.8004, 0.507947
  0.8014,  0.50596
  0.8043, 0.500662
  0.8028, 0.502649
  0.8013, 0.504636
  0.8024, 0.502649
  0.8002,  0.50596
  0.7989, 0.507947
  0.7998,  0.50596
  0.7989, 0.507285
  0.7965, 0.510596
  0.7975, 0.507285
  0.7957, 0.509934
  0.7982,  0.50596
  0.7951, 0.510596
  0.7996, 0.503311
   0.796, 0.508609
  0.7988, 0.503973
  0.7979, 0.505298
   0.795, 0.508609
  0.7994, 0.501324
  0.7954, 0.507285
  0.7966, 0.505298
  0.7991, 0.501324
  0.7948, 0.507947
   0.795, 0.506622
   0.795, 0.506622
  0.7968, 0.503311
  0.7931, 0.508609
   0.793, 0.508609
  0.7938, 0.507285
  0.7901, 0.511921
  0.7956, 0.502649
  0.7904, 0.509272
  0.7918, 0.505298
  0.7932, 0.501987
  0.7896, 0.507285
  0.7906, 0.505298
   0.791, 0.503311
  0.7888, 0.505298
  0.7875, 0.506622
  0.7861, 0.508609
  0.7877,  0.50596
  0.7849, 0.509934
  0.7866, 0.507285
  0.7854, 0.508609
   0.786, 0.507285
  0.7838, 0.510596
   0.788, 0.502649
  0.7867, 0.504636
  0.7816, 0.510596
  0.7831, 0.507947
  0.7873, 0.500662
  0.7827, 0.507285
  0.7852, 0.503311
  0.7866, 0.500662
   0.781, 0.509272
  0.7777, 0.513907
   0.789, 0.496026
  0.7832, 0.503973
    0.78, 0.508609
  0.7774, 0.511258
  0.7827, 0.502649
  0.7804,  0.50596
  0.7819, 0.503311
  0.7783, 0.508609
  0.7823, 0.501987
  0.7809, 0.503973
  0.7791, 0.506622
  0.7797, 0.505298
  0.7762, 0.509272
  0.7809, 0.501987
  0.7764, 0.508609
  0.7797, 0.503311
  0.7757, 0.509272
  0.7799, 0.502649
  0.7761, 0.507947
  0.7778, 0.504636
  0.7782, 0.503973
  0.7781, 0.503973
  0.7749, 0.508609
  0.7762, 0.506622
   0.777, 0.505298
  0.7755,  0.50596
  0.7776, 0.502649
   0.775, 0.505298
   0.775, 0.504636
  0.7721, 0.508609
  0.7734,  0.50596
  0.7719, 0.507947
  0.7711, 0.508609
   0.769, 0.510596
  0.7715, 0.506622
  0.7712, 0.506622
  0.7718, 0.505298
  0.7696, 0.508609
  0.7687, 0.509934
  0.7779, 0.495364
  0.7688, 0.506622
  0.7735, 0.499338
  0.7691,  0.50596
  0.7668, 0.509272
  0.7666, 0.509272
  0.7674, 0.507947
  0.7716, 0.501324
   0.771, 0.501324
  0.7675, 0.506622
  0.7671, 0.506622
  0.7648, 0.509272
  0.7669, 0.505298
  0.7666, 0.505298
  0.7643, 0.508609
  0.7652, 0.506622
  0.7644,  0.50596
  0.7643,  0.50596
  0.7597, 0.512583
   0.762, 0.508609
  0.7641, 0.505298
  0.7626, 0.507285
  0.7616, 0.508609
  0.7599, 0.510596
  0.7646, 0.503311
  0.7632, 0.503973
  0.7612, 0.506622
  0.7629, 0.503973
  0.7595, 0.508609
  0.7617, 0.505298
  0.7624, 0.503973
  0.7645,      0.5
  0.7602, 0.503973
  0.7588, 0.505298
  0.7577, 0.506622
   0.756, 0.507947
  0.7551, 0.506622
  0.7533, 0.508609
  0.7564, 0.503973
  0.7559, 0.504636
   0.755,  0.50596
  0.7513, 0.511258
  0.7548,  0.50596
  0.7548, 0.503973
  0.7556, 0.502649
  0.7535, 0.505298
  0.7531, 0.505298
   0.755, 0.501324
   0.752, 0.505298
  0.7546, 0.501324
  0.7559, 0.499338
  0.7482, 0.510596
