gen, tournament_hypot_uniform_best, tournament_hypot_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2461, 0.101204
   3,   0.2461, 0.109652
   4,   0.2891, 0.124994
   5,   0.3221, 0.156542
   6,    0.343, 0.192196
   7,   0.3565, 0.234049
   8,    0.387, 0.255894
   9,   0.4183, 0.287801
  10,   0.4343, 0.323843
  11,   0.4343, 0.342296
  12,    0.462, 0.349521
  13,   0.4597,   0.3697
  14,   0.4876, 0.393496
  15,   0.4876, 0.406703
  16,   0.5007, 0.428222
  17,   0.5053, 0.441007
  18,   0.5098, 0.443433
  19,   0.5068, 0.448216
  20,   0.5177, 0.457509
  21,   0.5143, 0.456664
  22,   0.5346, 0.459155
  23,   0.5346, 0.463702
  24,   0.5303, 0.468821
  25,    0.538, 0.477039
  26,   0.5416, 0.473578
  27,   0.5416, 0.480256
  28,    0.549, 0.488777
  29,   0.5526, 0.487803
  30,   0.5526, 0.486926
  31,   0.5564, 0.491542
  32,    0.555, 0.497188
  33,    0.555, 0.501461
  34,   0.5655,  0.50043
  35,   0.5633, 0.499358
  36,   0.5731, 0.507213
  37,   0.5719, 0.509475
  38,   0.5742, 0.514798
  39,   0.5718,  0.52355
  40,   0.5858,  0.52552
  41,   0.5867, 0.523306
  42,   0.5933, 0.533079
  43,   0.5914, 0.539992
  44,   0.5966, 0.535936
  45,   0.6015, 0.538095
  46,   0.6053, 0.546617
  47,   0.6053, 0.549687
  48,   0.6136, 0.557923
  49,   0.6096,  0.55626
  50,    0.615, 0.564156
  51,    0.615, 0.560737
  52,    0.621,  0.56948
  53,    0.621, 0.571304
  54,   0.6236,  0.57751
  55,   0.6236, 0.579949
  56,   0.6239, 0.582441
  57,   0.6292, 0.583315
  58,   0.6292, 0.582493
  59,   0.6348, 0.587281
  60,   0.6348,  0.59095
  61,   0.6348, 0.589466
  62,    0.638, 0.591799
  63,    0.636, 0.596473
  64,    0.636, 0.594442
  65,    0.641, 0.592458
  66,    0.641, 0.595801
  67,   0.6452,  0.59561
  68,   0.6452, 0.598401
  69,   0.6482, 0.601909
  70,   0.6482, 0.603913
  71,   0.6469, 0.605836
  72,   0.6508, 0.610256
  73,   0.6545, 0.606699
  74,   0.6545, 0.612684
  75,   0.6549, 0.609944
  76,   0.6578, 0.611575
  77,   0.6588, 0.609694
  78,   0.6588, 0.612903
  79,   0.6588, 0.611019
  80,   0.6618,  0.61147
  81,   0.6658, 0.612265
  82,   0.6658, 0.618762
  83,   0.6689, 0.614544
  84,   0.6689, 0.617585
  85,   0.6689, 0.620184
  86,   0.6689, 0.623639
  87,   0.6707, 0.620818
  88,   0.6707, 0.625528
  89,   0.6705,  0.62771
  90,   0.6717, 0.626619
  91,   0.6717, 0.626913
  92,   0.6717, 0.633086
  93,   0.6732, 0.632922
  94,   0.6735, 0.634245
  95,   0.6743, 0.633669
  96,   0.6767, 0.632627
  97,   0.6767, 0.631315
  98,   0.6767,  0.63487
  99,   0.6789, 0.633976
 100,   0.6798, 0.635702
 101,    0.681, 0.631184
 102,   0.6859, 0.632618
 103,   0.6859, 0.637816
 104,   0.6859, 0.638848
 105,   0.6854, 0.638937
 106,   0.6854,  0.63883
 107,   0.6868, 0.642714
 108,   0.6865,  0.64045
 109,   0.6881, 0.646565
 110,   0.6906, 0.643501
 111,    0.691, 0.642847
 112,   0.6925, 0.633933
 113,   0.6974,  0.63435
 114,   0.7002,   0.6415
 115,   0.7002, 0.639158
 116,   0.7019, 0.642424
 117,   0.6999, 0.646385
 118,   0.6999,  0.64311
 119,   0.6999, 0.645964
 120,   0.6999,  0.64568
 121,   0.7042, 0.645492
 122,   0.7042, 0.646686
 123,   0.7053, 0.642833
 124,   0.7053, 0.649893
 125,   0.7053, 0.646532
 126,   0.7053, 0.650162
 127,   0.7096, 0.647233
 128,   0.7096, 0.651882
 129,   0.7118, 0.652255
 130,   0.7118, 0.650399
 131,   0.7123, 0.651586
 132,   0.7123, 0.654425
 133,   0.7147, 0.653746
 134,   0.7147, 0.656141
 135,   0.7147, 0.654767
 136,   0.7147, 0.652471
 137,   0.7163, 0.652955
 138,   0.7143, 0.654854
 139,   0.7191, 0.661376
 140,   0.7191, 0.660802
 141,   0.7191, 0.657188
 142,   0.7202,  0.65607
 143,   0.7202, 0.657879
 144,   0.7202, 0.655888
 145,   0.7202, 0.659604
 146,    0.719, 0.660926
 147,    0.719, 0.660328
 148,    0.719, 0.656573
 149,    0.719, 0.654772
 150,   0.7192, 0.660275
 151,   0.7192, 0.659101
 152,   0.7219, 0.663005
 153,   0.7219, 0.665013
 154,   0.7214, 0.659968
 155,   0.7208, 0.656664
 156,   0.7208, 0.663534
 157,   0.7208, 0.659219
 158,   0.7208, 0.658562
 159,   0.7208, 0.653193
 160,   0.7195,  0.65661
 161,   0.7195, 0.662056
 162,   0.7195, 0.656395
 163,   0.7232, 0.653041
 164,   0.7232, 0.655692
 165,   0.7232, 0.654669
 166,   0.7232, 0.657621
 167,   0.7232, 0.653352
 168,   0.7235, 0.661047
 169,   0.7235, 0.658814
 170,   0.7256, 0.661664
 171,   0.7278, 0.663001
 172,   0.7278, 0.661614
 173,   0.7278, 0.664128
 174,   0.7278,  0.66194
 175,   0.7278, 0.662461
 176,   0.7307, 0.666482
 177,   0.7307, 0.668218
 178,   0.7326, 0.663971
 179,   0.7326, 0.666529
 180,   0.7334, 0.670089
 181,   0.7334, 0.672476
 182,   0.7334, 0.668359
 183,   0.7334, 0.667102
 184,   0.7334, 0.669969
 185,   0.7351, 0.668627
 186,   0.7351, 0.672607
 187,   0.7351, 0.674164
 188,   0.7351, 0.670547
 189,   0.7351, 0.669197
 190,   0.7359, 0.669258
 191,   0.7341, 0.675166
 192,   0.7342, 0.677359
 193,   0.7342, 0.670152
 194,   0.7342, 0.669197
 195,   0.7342, 0.671546
 196,   0.7342, 0.673474
 197,   0.7371, 0.672932
 198,   0.7371, 0.673758
 199,   0.7363, 0.672249
 200,   0.7363, 0.672993
 201,   0.7363, 0.672622
 202,   0.7363, 0.666139
 203,   0.7381, 0.667355
 204,   0.7381,  0.67373
 205,   0.7381, 0.672821
 206,   0.7392, 0.674393
 207,   0.7392, 0.680373
 208,   0.7354, 0.676986
 209,   0.7354, 0.670793
 210,   0.7354,  0.68146
 211,   0.7386, 0.675577
 212,   0.7386, 0.678853
 213,   0.7386, 0.676338
 214,   0.7386, 0.677146
 215,   0.7386, 0.674712
 216,   0.7386, 0.677025
 217,   0.7386, 0.675221
 218,   0.7386, 0.678455
 219,   0.7415, 0.674527
 220,   0.7415, 0.678199
 221,   0.7415, 0.673872
 222,   0.7408,   0.6736
 223,    0.743, 0.680439
 224,    0.743, 0.674421
 225,    0.743, 0.675899
 226,   0.7421, 0.679645
 227,   0.7421, 0.680555
 228,   0.7431, 0.676541
 229,   0.7431, 0.677771
 230,   0.7431, 0.679042
 231,   0.7431, 0.681232
 232,   0.7431, 0.670802
 233,   0.7428, 0.675566
 234,   0.7428, 0.672823
 235,   0.7431, 0.677573
 236,   0.7431, 0.678077
 237,   0.7431, 0.676762
 238,   0.7431, 0.676474
 239,   0.7431, 0.675435
 240,   0.7431,  0.67425
 241,   0.7431, 0.676911
 242,   0.7431, 0.679361
 243,   0.7431, 0.678851
 244,   0.7431, 0.677588
 245,   0.7445, 0.680996
 246,   0.7445, 0.682289
 247,   0.7452, 0.682397
 248,   0.7442,  0.67647
 249,   0.7442, 0.680361
 250,   0.7442, 0.676099
 251,   0.7442, 0.683232
 252,   0.7442, 0.680402
 253,   0.7442, 0.677701
 254,   0.7442, 0.677108
 255,   0.7442, 0.679942
 256,   0.7442, 0.684734
 257,   0.7442,  0.67822
 258,   0.7442, 0.682487
 259,   0.7442, 0.678622
 260,   0.7442, 0.685006
 261,   0.7438, 0.683213
 262,   0.7438, 0.682603
 263,   0.7438, 0.680197
 264,   0.7438, 0.684768
 265,   0.7438,  0.68101
 266,   0.7438, 0.679726
 267,   0.7438, 0.682124
 268,   0.7438,  0.67884
 269,   0.7438, 0.678846
