accuracy,sparse
  0.8589, 0.562914
  0.8569, 0.565563
  0.8586, 0.562252
  0.8593, 0.560927
   0.857, 0.564238
  0.8586, 0.561589
   0.859, 0.560927
  0.8581, 0.562252
  0.8581, 0.562252
  0.8602,  0.55894
   0.858, 0.562252
  0.8579, 0.562252
  0.8595, 0.559603
  0.8586, 0.560927
  0.8577, 0.562252
  0.8572, 0.562914
  0.8589, 0.560265
  0.8571, 0.562914
  0.8565, 0.563576
  0.8591, 0.559603
   0.856, 0.564238
  0.8526, 0.562914
  0.8532, 0.561589
  0.8567, 0.555629
  0.8533,  0.55894
  0.8477, 0.562914
  0.8486, 0.560927
  0.8475, 0.562252
  0.8495,  0.55894
  0.8475, 0.560265
  0.8484, 0.557616
  0.8474,  0.55894
  0.8471,  0.55894
  0.8492, 0.555629
  0.8469, 0.558278
  0.8425, 0.562252
  0.8439, 0.559603
  0.8435,  0.55894
  0.8426,  0.55894
  0.8407, 0.560265
  0.8428, 0.556291
  0.8402, 0.559603
  0.8392, 0.560927
  0.8396, 0.559603
  0.8372, 0.561589
  0.8374, 0.560265
  0.8391, 0.557616
  0.8364, 0.561589
  0.8325, 0.566225
  0.8403, 0.554305
  0.8375, 0.558278
  0.8376, 0.556954
  0.8376, 0.556954
  0.8362, 0.558278
  0.8375, 0.556291
  0.8364, 0.557616
  0.8367, 0.556954
   0.836, 0.557616
  0.8333, 0.561589
  0.8335, 0.560265
  0.8338, 0.559603
  0.8364, 0.554967
  0.8313, 0.561589
   0.835, 0.555629
  0.8303, 0.562252
  0.8316, 0.559603
  0.8301, 0.560927
  0.8307, 0.559603
  0.8301, 0.559603
  0.8304,  0.55894
  0.8293, 0.560265
  0.8262, 0.564238
  0.8287, 0.560265
  0.8318, 0.555629
  0.8299, 0.556954
   0.828, 0.559603
  0.8271, 0.560927
  0.8287, 0.558278
  0.8286, 0.558278
  0.8273, 0.559603
  0.8268, 0.559603
  0.8267, 0.559603
  0.8266, 0.559603
  0.8256, 0.559603
  0.8282, 0.555629
  0.8253,  0.55894
  0.8251,  0.55894
   0.828, 0.553642
  0.8198, 0.565563
  0.8238, 0.559603
   0.826, 0.556291
  0.8248, 0.557616
  0.8246, 0.557616
  0.8236,  0.55894
  0.8222, 0.560927
  0.8221, 0.560265
  0.8253, 0.554967
  0.8235, 0.557616
  0.8229, 0.558278
  0.8229, 0.556954
  0.8213,  0.55894
  0.8199, 0.560927
  0.8221, 0.557616
  0.8191, 0.561589
  0.8203, 0.559603
  0.8246, 0.552318
    0.82,  0.55894
  0.8176, 0.562252
  0.8207, 0.557616
  0.8214, 0.555629
  0.8205, 0.556291
  0.8177, 0.559603
  0.8153, 0.562914
  0.8155, 0.562252
  0.8179, 0.558278
  0.8172,  0.55894
  0.8198, 0.554967
  0.8152, 0.561589
  0.8148, 0.560927
  0.8196, 0.553642
  0.8204, 0.552318
  0.8143, 0.560927
  0.8138, 0.561589
  0.8142, 0.560927
  0.8156, 0.557616
  0.8142, 0.559603
  0.8158, 0.556954
  0.8141,  0.55894
  0.8128, 0.560265
  0.8109, 0.562252
  0.8089, 0.564901
  0.8121, 0.560265
  0.8115, 0.560265
   0.813, 0.557616
  0.8134, 0.556954
  0.8113,  0.55894
  0.8108, 0.559603
   0.811,  0.55894
  0.8111, 0.558278
  0.8113, 0.557616
  0.8117, 0.556954
  0.8102,  0.55894
  0.8096, 0.559603
  0.8041, 0.566887
  0.8126, 0.554305
  0.8097, 0.558278
   0.811, 0.556291
  0.8108, 0.556291
  0.8068, 0.560927
  0.8093, 0.556954
  0.8124, 0.552318
  0.8085, 0.557616
  0.8103, 0.554967
  0.8078, 0.558278
  0.8064, 0.559603
  0.8052, 0.560927
  0.8045, 0.561589
  0.8108, 0.552318
   0.806,  0.55894
  0.8087, 0.554967
  0.8049, 0.560265
  0.8062, 0.558278
  0.8061, 0.558278
  0.8061, 0.558278
  0.8042, 0.560927
  0.8049, 0.559603
  0.8067, 0.556291
  0.8047,  0.55894
  0.8036, 0.560265
  0.8026, 0.561589
  0.8026, 0.560927
  0.8066, 0.554967
  0.8045, 0.557616
  0.8065, 0.554305
  0.8006, 0.562252
  0.8025,  0.55894
  0.8024,  0.55894
  0.8023,  0.55894
  0.8023, 0.558278
  0.8007, 0.560265
  0.7993, 0.562252
   0.802, 0.558278
  0.8033, 0.556291
  0.8025, 0.556954
  0.7977, 0.563576
  0.8024, 0.556291
  0.8004, 0.558278
  0.7977, 0.561589
  0.8012, 0.556291
  0.7993,  0.55894
  0.8002, 0.557616
  0.8008, 0.556291
  0.7963, 0.562252
  0.7987, 0.558278
  0.7993, 0.556954
   0.798, 0.558278
  0.7982, 0.556291
  0.7939, 0.562252
  0.7957, 0.559603
  0.7939, 0.560265
  0.7919, 0.562914
  0.7961, 0.556291
  0.7945, 0.558278
  0.7921, 0.561589
  0.7915, 0.562252
  0.7909, 0.562914
   0.793, 0.559603
  0.7925, 0.560265
  0.7933,  0.55894
  0.7903, 0.562914
  0.7933, 0.558278
  0.7936, 0.556954
  0.7916, 0.559603
  0.7883, 0.564238
  0.7907, 0.560265
  0.7921, 0.558278
  0.7946, 0.554305
  0.7946, 0.554305
  0.7918, 0.558278
  0.7931, 0.556291
   0.793, 0.556291
  0.7887, 0.561589
  0.7846, 0.566225
  0.7872, 0.562252
  0.7888, 0.559603
  0.7891, 0.557616
  0.7891, 0.557616
  0.7871, 0.558278
  0.7832, 0.563576
   0.786, 0.558278
  0.7854,  0.55894
    0.79, 0.552318
  0.7871, 0.556291
  0.7856, 0.558278
  0.7879, 0.554967
  0.7864, 0.556954
   0.781, 0.562914
   0.785, 0.556954
  0.7835, 0.558278
  0.7826,  0.55894
  0.7844, 0.556291
  0.7815, 0.560265
  0.7798, 0.562252
  0.7814, 0.557616
  0.7839, 0.553642
  0.7787, 0.560927
  0.7833, 0.554305
  0.7813, 0.556954
  0.7776, 0.561589
  0.7813, 0.556291
  0.7784, 0.560265
  0.7795, 0.557616
  0.7809, 0.555629
  0.7786, 0.557616
  0.7746, 0.562914
  0.7764, 0.560265
  0.7777, 0.557616
  0.7777, 0.557616
  0.7758, 0.559603
  0.7737, 0.560927
  0.7755, 0.558278
  0.7728, 0.560927
  0.7749, 0.557616
  0.7771, 0.554305
  0.7725, 0.560265
  0.7716, 0.559603
  0.7751, 0.554305
  0.7682, 0.560927
  0.7708, 0.556954
  0.7688, 0.559603
  0.7692,  0.55894
  0.7707, 0.556291
  0.7698, 0.555629
  0.7668, 0.559603
  0.7651, 0.561589
  0.7683, 0.556291
  0.7673, 0.557616
  0.7711, 0.552318
  0.7677, 0.556291
  0.7655,  0.55894
  0.7653, 0.558278
  0.7635, 0.559603
  0.7649, 0.557616
  0.7595, 0.564238
  0.7663, 0.554305
  0.7628,  0.55894
  0.7597, 0.562914
  0.7635, 0.556954
  0.7604, 0.560927
  0.7621, 0.558278
  0.7606,  0.55894
   0.758, 0.562252
  0.7579, 0.562252
  0.7616, 0.556954
  0.7566, 0.560927
  0.7549, 0.561589
  0.7559, 0.557616
  0.7537, 0.559603
  0.7526, 0.560927
   0.755, 0.556954
  0.7518, 0.560265
  0.7537, 0.557616
   0.756, 0.554305
  0.7533, 0.557616
  0.7542, 0.556291
   0.751, 0.560265
  0.7503, 0.560927
  0.7556, 0.553642
  0.7519, 0.557616
  0.7475, 0.562252
   0.749, 0.559603
  0.7485, 0.560265
  0.7513, 0.556291
  0.7483, 0.560265
  0.7476, 0.560927
  0.7464, 0.560927
  0.7534, 0.550993
   0.746, 0.560927
  0.7469, 0.559603
  0.7471,  0.55894
  0.7424, 0.562914
   0.744, 0.559603
  0.7435, 0.560265
  0.7422, 0.560927
  0.7436, 0.557616
  0.7419, 0.559603
  0.7409, 0.560265
  0.7413, 0.559603
  0.7389, 0.562252
  0.7436, 0.555629
  0.7381, 0.562914
  0.7394, 0.557616
  0.7383, 0.558278
  0.7358, 0.560927
  0.7343, 0.560927
  0.7347, 0.560265
  0.7363, 0.557616
  0.7377, 0.554967
  0.7313, 0.562914
  0.7318, 0.560265
  0.7345, 0.556291
    0.73, 0.559603
    0.73,  0.55894
  0.7299, 0.557616
  0.7273, 0.556954
  0.7271, 0.556291
  0.7246, 0.556291
  0.7235, 0.556291
  0.7183, 0.562914
  0.7188, 0.561589
   0.719, 0.560927
  0.7198, 0.559603
  0.7214, 0.556954
  0.7193, 0.559603
  0.7186, 0.556954
   0.716, 0.560265
  0.7126,  0.55894
  0.7098, 0.562252
  0.7151, 0.554967
  0.7121, 0.558278
  0.7075, 0.562914
  0.7096, 0.557616
  0.7075, 0.560265
  0.7102, 0.556291
  0.7058, 0.561589
  0.7089, 0.554967
  0.7037, 0.558278
  0.7028,  0.55894
  0.7036, 0.556954
  0.6962, 0.561589
  0.6978,  0.55894
  0.6989, 0.554967
  0.6955, 0.553642
  0.6904, 0.558278
  0.6913, 0.556954
  0.6854, 0.560927
  0.6854, 0.556291
  0.6791, 0.562252
  0.6813,  0.55894
   0.679, 0.556291
  0.6755, 0.559603
  0.6778, 0.556291
  0.6754, 0.556954
  0.6706, 0.556954
   0.668,  0.55894
  0.6623, 0.558278
  0.6577,  0.55894
  0.6555, 0.560927
  0.6528, 0.560265
  0.6484, 0.562914
  0.6508, 0.556954
   0.642, 0.565563
  0.6435, 0.560927
  0.6438, 0.557616
  0.6388, 0.561589
  0.6356, 0.557616
  0.6198, 0.555629
  0.5997, 0.556954
   0.584, 0.562914
  0.5666, 0.562914
