gen, tournament_scalar1_onepoint_best, tournament_scalar1_onepoint_ave
   1,   0.1505, 0.100111
   2,   0.1505, 0.104353
   3,   0.2271, 0.116898
   4,   0.2271, 0.144582
   5,    0.201, 0.179478
   6,    0.201, 0.196155
   7,   0.2636, 0.197932
   8,   0.2636, 0.200998
   9,   0.2751, 0.218857
  10,   0.2736, 0.239358
  11,   0.2736, 0.254618
  12,   0.2816, 0.261058
  13,   0.2874, 0.263029
  14,   0.2913, 0.269549
  15,    0.315, 0.276001
  16,    0.315, 0.268796
  17,   0.3337, 0.290309
  18,   0.3343, 0.297825
  19,   0.3343, 0.303389
  20,   0.3445, 0.308831
  21,   0.3353, 0.309987
  22,   0.3399, 0.319844
  23,   0.3437, 0.317101
  24,   0.3393, 0.321527
  25,   0.3592, 0.320683
  26,   0.3526, 0.322578
  27,   0.3665, 0.334427
  28,   0.3665, 0.329083
  29,   0.3612, 0.339433
  30,   0.3661, 0.341329
  31,   0.3703, 0.344243
  32,   0.3715, 0.345236
  33,   0.3715, 0.348774
  34,   0.3676, 0.350347
  35,   0.3736,  0.35372
  36,   0.3732, 0.355314
  37,   0.3732, 0.356375
  38,   0.3796, 0.353176
  39,   0.3796, 0.353786
  40,   0.3793, 0.358323
  41,   0.3793, 0.360045
  42,   0.3763, 0.355653
  43,   0.3763, 0.356453
  44,   0.3795, 0.358083
  45,   0.3796, 0.355867
  46,   0.3749, 0.360171
  47,   0.3791, 0.358994
  48,   0.3774, 0.354605
  49,   0.3774, 0.361693
  50,   0.3694,   0.3537
  51,   0.3719, 0.351024
  52,   0.3715, 0.350244
  53,   0.3808, 0.353569
  54,   0.3808, 0.352027
  55,   0.3765, 0.355049
  56,   0.3863, 0.358106
  57,   0.3804, 0.357908
  58,   0.3804, 0.361632
  59,   0.3777, 0.359527
  60,   0.3839, 0.362629
  61,   0.3815, 0.359921
  62,   0.3702, 0.360312
  63,   0.3864, 0.356912
  64,   0.3713, 0.358476
  65,   0.3713, 0.355395
  66,   0.3699, 0.354993
  67,   0.3699, 0.352047
  68,    0.381, 0.354988
  69,    0.381, 0.356129
  70,    0.385, 0.361444
  71,    0.385, 0.359616
  72,   0.3936,  0.36314
  73,   0.3936, 0.362233
  74,   0.3939, 0.369982
  75,   0.3939, 0.372126
  76,   0.3827, 0.370063
  77,   0.3827, 0.370632
  78,   0.3918, 0.372072
  79,   0.3848, 0.369485
  80,   0.3842,  0.37132
  81,   0.3842, 0.371556
  82,   0.3913, 0.372006
  83,   0.3887, 0.371865
  84,   0.3887, 0.375547
  85,   0.3933, 0.372038
  86,   0.3892, 0.372051
  87,   0.3892, 0.372822
  88,   0.3882, 0.369264
  89,   0.3882, 0.367593
  90,   0.3896,   0.3703
  91,   0.3919, 0.369909
  92,   0.3919, 0.371062
  93,   0.3922, 0.371297
  94,    0.392, 0.371826
  95,   0.3906, 0.375218
  96,   0.3889, 0.374337
  97,   0.3889, 0.373903
  98,   0.3889, 0.372384
  99,   0.3889, 0.373591
 100,   0.3907, 0.372227
 101,   0.3912, 0.372423
 102,   0.3912, 0.372983
 103,   0.3889,  0.37456
 104,   0.3882, 0.372477
 105,   0.3956, 0.372296
 106,   0.3893, 0.371212
 107,   0.4101, 0.376802
 108,   0.4101, 0.369875
 109,   0.4105, 0.379427
 110,   0.4105, 0.381117
 111,   0.4162, 0.384286
 112,   0.4205, 0.386693
 113,   0.4121, 0.385684
 114,   0.4117, 0.387817
 115,   0.4387, 0.389465
 116,   0.4387,  0.38721
 117,   0.4423, 0.406152
 118,   0.4423, 0.407041
 119,    0.435, 0.411841
 120,    0.435, 0.414255
 121,    0.435,  0.41436
 122,    0.435, 0.414335
 123,   0.4413, 0.412856
 124,   0.4413, 0.414653
 125,   0.4355, 0.413482
 126,   0.4355, 0.417053
 127,   0.4371, 0.413369
 128,   0.4371, 0.413355
 129,    0.439, 0.405024
 130,   0.4497, 0.411164
 131,   0.4372, 0.410246
 132,   0.4372, 0.409055
 133,   0.4579, 0.415891
 134,   0.4579, 0.419107
 135,   0.4597,  0.41473
 136,   0.4545, 0.420213
 137,   0.4545, 0.423015
 138,   0.4654, 0.419507
 139,   0.4654,  0.41936
 140,   0.4654, 0.425828
 141,    0.464, 0.431731
 142,    0.464, 0.430597
 143,   0.4595, 0.429076
 144,   0.4669, 0.430682
 145,   0.4669, 0.431457
 146,   0.4705, 0.432189
 147,   0.4693, 0.436463
 148,     0.47, 0.433963
 149,     0.47, 0.433922
 150,   0.4688, 0.429806
 151,   0.4704, 0.431325
 152,   0.4704, 0.425544
 153,   0.4663, 0.429666
 154,   0.4663, 0.433376
 155,   0.4663, 0.427775
 156,   0.4797, 0.431998
 157,   0.4797, 0.432109
 158,   0.4752, 0.432914
 159,   0.4752, 0.436893
 160,   0.4822, 0.441184
 161,   0.4822, 0.438311
 162,   0.4842, 0.442109
 163,   0.4842, 0.445516
 164,   0.4873,  0.44423
 165,   0.4873, 0.440868
 166,   0.4893, 0.447574
 167,   0.4893, 0.448108
 168,   0.4893,  0.44882
 169,   0.4934, 0.451083
 170,   0.4934, 0.451311
 171,   0.4929, 0.454837
 172,   0.4891, 0.455277
 173,   0.4934, 0.456575
 174,    0.492,  0.45547
 175,   0.4857, 0.455497
 176,      0.5, 0.453835
 177,      0.5, 0.452877
 178,   0.4952, 0.455824
 179,   0.4952, 0.455149
 180,   0.4937, 0.452627
 181,   0.4937, 0.455701
 182,   0.4937,  0.45803
 183,     0.49, 0.458999
 184,   0.5027, 0.460553
 185,   0.5089, 0.463448
 186,   0.5089, 0.458111
 187,   0.5121, 0.470501
 188,   0.5159,  0.47071
 189,   0.5159, 0.470423
 190,   0.5116, 0.473674
 191,   0.5148, 0.475679
 192,   0.5174, 0.472355
 193,   0.5174,  0.46653
 194,    0.513, 0.469167
 195,   0.5121, 0.471889
 196,   0.5121, 0.471434
 197,   0.5121, 0.472819
 198,   0.5121,   0.4752
 199,   0.5126, 0.474667
 200,   0.5185, 0.474939
 201,   0.5185, 0.477868
 202,    0.528, 0.479603
 203,   0.5155, 0.480847
 204,   0.5155,  0.48181
 205,   0.5155, 0.479085
 206,   0.5155, 0.481461
 207,   0.5176, 0.479139
 208,   0.5176, 0.477378
 209,    0.521, 0.478983
 210,    0.521, 0.479853
 211,   0.5295, 0.477525
 212,   0.5244, 0.480621
 213,   0.5188, 0.481061
 214,   0.5188, 0.476618
 215,   0.5178,   0.4793
 216,   0.5178, 0.478736
 217,   0.5178, 0.478202
 218,    0.516, 0.475785
 219,    0.516, 0.479305
 220,    0.516, 0.473328
 221,   0.5165, 0.475449
 222,   0.5166, 0.475833
 223,   0.5166, 0.473446
 224,   0.5201, 0.475007
 225,   0.5201, 0.474892
 226,   0.5142, 0.477042
 227,   0.5142, 0.480431
 228,   0.5142, 0.480228
 229,   0.5142, 0.477277
 230,   0.5142, 0.479403
 231,    0.522, 0.481508
 232,    0.522, 0.479419
 233,   0.5268, 0.483439
 234,   0.5268, 0.484003
 235,   0.5233, 0.484838
 236,   0.5397, 0.486362
 237,   0.5397, 0.484735
 238,   0.5397, 0.485258
 239,   0.5333, 0.486022
 240,   0.5333, 0.487391
 241,   0.5333, 0.490705
 242,   0.5315, 0.486724
 243,   0.5315, 0.489694
 244,   0.5334, 0.490617
 245,   0.5334, 0.489791
 246,   0.5283, 0.493093
 247,   0.5283,   0.4915
 248,   0.5283, 0.487276
 249,   0.5283, 0.486042
 250,   0.5283, 0.486538
 251,   0.5226, 0.484452
 252,   0.5226, 0.483663
 253,   0.5226, 0.481585
 254,   0.5226, 0.479591
 255,   0.5226, 0.481791
 256,   0.5226, 0.486563
 257,   0.5234, 0.480252
 258,   0.5257, 0.482497
 259,   0.5364, 0.479716
 260,   0.5364,  0.48195
 261,   0.5325, 0.486028
 262,     0.54, 0.490468
 263,     0.54, 0.489303
 264,   0.5384, 0.491444
 265,   0.5348, 0.493843
 266,   0.5348, 0.491996
 267,   0.5348, 0.492294
 268,   0.5343, 0.491569
 269,   0.5343, 0.491534
 270,   0.5383, 0.490222
 271,   0.5383, 0.491293
 272,   0.5413, 0.494091
 273,   0.5393,  0.49537
 274,   0.5393,  0.49813
 275,   0.5393, 0.497183
 276,   0.5392, 0.492518
 277,   0.5392, 0.494554
 278,   0.5392,  0.49589
 279,   0.5491, 0.492896
 280,   0.5491, 0.495288
 281,   0.5515, 0.498206
 282,   0.5515, 0.493956
 283,   0.5461, 0.495712
 284,   0.5446, 0.499919
 285,   0.5446, 0.502918
 286,   0.5446, 0.501355
 287,   0.5569, 0.501658
 288,   0.5569, 0.500118
 289,   0.5545, 0.507745
 290,   0.5545, 0.512077
 291,   0.5581, 0.514047
 292,   0.5581, 0.511497
 293,   0.5581,  0.50978
 294,    0.557, 0.510854
 295,    0.557, 0.514637
 296,    0.557, 0.508861
 297,    0.557,  0.50996
 298,    0.557, 0.514579
 299,    0.557, 0.510333
 300,    0.557, 0.512767
 301,    0.557, 0.510126
 302,    0.557, 0.511194
 303,    0.557, 0.509979
 304,    0.557, 0.512311
 305,    0.557, 0.516062
 306,    0.557, 0.516713
 307,    0.557, 0.514469
 308,    0.557,  0.51227
 309,    0.557, 0.512929
 310,   0.5553,  0.51431
 311,   0.5553, 0.513939
 312,   0.5553,  0.51223
 313,   0.5553,  0.51107
 314,   0.5616, 0.512506
 315,   0.5616, 0.513879
 316,   0.5722,  0.51129
 317,   0.5722, 0.516326
 318,   0.5722, 0.514815
 319,   0.5722,  0.51385
 320,   0.5722, 0.518751
 321,   0.5722, 0.520894
 322,    0.578, 0.519006
 323,    0.578, 0.524494
 324,    0.578, 0.528223
 325,    0.578,  0.52726
 326,   0.5809, 0.529182
 327,   0.5892, 0.530699
 328,   0.5892, 0.530474
 329,   0.5892, 0.531801
 330,   0.5892, 0.536732
 331,   0.5863, 0.533957
 332,   0.5863, 0.535979
 333,   0.5949, 0.537532
 334,   0.5937, 0.541764
 335,   0.6076, 0.551705
 336,   0.6076, 0.538897
 337,   0.6076, 0.548183
 338,   0.6071, 0.551155
 339,   0.6071, 0.553813
 340,   0.6071, 0.550423
 341,   0.6137,  0.55228
 342,   0.6137, 0.553594
 343,   0.6137, 0.555628
 344,   0.6137, 0.556511
 345,   0.6234, 0.560487
 346,   0.6234, 0.559163
 347,   0.6261, 0.563971
 348,   0.6261, 0.566614
 349,   0.6261, 0.563786
 350,   0.6261, 0.568067
 351,   0.6261, 0.568542
 352,   0.6261, 0.572695
 353,   0.6261, 0.571392
 354,   0.6292, 0.572805
 355,   0.6292, 0.572071
 356,   0.6292, 0.574628
 357,   0.6292, 0.574961
 358,   0.6292, 0.575428
 359,   0.6324, 0.575997
 360,   0.6324, 0.576681
 361,   0.6421, 0.577183
 362,   0.6421, 0.575522
 363,   0.6421, 0.581298
 364,    0.643, 0.579693
 365,    0.643, 0.585906
 366,    0.643, 0.586349
 367,    0.643, 0.584402
 368,   0.6405, 0.583698
 369,   0.6405,  0.58299
 370,   0.6471, 0.586843
 371,   0.6471, 0.586524
 372,   0.6471, 0.588014
 373,    0.648, 0.587304
 374,    0.648, 0.590672
 375,   0.6432, 0.585461
 376,   0.6432, 0.585511
 377,   0.6432, 0.584108
 378,   0.6432, 0.587809
 379,   0.6432, 0.587445
 380,   0.6432, 0.588891
 381,   0.6432, 0.586728
 382,   0.6432, 0.586785
 383,   0.6432, 0.582031
 384,   0.6501, 0.586294
 385,   0.6501, 0.588115
 386,   0.6515, 0.589916
 387,   0.6515, 0.591407
 388,   0.6515, 0.591732
