gen, tournament_scalar1_twopoint_best, tournament_scalar1_twopoint_ave
   1,   0.1505, 0.100111
   2,   0.1505, 0.112452
   3,   0.1607, 0.122795
   4,   0.2179,  0.13544
   5,   0.2067, 0.149235
   6,   0.3031, 0.158545
   7,   0.3031, 0.176196
   8,   0.3171, 0.205522
   9,   0.3074, 0.233106
  10,    0.309, 0.262461
  11,    0.311, 0.286058
  12,   0.3379, 0.290922
  13,   0.3637, 0.290504
  14,   0.3637,  0.29869
  15,   0.3712, 0.312624
  16,   0.3877, 0.324121
  17,   0.3835, 0.331275
  18,   0.3926, 0.346313
  19,   0.3967, 0.353024
  20,   0.3997,  0.35707
  21,   0.3997, 0.358721
  22,   0.4212, 0.367871
  23,     0.43, 0.370788
  24,     0.43, 0.369641
  25,   0.4271, 0.382719
  26,   0.4271, 0.386754
  27,   0.4417, 0.391595
  28,   0.4311, 0.394552
  29,   0.4311, 0.399538
  30,   0.4405, 0.402245
  31,   0.4405, 0.406188
  32,   0.4577, 0.408734
  33,   0.4776, 0.413713
  34,   0.4761,  0.42095
  35,   0.4761, 0.424851
  36,    0.476, 0.435499
  37,   0.4812, 0.435642
  38,   0.4761, 0.437236
  39,    0.482, 0.445772
  40,   0.4982, 0.447409
  41,   0.4804, 0.452946
  42,   0.4969,  0.45984
  43,    0.491, 0.457941
  44,    0.491, 0.456466
  45,    0.505, 0.455092
  46,   0.4932, 0.457038
  47,   0.4932, 0.462864
  48,   0.5002, 0.463852
  49,   0.5002, 0.464702
  50,   0.5002, 0.464368
  51,   0.4974, 0.467031
  52,   0.4974, 0.465915
  53,   0.5097, 0.469655
  54,   0.5126, 0.470801
  55,   0.5208, 0.477648
  56,   0.5151, 0.478646
  57,   0.5151, 0.483323
  58,   0.5115, 0.486021
  59,   0.5281, 0.487249
  60,     0.53,  0.49099
  61,     0.53, 0.491174
  62,   0.5507, 0.489798
  63,   0.5339, 0.494896
  64,   0.5546, 0.498123
  65,   0.5546, 0.499354
  66,   0.5539, 0.507316
  67,   0.5553, 0.511475
  68,   0.5553, 0.514726
  69,   0.5735, 0.520071
  70,   0.5593, 0.523413
  71,   0.5593, 0.528243
  72,   0.5743, 0.527566
  73,    0.584, 0.530626
  74,    0.584, 0.530054
  75,   0.5941, 0.536682
  76,   0.5885, 0.541901
  77,   0.5786,  0.54476
  78,   0.5786, 0.544831
  79,   0.5883, 0.546219
  80,   0.5806, 0.542848
  81,   0.5855,  0.54561
  82,   0.5679, 0.546545
  83,   0.5935, 0.548788
  84,   0.5976, 0.544602
  85,   0.5976, 0.547897
  86,   0.6015, 0.549216
  87,   0.5854, 0.551697
  88,   0.5854, 0.554988
  89,   0.5919, 0.553717
  90,   0.5921, 0.551251
  91,   0.5881, 0.550348
  92,   0.5881, 0.549848
  93,   0.5881, 0.548491
  94,   0.5875, 0.549298
  95,   0.5875, 0.549788
  96,   0.5959, 0.548258
  97,   0.5879, 0.550886
  98,   0.5978, 0.552191
  99,   0.5903,  0.54966
 100,   0.5864,  0.54995
 101,   0.5864, 0.549648
 102,   0.5932, 0.542665
 103,   0.5932, 0.544358
 104,   0.5853, 0.544953
 105,   0.5853, 0.545869
 106,   0.5807, 0.543665
 107,   0.5807, 0.547559
 108,   0.5807, 0.550118
 109,   0.5891, 0.550069
 110,   0.5891, 0.550587
 111,   0.5942, 0.548899
 112,   0.5855, 0.550341
 113,   0.6005, 0.552281
 114,   0.5824, 0.549236
 115,    0.586, 0.549646
 116,   0.5879, 0.549647
 117,   0.6024, 0.553393
 118,   0.5995, 0.554914
 119,   0.5995, 0.556285
 120,   0.5999, 0.547973
 121,   0.6014,  0.54539
 122,   0.6124, 0.551864
 123,   0.6053,  0.55259
 124,    0.606, 0.560194
 125,    0.606, 0.559909
 126,   0.6037, 0.561558
 127,   0.6037, 0.562151
 128,   0.6064, 0.564603
 129,   0.6178, 0.567954
 130,   0.6178, 0.564241
 131,   0.6232, 0.564389
 132,   0.6232, 0.564547
 133,   0.6232, 0.564335
 134,   0.6232, 0.566153
 135,   0.6264, 0.567235
 136,   0.6264, 0.572506
 137,   0.6298, 0.571241
 138,   0.6283, 0.576979
 139,   0.6283, 0.574471
 140,   0.6283, 0.573691
 141,   0.6346,  0.57592
 142,   0.6368, 0.577563
 143,   0.6368, 0.578513
 144,   0.6368, 0.577887
 145,   0.6368, 0.582924
 146,   0.6368, 0.578923
 147,   0.6368, 0.582956
 148,   0.6315, 0.579485
 149,   0.6315, 0.583489
 150,   0.6315,  0.57764
 151,   0.6315, 0.579093
 152,   0.6315, 0.578852
 153,   0.6315, 0.577306
 154,    0.635, 0.582405
 155,    0.635, 0.582642
 156,    0.635, 0.580304
 157,    0.632,  0.57801
 158,    0.632, 0.582012
 159,    0.636, 0.582759
 160,    0.636, 0.579905
 161,   0.6288, 0.581086
 162,   0.6288, 0.580317
 163,   0.6364, 0.569375
 164,   0.6364, 0.567733
 165,   0.6364, 0.573866
 166,   0.6364, 0.574987
 167,   0.6364, 0.575771
 168,   0.6364, 0.577903
 169,   0.6364, 0.578151
 170,   0.6365,  0.57637
 171,   0.6331, 0.578976
 172,   0.6331, 0.580086
 173,   0.6316,  0.57918
 174,   0.6504, 0.578395
 175,   0.6504,  0.58032
 176,   0.6475, 0.582102
 177,   0.6568, 0.588657
 178,   0.6568,  0.59919
 179,   0.6568, 0.591963
 180,   0.6692, 0.592891
 181,   0.6692, 0.594861
 182,   0.6692,  0.59847
 183,   0.6661,  0.60287
 184,   0.6661, 0.608424
 185,   0.6661, 0.604972
 186,   0.6661, 0.610017
 187,   0.6661, 0.613636
 188,   0.6824, 0.612109
 189,   0.6824, 0.611363
 190,   0.6824, 0.618589
 191,   0.6824, 0.618612
 192,   0.6824, 0.624089
 193,   0.6824, 0.622711
 194,   0.6824, 0.617284
 195,   0.6824, 0.618608
 196,   0.6716,  0.62048
 197,   0.6716, 0.621737
 198,    0.688, 0.618285
 199,    0.688, 0.623394
 200,    0.688, 0.619414
 201,   0.6913, 0.619169
 202,   0.6913, 0.624304
 203,   0.6913, 0.627497
 204,   0.6913,  0.62857
 205,   0.6913, 0.627963
 206,   0.6913, 0.627616
 207,   0.6913, 0.628079
 208,   0.6855, 0.631812
 209,   0.6855, 0.626824
 210,   0.6855, 0.626078
 211,   0.6855, 0.626544
 212,   0.6855, 0.624235
 213,   0.6855, 0.626555
 214,   0.6847, 0.624343
 215,   0.6786, 0.623544
 216,   0.6809, 0.625117
 217,    0.681, 0.622246
 218,    0.681, 0.622785
 219,    0.681, 0.623138
 220,   0.6816, 0.625571
 221,   0.6816, 0.623457
 222,   0.6816, 0.617836
 223,   0.6816, 0.624979
 224,   0.6836, 0.626065
 225,   0.6931, 0.624111
 226,   0.6931, 0.617961
 227,   0.6931,  0.62247
 228,   0.6931, 0.624102
 229,   0.6951,  0.62318
 230,   0.6951,  0.62294
 231,   0.6951,  0.62858
 232,   0.6951, 0.624494
