accuracy,sparse
   0.798, 0.707947
  0.8014, 0.705298
  0.7965, 0.706623
  0.8003, 0.705298
  0.7982,  0.70596
   0.808, 0.702649
  0.8019, 0.704636
  0.7978,  0.70596
  0.8052, 0.703311
  0.8031, 0.703974
   0.801, 0.704636
  0.8029, 0.703974
  0.8009, 0.704636
  0.7969,  0.70596
  0.8028, 0.703974
  0.8067, 0.702649
  0.8026, 0.703974
  0.8003, 0.704636
  0.7983, 0.705298
  0.7943, 0.706623
  0.7907, 0.703974
  0.7977, 0.701325
  0.7934, 0.701325
  0.7868, 0.703311
  0.7894, 0.701987
  0.7926, 0.700662
  0.7886, 0.701987
  0.7884, 0.701987
  0.7835, 0.702649
  0.7927, 0.699338
  0.7822, 0.701987
  0.7759, 0.703974
  0.7701, 0.705298
  0.7857,      0.7
  0.7697, 0.705298
  0.7705, 0.704636
  0.7823, 0.700662
  0.7735, 0.703311
  0.7796, 0.700662
  0.7743, 0.701987
  0.7801,      0.7
  0.7792,      0.7
  0.7704, 0.702649
  0.7601,  0.70596
  0.7639, 0.704636
  0.7874, 0.696689
  0.7891, 0.696027
  0.7623, 0.704636
  0.7777, 0.699338
   0.761, 0.704636
  0.7766, 0.699338
  0.7606, 0.704636
  0.7777, 0.698676
  0.7795, 0.698013
  0.7793, 0.698013
  0.7832, 0.696689
  0.7811, 0.697351
  0.7711, 0.700662
  0.7586, 0.704636
  0.7575, 0.704636
  0.7765, 0.698013
  0.7621, 0.702649
  0.7576, 0.703974
  0.7699, 0.699338
  0.7693, 0.699338
  0.7766, 0.696689
  0.7626, 0.701325
  0.7723, 0.698013
  0.7669, 0.699338
   0.745, 0.706623
  0.7519, 0.703974
  0.7633,      0.7
  0.7612, 0.700662
  0.7751, 0.696027
  0.7622,      0.7
  0.7578, 0.701325
  0.7614,      0.7
  0.7588, 0.700662
  0.7502, 0.703311
  0.7579, 0.700662
  0.7397, 0.706623
  0.7555, 0.701325
  0.7594,      0.7
  0.7454, 0.704636
  0.7557, 0.700662
  0.7616, 0.698676
  0.7692, 0.696027
  0.7411, 0.705298
  0.7602, 0.698676
    0.74, 0.705298
  0.7603, 0.698013
  0.7742, 0.693377
  0.7602, 0.698013
  0.7598, 0.698013
  0.7339, 0.706623
  0.7556, 0.699338
  0.7529,      0.7
  0.7506, 0.700662
  0.7501, 0.700662
    0.76, 0.697351
  0.7517,      0.7
  0.7434, 0.702649
  0.7427, 0.702649
  0.7563, 0.698013
  0.7451, 0.701325
  0.7629, 0.695364
  0.7448, 0.701325
  0.7423, 0.701987
  0.7501, 0.699338
  0.7481,      0.7
  0.7471,      0.7
  0.7369, 0.703311
  0.7329, 0.704636
  0.7487, 0.699338
  0.7425, 0.701325
  0.7444, 0.700662
  0.7462,      0.7
  0.7442, 0.700662
  0.7456,      0.7
  0.7454,      0.7
  0.7433, 0.700662
   0.741, 0.701325
  0.7439,      0.7
  0.7557, 0.696027
  0.7516, 0.697351
  0.7429,      0.7
  0.7407, 0.700662
  0.7426,      0.7
  0.7484, 0.698013
  0.7444, 0.699338
    0.74, 0.700662
  0.7538, 0.696027
  0.7315, 0.703311
  0.7235,  0.70596
  0.7629, 0.692715
   0.745, 0.698676
   0.727, 0.704636
  0.7342, 0.701987
  0.7497, 0.696689
  0.7277, 0.703974
  0.7356, 0.701325
  0.7355, 0.701325
  0.7333, 0.701987
  0.7251, 0.704636
  0.7442, 0.698013
   0.728, 0.703311
  0.7458, 0.697351
  0.7396, 0.699338
  0.7389, 0.699338
  0.7428, 0.698013
  0.7308, 0.701987
  0.7308, 0.701987
  0.7466, 0.696689
  0.7287, 0.702649
  0.7405, 0.698676
  0.7424, 0.698013
  0.7423, 0.698013
  0.7263, 0.703311
  0.7359,      0.7
  0.7398, 0.698676
  0.7378, 0.699338
  0.7344,      0.7
  0.7224, 0.703974
  0.7363, 0.699338
  0.7323, 0.700662
  0.7256, 0.702649
  0.7176, 0.705298
   0.727, 0.701987
  0.7189, 0.704636
  0.7159, 0.705298
  0.7337, 0.699338
  0.7168, 0.704636
   0.725, 0.701325
  0.7428, 0.695364
  0.7428, 0.695364
  0.7126, 0.705298
  0.7224, 0.701987
  0.7181, 0.703311
  0.7278,      0.7
  0.7217, 0.701987
  0.7333, 0.698013
  0.7292, 0.699338
  0.7388, 0.696027
  0.7209, 0.701987
  0.7167, 0.703311
  0.7165, 0.703311
  0.7377, 0.696027
  0.7355, 0.696689
  0.7176, 0.702649
  0.7291, 0.698676
  0.7325, 0.697351
  0.7161, 0.702649
  0.7156, 0.702649
  0.7397,  0.69404
  0.7536, 0.689404
  0.7353, 0.695364
  0.7293, 0.697351
  0.7368, 0.694702
  0.7226, 0.699338
  0.7345, 0.695364
  0.7276, 0.697351
   0.737,  0.69404
  0.7266, 0.697351
  0.7226, 0.698676
  0.7164, 0.700662
  0.6916, 0.708609
   0.707, 0.703311
  0.7171, 0.699338
  0.7486, 0.688742
  0.7221, 0.697351
   0.708, 0.701987
  0.6971, 0.705298
  0.7168, 0.698676
  0.7008, 0.703974
  0.7186, 0.698013
  0.7062, 0.701987
  0.7099, 0.700662
  0.7136, 0.699338
  0.7112,      0.7
  0.7168, 0.698013
  0.7227, 0.696027
  0.7284,  0.69404
  0.7078, 0.700662
  0.7046, 0.701325
  0.7263,  0.69404
  0.7257,  0.69404
  0.7072,      0.7
  0.7297, 0.692053
  0.6936, 0.703974
  0.7145, 0.696689
  0.7104, 0.698013
    0.72, 0.694702
  0.7157, 0.696027
   0.699, 0.701325
  0.6909, 0.703974
  0.6926, 0.703311
  0.7104, 0.697351
  0.6997, 0.700662
  0.7096, 0.697351
  0.7075, 0.698013
  0.6896, 0.703974
  0.7132, 0.696027
   0.719,  0.69404
   0.703, 0.699338
  0.6945, 0.701987
  0.7017, 0.699338
  0.6992,      0.7
  0.7091, 0.696689
  0.6863, 0.703974
  0.7053, 0.697351
  0.7149,  0.69404
  0.7129, 0.694702
  0.6969,      0.7
  0.7034, 0.697351
  0.7069, 0.696027
  0.7068, 0.696027
  0.6888, 0.701987
  0.7256, 0.689404
  0.6892, 0.700662
  0.6929, 0.699338
  0.6843, 0.701987
     0.7, 0.696689
   0.694, 0.698676
  0.7095, 0.693377
   0.712, 0.692053
   0.676, 0.703974
  0.7159, 0.690066
  0.6851,      0.7
  0.6901, 0.698013
  0.7039, 0.693377
  0.6758, 0.702649
  0.6837,      0.7
  0.6993, 0.694702
  0.6949, 0.696027
  0.6726, 0.703311
  0.6919, 0.696689
  0.6931, 0.696027
  0.6811,      0.7
  0.6826, 0.699338
  0.6743, 0.701987
  0.6979,  0.69404
  0.7098, 0.690066
  0.6715, 0.702649
  0.6629, 0.705298
  0.6827, 0.698676
  0.6686, 0.703311
  0.6818, 0.698676
  0.6798, 0.699338
  0.6638, 0.704636
  0.6988, 0.692715
  0.6787, 0.699338
  0.6731, 0.700662
   0.667, 0.702649
  0.6668, 0.702649
  0.6866, 0.696027
  0.6707, 0.701325
  0.6745,      0.7
  0.6838, 0.696689
  0.6712, 0.700662
  0.6949, 0.692715
  0.6759, 0.698676
  0.6616, 0.703311
  0.6692, 0.700662
  0.6703,      0.7
   0.678, 0.697351
  0.6937, 0.692053
  0.6748, 0.698013
  0.6867,  0.69404
  0.6879, 0.693377
  0.6933, 0.691391
  0.6651, 0.700662
  0.6679, 0.699338
  0.6498, 0.705298
  0.6749, 0.696689
  0.6842, 0.693377
  0.6782, 0.695364
  0.6739, 0.696689
  0.6957, 0.689404
  0.6758, 0.696027
  0.6508, 0.703311
  0.6569, 0.700662
  0.6526, 0.701987
  0.6699, 0.696027
  0.6599, 0.699338
  0.6737, 0.694702
  0.6717, 0.695364
   0.671, 0.695364
  0.6606, 0.698676
  0.6454, 0.703311
  0.6808, 0.691391
  0.6588, 0.698676
  0.6579, 0.698676
  0.6558, 0.699338
  0.6531,      0.7
  0.6787, 0.691391
  0.6543, 0.699338
  0.6603, 0.696689
  0.6759, 0.691391
  0.6507, 0.698676
  0.6558, 0.696027
  0.6556, 0.696027
  0.6435, 0.698676
  0.6235, 0.705298
  0.6484, 0.696689
  0.6305, 0.702649
  0.6634, 0.691391
  0.6393, 0.699338
  0.6382, 0.699338
    0.65, 0.695364
  0.6533,  0.69404
  0.6256, 0.701987
  0.6673, 0.688079
  0.6125,  0.70596
  0.6262, 0.700662
  0.6215, 0.701987
  0.6298, 0.698676
  0.6387, 0.695364
  0.6187, 0.701987
  0.6492, 0.691391
  0.6237, 0.699338
  0.6342, 0.695364
  0.6372,  0.69404
  0.6073, 0.703974
  0.6151, 0.701325
  0.6174, 0.699338
  0.6424, 0.690728
  0.6014, 0.701987
  0.6487, 0.686093
  0.6209, 0.694702
  0.6091, 0.695364
  0.5794, 0.704636
  0.5945, 0.698676
  0.6102, 0.692715
   0.596, 0.697351
  0.5956, 0.697351
  0.6069, 0.691391
  0.5746, 0.701325
  0.5757,      0.7
  0.6128, 0.687417
  0.5801, 0.698013
  0.5918, 0.693377
  0.5753, 0.698676
  0.5712, 0.698676
  0.5699, 0.698676
  0.5496, 0.703974
  0.5617, 0.697351
  0.5569, 0.698013
  0.5446, 0.699338
  0.5524, 0.695364
  0.5279, 0.703311
  0.5347, 0.700662
  0.5462, 0.695364
  0.5034, 0.704636
  0.5093, 0.701987
  0.5165, 0.698013
  0.5089, 0.693377
  0.4889, 0.699338
  0.4805, 0.698676
  0.4754, 0.694702
  0.4558, 0.694702
