accuracy,sparse
   0.787, 0.438411
  0.7862, 0.440397
  0.7873, 0.437086
  0.7858,  0.44106
  0.7862, 0.439735
  0.7857,  0.44106
  0.7869, 0.437086
  0.7872, 0.435762
  0.7872, 0.435762
  0.7885, 0.431788
  0.7867, 0.437086
  0.7867, 0.437086
  0.7878, 0.433775
  0.7869, 0.436424
   0.787, 0.435762
  0.7861, 0.438411
  0.7854, 0.440397
  0.7865, 0.437086
  0.7867, 0.436424
  0.7873, 0.434437
  0.7791, 0.441722
  0.7785,  0.44106
  0.7771, 0.437748
  0.7767, 0.437086
  0.7761, 0.437748
  0.7755, 0.434437
   0.773, 0.439735
  0.7743, 0.435762
  0.7734, 0.437086
  0.7717, 0.441722
   0.772, 0.439735
  0.7728, 0.436424
  0.7708, 0.438411
  0.7692, 0.441722
  0.7696, 0.439735
  0.7686, 0.439073
   0.769, 0.435762
  0.7689, 0.435099
  0.7685, 0.435762
  0.7668, 0.439073
  0.7676, 0.435762
  0.7667, 0.437086
  0.7672, 0.435099
  0.7651, 0.439735
  0.7659, 0.437086
  0.7653, 0.437086
   0.765, 0.437748
  0.7639, 0.439073
  0.7641, 0.437748
  0.7613, 0.445695
  0.7638, 0.436424
  0.7625, 0.437086
  0.7616, 0.437086
  0.7601,  0.44106
  0.7587, 0.444371
   0.761, 0.437086
  0.7614, 0.435762
  0.7606, 0.437748
    0.76, 0.435099
  0.7577, 0.441722
  0.7579,  0.44106
    0.76, 0.434437
   0.759, 0.435762
   0.759, 0.435762
  0.7582, 0.437748
  0.7576, 0.439073
  0.7574, 0.438411
  0.7574, 0.437086
  0.7578, 0.435762
  0.7572, 0.435762
  0.7542, 0.443709
  0.7567, 0.435762
  0.7547, 0.439735
  0.7553, 0.437748
  0.7545, 0.435762
  0.7519, 0.442384
  0.7517,  0.44106
  0.7523, 0.439073
  0.7528, 0.436424
  0.7505, 0.443046
  0.7515, 0.439735
  0.7515, 0.436424
   0.751, 0.437748
  0.7518, 0.434437
    0.75, 0.439073
  0.7512, 0.435099
  0.7501, 0.436424
  0.7502, 0.434437
  0.7487, 0.438411
  0.7491, 0.437086
  0.7471,  0.44106
  0.7477, 0.438411
  0.7474, 0.438411
  0.7473, 0.438411
  0.7487, 0.433113
   0.747, 0.435762
  0.7462, 0.437748
  0.7466, 0.435762
   0.745, 0.439735
  0.7459, 0.436424
  0.7454, 0.437086
  0.7464, 0.433775
  0.7452, 0.437086
  0.7442, 0.439735
  0.7449, 0.437086
  0.7457, 0.434437
  0.7434, 0.439073
  0.7431, 0.438411
   0.743, 0.438411
  0.7431, 0.437748
  0.7438, 0.435099
  0.7432, 0.435762
  0.7425, 0.436424
  0.7426, 0.435762
  0.7418, 0.437748
  0.7394, 0.442384
  0.7402, 0.438411
  0.7388, 0.437748
   0.738, 0.437086
  0.7353, 0.440397
  0.7375, 0.433775
  0.7358, 0.437748
  0.7372,  0.43245
  0.7383, 0.429139
  0.7354, 0.437748
  0.7353, 0.437748
  0.7358, 0.435762
  0.7355, 0.433775
   0.734, 0.437748
  0.7345, 0.435099
  0.7323,  0.44106
  0.7323, 0.437086
  0.7325, 0.435762
  0.7318, 0.437748
  0.7325, 0.435099
  0.7311, 0.439073
  0.7314, 0.433775
  0.7327, 0.429801
  0.7296, 0.437748
  0.7303, 0.435099
  0.7306, 0.433775
  0.7277, 0.441722
  0.7299, 0.435099
  0.7309, 0.431788
  0.7276, 0.439735
  0.7294, 0.433775
  0.7276, 0.439073
  0.7288, 0.435099
  0.7289, 0.433775
  0.7275, 0.436424
  0.7269, 0.437748
  0.7262, 0.439735
  0.7268, 0.437748
  0.7257, 0.440397
  0.7276, 0.434437
  0.7258, 0.439073
  0.7251,  0.44106
  0.7266, 0.436424
  0.7279, 0.431788
  0.7266, 0.435099
  0.7268, 0.434437
  0.7243, 0.440397
  0.7247, 0.439073
  0.7252, 0.436424
  0.7252, 0.436424
  0.7239, 0.438411
  0.7252, 0.433113
  0.7245, 0.434437
   0.723, 0.438411
  0.7222, 0.439735
  0.7212, 0.442384
  0.7238, 0.433775
  0.7233, 0.434437
  0.7205,  0.44106
  0.7218, 0.436424
  0.7211, 0.435099
  0.7204, 0.436424
    0.72, 0.437086
  0.7197, 0.434437
   0.719, 0.436424
   0.717, 0.442384
   0.718, 0.439073
  0.7185, 0.434437
  0.7167, 0.439073
   0.717, 0.437748
  0.7162, 0.438411
  0.7148, 0.442384
  0.7148, 0.439735
  0.7151, 0.438411
  0.7164, 0.433113
  0.7147, 0.437086
  0.7146, 0.436424
  0.7137, 0.439073
  0.7135, 0.439073
  0.7123, 0.442384
  0.7118, 0.442384
  0.7128, 0.439073
  0.7117,  0.44106
   0.713, 0.437086
  0.7104, 0.443046
  0.7121, 0.437748
   0.714, 0.431788
  0.7122, 0.437086
  0.7124, 0.435762
  0.7111, 0.439073
   0.711, 0.439073
  0.7121, 0.435762
  0.7112, 0.438411
  0.7103, 0.439073
  0.7095, 0.438411
  0.7102, 0.435762
  0.7092, 0.438411
  0.7098, 0.435762
  0.7089, 0.438411
  0.7087, 0.438411
  0.7093, 0.436424
  0.7097, 0.434437
  0.7102,  0.43245
  0.7079, 0.436424
  0.7077, 0.436424
  0.7086, 0.433113
  0.7069, 0.437748
  0.7077, 0.431788
  0.7042, 0.441722
   0.706, 0.435762
  0.7053, 0.437086
   0.705, 0.437086
  0.7066, 0.431788
  0.7032, 0.440397
