gen, tournament_scalar3_uniform_best, tournament_scalar3_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2461, 0.101575
   3,   0.2461, 0.109558
   4,   0.2466,  0.12819
   5,   0.2774, 0.156545
   6,   0.3054, 0.146764
   7,   0.3054, 0.166509
   8,   0.3147,  0.17904
   9,   0.3446, 0.213991
  10,    0.375, 0.239884
  11,    0.375, 0.252627
  12,   0.4106, 0.273154
  13,   0.4106, 0.295306
  14,   0.4271, 0.325445
  15,   0.4271, 0.342506
  16,   0.4351, 0.361627
  17,    0.454, 0.376761
  18,   0.4599, 0.384651
  19,   0.4622, 0.390568
  20,   0.4751, 0.402343
  21,   0.4852, 0.404412
  22,   0.4819, 0.416889
  23,   0.5005, 0.431926
  24,   0.5005, 0.437962
  25,   0.5032, 0.444588
  26,     0.52, 0.451486
  27,     0.52, 0.462688
  28,   0.5316, 0.472328
  29,   0.5316, 0.476412
  30,    0.538, 0.489608
  31,   0.5422, 0.496708
  32,   0.5536, 0.500001
  33,   0.5596, 0.501666
  34,   0.5751, 0.514236
  35,   0.5751,  0.51821
  36,   0.5822, 0.518968
  37,   0.5928, 0.524567
  38,   0.5928, 0.532116
  39,   0.5982, 0.539964
  40,   0.6025, 0.544955
  41,   0.6088, 0.555929
  42,   0.6078, 0.552425
  43,   0.6078, 0.557601
  44,   0.6214,  0.56895
  45,   0.6214, 0.568501
  46,   0.6218, 0.569871
  47,   0.6244, 0.575631
  48,   0.6244, 0.575407
  49,   0.6244, 0.574924
  50,    0.626, 0.579663
  51,   0.6301, 0.579497
  52,   0.6311, 0.579414
  53,   0.6362, 0.586043
  54,   0.6362, 0.578815
  55,   0.6355, 0.584834
  56,   0.6355, 0.590677
  57,   0.6355, 0.587736
  58,   0.6355, 0.586613
  59,   0.6413, 0.592205
  60,   0.6413, 0.595377
  61,   0.6421, 0.588976
  62,   0.6421, 0.593338
  63,   0.6444, 0.593287
  64,   0.6486, 0.594894
  65,   0.6497, 0.596401
  66,   0.6497, 0.599571
  67,   0.6542, 0.600856
  68,   0.6542, 0.603274
  69,   0.6547, 0.608401
  70,   0.6588, 0.610093
  71,   0.6588, 0.614338
  72,   0.6584, 0.613121
  73,   0.6584, 0.615155
  74,   0.6598, 0.614505
  75,   0.6626, 0.616365
  76,   0.6626, 0.618668
  77,   0.6662, 0.613514
  78,   0.6662, 0.613787
  79,   0.6665, 0.616263
  80,   0.6665, 0.616561
  81,   0.6729, 0.617932
  82,   0.6729, 0.622805
  83,   0.6746, 0.621714
  84,    0.679, 0.619499
  85,    0.679,  0.62114
  86,    0.679, 0.625887
  87,   0.6802, 0.628829
  88,   0.6809, 0.629804
  89,   0.6835, 0.624638
  90,   0.6835, 0.631442
  91,   0.6839, 0.627898
  92,   0.6839, 0.633211
  93,   0.6839, 0.598412
  94,   0.6839, 0.608075
  95,   0.6839, 0.619502
  96,   0.6848, 0.624461
  97,   0.6883, 0.629624
  98,   0.6883, 0.631014
  99,   0.6883, 0.628541
 100,   0.6913, 0.640384
 101,   0.6913, 0.633274
 102,   0.6913, 0.644327
 103,   0.6913, 0.642151
 104,   0.6968, 0.642957
 105,   0.6968, 0.645073
 106,   0.6991, 0.643558
 107,   0.6991, 0.647925
 108,   0.7015, 0.647722
 109,   0.7021, 0.647076
 110,   0.7069, 0.650112
 111,   0.7069, 0.650268
 112,   0.7069, 0.651703
 113,   0.7081, 0.655302
 114,   0.7081,  0.65536
 115,   0.7084, 0.657434
 116,   0.7084,  0.65893
 117,   0.7098, 0.658298
 118,   0.7098, 0.659085
 119,    0.711, 0.653637
 120,    0.711, 0.657811
 121,   0.7119, 0.658756
 122,   0.7119,  0.66068
 123,   0.7171, 0.665516
 124,   0.7171, 0.662257
 125,   0.7171, 0.663073
 126,   0.7171, 0.663711
 127,   0.7171,  0.66464
 128,   0.7194, 0.662941
 129,   0.7194, 0.663315
 130,   0.7236, 0.661964
 131,   0.7236, 0.664247
 132,   0.7236, 0.672218
 133,   0.7251, 0.667638
 134,   0.7251, 0.671272
 135,   0.7251, 0.677087
 136,   0.7251, 0.675985
 137,   0.7263, 0.674125
 138,   0.7271, 0.672291
 139,   0.7271, 0.677127
 140,    0.727, 0.673524
 141,    0.727, 0.675129
 142,    0.727, 0.672065
 143,   0.7273, 0.673712
 144,   0.7273, 0.676242
 145,   0.7287, 0.678564
 146,   0.7287, 0.673223
 147,   0.7287,  0.67828
 148,   0.7289, 0.674109
