accuracy,sparse
  0.8549, 0.493377
  0.8562, 0.488742
  0.8557, 0.490066
  0.8564, 0.487417
  0.8565, 0.486755
  0.8547, 0.492053
  0.8555, 0.489404
  0.8557, 0.488742
  0.8563, 0.486755
  0.8556, 0.488742
  0.8562, 0.486755
  0.8562, 0.486755
  0.8564, 0.486093
  0.8548, 0.490728
  0.8554, 0.488742
  0.8549, 0.490066
  0.8566, 0.484768
  0.8557, 0.487417
  0.8552, 0.488742
  0.8543, 0.491391
  0.8545, 0.490728
  0.8508, 0.492715
  0.8502, 0.492053
  0.8505, 0.488742
  0.8485, 0.491391
  0.8471, 0.490728
  0.8467, 0.491391
  0.8462, 0.489404
  0.8444, 0.492053
  0.8427,  0.49404
  0.8433, 0.490066
  0.8441, 0.486093
  0.8436, 0.486755
  0.8429, 0.488742
  0.8426, 0.484768
  0.8396, 0.490728
   0.839, 0.492053
  0.8391, 0.490728
  0.8392, 0.488742
  0.8396, 0.487417
    0.84, 0.484768
  0.8386, 0.488742
  0.8379, 0.490728
  0.8369, 0.492715
   0.837, 0.491391
  0.8361, 0.493377
  0.8371, 0.488742
  0.8358, 0.490728
  0.8373,  0.48543
  0.8374, 0.484768
  0.8361, 0.488079
  0.8343, 0.490728
  0.8347, 0.486755
  0.8337, 0.489404
   0.834, 0.488079
  0.8342, 0.486755
  0.8326, 0.491391
  0.8326, 0.490728
  0.8329, 0.488742
  0.8324, 0.490066
  0.8316, 0.491391
  0.8318, 0.490066
  0.8314, 0.490728
  0.8306, 0.491391
   0.831, 0.489404
  0.8313, 0.486093
  0.8298, 0.490066
  0.8296, 0.489404
  0.8301, 0.486755
  0.8285, 0.490728
  0.8267, 0.496026
  0.8287, 0.488079
  0.8283, 0.488742
  0.8294, 0.484768
  0.8262, 0.492053
  0.8285, 0.484768
  0.8274, 0.487417
  0.8267, 0.488742
  0.8269, 0.487417
  0.8265, 0.488079
  0.8251, 0.492053
  0.8259, 0.488742
  0.8259, 0.488742
  0.8255, 0.488742
  0.8258, 0.487417
  0.8249, 0.490066
   0.824, 0.492053
  0.8244, 0.490066
  0.8259,  0.48543
  0.8235, 0.492053
  0.8227,  0.49404
  0.8243, 0.488742
   0.823, 0.491391
  0.8233, 0.489404
  0.8237, 0.488079
  0.8238, 0.487417
   0.823, 0.488079
  0.8215, 0.491391
  0.8212, 0.492053
  0.8216, 0.489404
  0.8218, 0.488079
  0.8224, 0.482781
  0.8204, 0.488742
  0.8207, 0.487417
    0.82, 0.489404
  0.8191, 0.489404
  0.8166, 0.495364
  0.8167, 0.491391
  0.8168, 0.488742
  0.8172,  0.48543
  0.8158, 0.489404
  0.8147, 0.490066
  0.8133, 0.492715
  0.8145, 0.488079
   0.813, 0.491391
   0.814, 0.487417
  0.8127, 0.490066
  0.8121, 0.491391
  0.8115, 0.492715
   0.812, 0.489404
  0.8123, 0.488079
  0.8116, 0.490066
  0.8124, 0.487417
  0.8116, 0.489404
  0.8121, 0.487417
   0.812, 0.487417
  0.8102, 0.492053
  0.8117, 0.487417
   0.811, 0.489404
  0.8104, 0.490728
  0.8104, 0.490066
  0.8095, 0.492715
   0.812, 0.484768
  0.8102, 0.490066
  0.8081, 0.496026
  0.8084,  0.49404
  0.8096, 0.488742
  0.8089, 0.489404
  0.8073,  0.49404
  0.8085, 0.489404
    0.81, 0.483444
  0.8072, 0.491391
  0.8074, 0.490066
  0.8075, 0.489404
  0.8072, 0.490066
  0.8061, 0.490066
  0.8068, 0.486755
  0.8043, 0.493377
  0.8066, 0.486093
  0.8047, 0.490066
  0.8039, 0.491391
  0.8057,  0.48543
  0.8034, 0.488742
  0.8036, 0.486093
  0.8027, 0.488742
  0.8029, 0.488079
  0.8019, 0.490728
  0.8018, 0.490728
  0.8031, 0.486755
   0.801, 0.492715
  0.8023, 0.488079
  0.8008, 0.492053
  0.8021, 0.488079
  0.8009, 0.491391
  0.8018, 0.488079
  0.8013, 0.488079
  0.8004, 0.490728
  0.8013, 0.486755
  0.7987, 0.491391
  0.7984, 0.491391
  0.7991, 0.488742
  0.7993, 0.488079
  0.7979, 0.492053
  0.7978, 0.491391
  0.7992, 0.486093
   0.798, 0.489404
  0.7991, 0.486093
  0.7971, 0.491391
  0.7968, 0.490066
  0.7962, 0.489404
  0.7946,  0.49404
   0.797, 0.486755
  0.7963, 0.488742
   0.796, 0.489404
  0.7952, 0.490728
  0.7943, 0.493377
  0.7937,  0.49404
  0.7945, 0.490066
  0.7951, 0.488079
  0.7947, 0.488742
  0.7946, 0.488742
  0.7922, 0.494702
  0.7937, 0.490066
  0.7941, 0.488742
  0.7941, 0.488079
  0.7933, 0.490066
  0.7926, 0.491391
  0.7927,  0.48543
  0.7912, 0.489404
  0.7902, 0.492053
  0.7917, 0.484768
  0.7903, 0.488742
  0.7892, 0.490728
  0.7882, 0.491391
  0.7887, 0.489404
  0.7899,  0.48543
  0.7875, 0.491391
  0.7875, 0.490728
  0.7864, 0.492715
  0.7857, 0.492715
  0.7863, 0.490066
  0.7858, 0.490066
  0.7886, 0.481457
   0.785, 0.491391
  0.7855, 0.488742
  0.7849, 0.490066
   0.785, 0.489404
  0.7846, 0.490066
  0.7838, 0.492053
  0.7838, 0.492053
  0.7841, 0.488742
  0.7819,  0.49404
  0.7825, 0.490728
   0.783, 0.488742
  0.7824, 0.490066
  0.7818, 0.491391
  0.7831, 0.487417
  0.7823, 0.489404
  0.7825, 0.487417
  0.7815, 0.488742
  0.7806, 0.490728
  0.7822,  0.48543
  0.7805, 0.490066
  0.7813, 0.487417
  0.7813,  0.48543
  0.7811, 0.484768
   0.778, 0.490066
  0.7779, 0.490066
  0.7772, 0.492053
  0.7777, 0.490066
  0.7771, 0.490728
  0.7777, 0.488742
  0.7756,  0.49404
  0.7775, 0.488079
  0.7758, 0.490728
  0.7764, 0.488742
  0.7739,  0.49404
   0.775, 0.490728
  0.7758, 0.488079
  0.7747, 0.490066
   0.774, 0.492053
  0.7746, 0.490066
  0.7737, 0.492715
   0.775, 0.488079
  0.7728, 0.492715
  0.7746, 0.486755
   0.774, 0.488079
   0.774, 0.487417
  0.7732, 0.489404
  0.7727, 0.490728
  0.7697, 0.497351
  0.7715, 0.488742
  0.7687, 0.491391
  0.7683, 0.490728
  0.7691, 0.487417
  0.7688, 0.488079
   0.768, 0.489404
  0.7665, 0.492715
   0.768, 0.488079
  0.7691, 0.482781
  0.7663, 0.490728
  0.7674, 0.487417
  0.7674, 0.487417
  0.7655, 0.492715
  0.7674, 0.486093
  0.7658, 0.490728
  0.7645, 0.492715
  0.7646, 0.490728
  0.7641, 0.492053
  0.7664, 0.484768
   0.765, 0.488742
  0.7618, 0.490066
   0.763, 0.486093
  0.7603, 0.492053
  0.7614, 0.487417
  0.7591, 0.492053
  0.7593, 0.490066
  0.7596, 0.488742
   0.761, 0.484106
  0.7588, 0.490066
  0.7576, 0.492715
  0.7561, 0.492053
  0.7573, 0.486755
  0.7565, 0.487417
  0.7554, 0.490066
  0.7547, 0.492053
  0.7543, 0.489404
  0.7555,  0.48543
  0.7532, 0.490728
  0.7537, 0.488742
  0.7541, 0.486755
  0.7527, 0.490728
   0.751, 0.492053
  0.7516, 0.488742
  0.7509, 0.490066
  0.7508, 0.490066
  0.7487, 0.493377
  0.7499, 0.488079
  0.7487, 0.490728
  0.7485, 0.490728
  0.7493, 0.487417
  0.7507, 0.482781
  0.7461, 0.495364
  0.7493, 0.484768
  0.7475, 0.487417
  0.7457, 0.491391
  0.7467, 0.487417
  0.7446, 0.493377
  0.7453, 0.488742
  0.7454, 0.488079
   0.744, 0.491391
   0.744, 0.491391
  0.7432, 0.491391
  0.7448, 0.486093
  0.7432, 0.488742
   0.741, 0.490066
  0.7393, 0.493377
  0.7394, 0.487417
  0.7373, 0.490728
  0.7368, 0.489404
   0.737, 0.488742
  0.7367, 0.488079
  0.7353, 0.490066
  0.7337, 0.490728
  0.7328, 0.491391
    0.73, 0.489404
  0.7292, 0.490066
  0.7278, 0.490728
  0.7282, 0.488079
  0.7267, 0.488079
  0.7257, 0.490066
   0.725, 0.490728
  0.7255, 0.483444
  0.7217, 0.492715
   0.721, 0.493377
  0.7228, 0.487417
  0.7218, 0.489404
  0.7219, 0.488742
  0.7205, 0.488742
  0.7202, 0.488742
  0.7204, 0.487417
  0.7195, 0.488742
   0.718, 0.492053
  0.7176, 0.490066
  0.7172, 0.490066
  0.7169, 0.489404
   0.715, 0.490066
  0.7146, 0.490728
  0.7141, 0.491391
  0.7124, 0.488079
  0.7093, 0.493377
   0.706, 0.491391
  0.7043, 0.494702
  0.7033, 0.492715
  0.7014, 0.486093
  0.6975, 0.493377
  0.6963, 0.491391
  0.6972, 0.486093
  0.6964, 0.488079
  0.6946, 0.491391
  0.6929, 0.490066
   0.694, 0.486093
  0.6926, 0.489404
  0.6883, 0.495364
  0.6893, 0.483444
  0.6875, 0.488742
  0.6864, 0.488742
  0.6852, 0.488079
  0.6814, 0.490728
  0.6811, 0.487417
  0.6802, 0.489404
  0.6787, 0.487417
  0.6749, 0.488742
  0.6664, 0.490728
   0.666, 0.490066
  0.6582, 0.489404
  0.6415, 0.491391
  0.6404, 0.490728
  0.6414, 0.487417
  0.6356, 0.490728
  0.6341, 0.489404
  0.6309, 0.488079
  0.6181, 0.488742
  0.5993, 0.496026
  0.5756,  0.49404
  0.5438, 0.490728
  0.5203, 0.491391
  0.5195, 0.493377
  0.4862, 0.489404
  0.2965, 0.489404
